,.CSIH00928,.CSIH00929,.CSIH00930,.CSIH00931,.CSIH00932,.CSIH00933,.CSIH00934,.CSIH00935,.CSIH00936,.CSIH00937
30/10/2009,4598.41,3494.73,3097.07,3736.94,5107.8,5104.04,5006.31,1910.12,3200.42,2430
2/11/2009,4735.66,3583.02,3179.41,3871.97,5265.39,5363.96,5229.34,1951.49,3279.21,2467.34
3/11/2009,4790.89,3664.63,3240.12,3932.23,5341.81,5390.28,5288.13,1998.2,3308.18,2524.02
4/11/2009,4806.09,3714.86,3257.42,3932.84,5421.62,5419.24,5301.35,2047.92,3346.2,2520.87
5/11/2009,4847.52,3726.95,3295.51,3967.27,5439.84,5463.45,5297.19,2064.69,3351.44,2545.51
6/11/2009,4851.16,3778.82,3319.08,3993.64,5403.3,5425.32,5321.73,2058.34,3351.02,2559.26
9/11/2009,4824.01,3836.65,3334.2,4008.09,5465.52,5414.42,5321.31,2088.34,3352.36,2603.34
10/11/2009,4822.69,3809.32,3346.87,4032.83,5521,5466.49,5349.8,2075.67,3340.12,2586.27
11/11/2009,4775.43,3801.21,3359.4,4049.62,5558.94,5503.98,5324.97,2093.21,3340.17,2574.63
12/11/2009,4772.77,3817.93,3370.45,4092.07,5631.47,5519.42,5299.56,2087.86,3389.51,2578.36
13/11/2009,4756.65,3831.87,3410.12,4165.68,5716.94,5560.73,5319.1,2107.2,3433.28,2601.01
16/11/2009,5026.29,3961.11,3488.52,4252.73,5839.4,5685.39,5471.08,2146.82,3512.3,2657.64
17/11/2009,5017.38,3964.45,3487.7,4246.74,5841.53,5725.87,5493.39,2165.29,3505.73,2668.38
18/11/2009,5118.48,3970.28,3477.67,4236.9,5900.09,5806.41,5470.64,2159.88,3536.73,2705.18
19/11/2009,5144.97,4017.57,3516.63,4275.71,5934.49,5843.48,5461.41,2214.07,3562.05,2740.18
20/11/2009,5087.33,4016.31,3524.14,4284.35,5954.06,5809.14,5456.62,2231.07,3548.66,2725.77
23/11/2009,5146.17,4093.17,3572.37,4385.84,6140.24,5901.41,5461.2,2258.51,3610.72,2726.56
24/11/2009,4972.01,3962.81,3413.66,4164.36,5860.67,5568.1,5322.55,2127.31,3440.63,2592.76
25/11/2009,5103.12,4135.15,3504.62,4309.34,6078.75,5666.7,5401.24,2185.99,3547.21,2646.59
26/11/2009,4933.45,3986.39,3370.97,4112.56,5769.61,5439.95,5182.45,2093.05,3380.14,2538.06
27/11/2009,4791.08,3812.12,3303.48,4026.03,5651.59,5393.37,5003.6,2035.15,3311.88,2508.05
