date,SH000928 Index,SH000929 Index,SH000930 Index,SH000931 Index,SH000932 Index,SH000933 Index,SH000934 Index,SH000935 Index,SH000936 Index,SH000937 Index
4/1/2005,960.25,975.1,985.91,987.79,983.52,984.11,988.98,997.18,990.39,983.15
5/1/2005,959.06,983.04,998.24,1004.83,995.32,996.53,997.35,1022.75,1004.28,990.14
6/1/2005,946.71,968.08,992.64,999.84,986.67,991.03,991.53,1014.82,985.79,976.36
7/1/2005,959.35,962.86,994,1005.6,989.65,988.16,998.55,1020.52,988.08,973.97
10/1/2005,956.1,971.05,1001.11,1015.54,1001.98,1000.27,1014.16,1032.53,995.89,984.18
11/1/2005,965.01,972.41,1006.8,1020.73,1003.93,999.73,1017.09,1030.99,993.18,987.1
12/1/2005,965.74,977.53,1008.64,1016.56,1003.79,997.51,1014.27,1024.56,992.28,984.08
13/1/2005,958.99,979.73,1008.78,1018.44,1003.4,999.1,1016.26,1032.12,1002.77,977.45
14/1/2005,949.64,970.17,998.28,1008.25,997.01,995.26,1005.23,1012.66,1002.58,967.68
17/1/2005,919.84,948.92,978.88,989.18,977.22,974.88,982.44,990.98,1007.55,923.04
18/1/2005,915.38,956.58,985.49,1002.75,988.61,983.68,991.12,1009.16,1032.56,923.26
19/1/2005,910.65,950.48,976.3,999.26,983.57,977.48,981.54,998.14,1029.44,918.05
20/1/2005,903.52,939.33,961.52,989.17,970.77,962.93,971,990.48,1020.61,902.82
21/1/2005,932.78,967.29,979.58,1007.95,987.37,979.75,1014.1,996.03,1037.8,930.74
24/1/2005,951.11,984.91,995.38,1022.48,1002.98,997.78,1031.82,1019.48,1052.83,946.01
25/1/2005,956.99,988.59,995.02,1017.04,1003.3,994.42,1020.25,1010.09,1049.14,937.99
26/1/2005,953.36,982.35,986.46,1007.47,995.07,986.58,1014.67,986.18,1040.67,925.81
27/1/2005,941.52,968.44,971.75,987.65,978.39,978.34,1000.53,959.5,1011.62,921.35
28/1/2005,933.94,961.35,959.88,974.96,971.98,961.27,993.41,947.12,1009.81,913.65
31/1/2005,917.07,952.01,938.25,943.44,956.38,937.4,975.14,911.12,992.85,911.38
1/2/2005,914.62,952.27,931.71,934.16,952.2,928.99,980.52,902.32,996.41,925.29
2/2/2005,971.92,1003.49,979.15,991.33,995.63,972.6,1033.37,968.28,1041.45,968.51
3/2/2005,974.4,990.05,965.82,975.87,980.75,962.79,1017.86,942.35,1015.87,950.09
4/2/2005,999.13,1013.44,984.2,997.81,997.49,976.63,1058.24,959.75,1030.3,963.1
7/2/2005,999.13,1013.44,984.2,997.81,997.49,976.63,1058.24,959.75,1030.3,963.1
8/2/2005,999.13,1013.44,984.2,997.81,997.49,976.63,1058.24,959.75,1030.3,963.1
