Dates,.DJUSBMT,.DJUSNCT,.DJUSCYT,.DJUSHCT,.DJUSINT,.DJUSENT,.DJUSTCT,.DJUSTLT,.DJUSUTT,.DJUSFNT
3/1/2000,222.8,245.9,422.51,302.92,349.14,271.73,1275.75,451.07,178.54,410.18
4/1/2000,219.24,242.16,405.03,290.22,336.29,267.03,1207.35,430.84,178.99,394.59
5/1/2000,227.89,242.75,397.81,296.49,335.31,274.32,1199.53,436.77,185.31,392.63
6/1/2000,235.29,245.42,393.55,304.67,337.13,287.94,1151.07,427.07,187.52,406.35
7/1/2000,236.95,254.28,407.39,328.74,348.75,290.76,1171.39,428.1,190.12,414.76
10/1/2000,233.79,255.02,420.83,325.41,353.76,286.38,1227.33,433.35,189.48,409
11/1/2000,230,255.91,410.51,321.67,349.1,289.17,1198.86,422.67,188.56,403.89
12/1/2000,229.29,254.89,402.05,320.67,346.88,284.06,1187.8,427.58,191.82,408.13
13/1/2000,228.31,255,409.11,325.64,352.92,290.13,1208.64,430.34,192.72,418.82
14/1/2000,227.07,254.65,407.13,329.53,351.36,288.28,1248.78,434.64,193.2,428.85
17/1/2000,227.07,254.65,407.13,329.53,351.36,288.28,1248.78,434.64,193.2,428.85
18/1/2000,219.83,256.41,403.01,324.42,350.57,295.93,1260.85,434.78,189.85,417.28
19/1/2000,217.67,255.53,410.45,328.38,352.84,296.74,1254.72,434.31,191.34,414.89
20/1/2000,212.47,252.53,404.5,326.02,351.18,291.28,1273.29,432.01,196.95,406.71
21/1/2000,210.17,248.13,402.72,325.08,351.72,296.9,1277.28,436.15,202.38,401.99
24/1/2000,207.07,244.58,388.03,310.1,340.3,290.76,1238.81,426.66,200.96,395.97
25/1/2000,202.9,243.15,389.79,311.65,340.02,289.61,1265.69,423.55,196.07,399.65
26/1/2000,202.65,242.77,390.53,314.36,341.38,286.53,1223.07,420.74,196.94,411.72
27/1/2000,202.5,242.12,390.27,314.53,342.22,278.65,1208.4,417.26,197.27,415.54
28/1/2000,199.42,236.81,373.83,317.61,329.6,273.36,1167.17,408.34,194.83,402.21
31/1/2000,198.86,238.71,373.59,325.77,329.72,282.22,1190.9,435.61,200.76,413.18
