Date,.dMIWD00000G,.dMIEF00000G,.dMIEA00000G,JPY=,US10YT=RR,Updated at 17:32:01,US3MT=RR
,Close,Close,Close,Close,Close,Timestamp,B_YLD_1
2022-05-23,1651.85,148805.22,5719.93,127.87,2.8605,2022-05-23 00:00:00,1.029
2022-05-20,1630.33,149289.95,5659.03,127.85,2.7883,2022-05-20 00:00:00,1.034
2022-05-19,1623.46,146790.51,5610.53,127.80,2.8370,2022-05-19 00:00:00,1.047
2022-05-18,1636.70,149288.66,5692.20,128.22,2.8840,2022-05-18 00:00:00,1.039
2022-05-17,1680.86,149061.30,5717.31,129.39,2.9952,2022-05-17 00:00:00,1.07
2022-05-16,1652.47,146190.07,5668.19,129.16,2.8858,2022-05-16 00:00:00,1.027
2022-05-13,1656.53,145826.53,5661.77,129.19,2.9276,2022-05-13 00:00:00,0.988
2022-05-12,1618.96,143470.30,5548.81,128.32,2.8551,2022-05-12 00:00:00,0.94
2022-05-11,1626.81,146390.06,5603.76,129.96,2.9246,2022-05-11 00:00:00,0.904
2022-05-10,1640.43,145959.37,5554.07,130.43,2.9889,2022-05-10 00:00:00,0.907
2022-05-09,1639.01,147101.62,5546.55,130.25,3.0338,2022-05-09 00:00:00,0.833
2022-05-06,1687.36,148921.02,5677.58,130.56,3.1424,2022-05-06 00:00:00,0.848
2022-05-05,1703.24,152309.71,5738.24,130.13,3.0346,2022-05-05 00:00:00,0.851
2022-05-04,1746.21,153073.98,5750.72,129.07,2.9461,2022-05-04 00:00:00,0.922
2022-05-03,1717.60,153862.53,5783.52,130.10,2.9790,2022-05-03 00:00:00,0.925
2022-05-02,1711.69,154392.60,5762.22,130.14,2.9768,2022-05-02 00:00:00,0.8
2022-04-29,1708.70,154470.98,5809.97,129.83,2.9375,2022-04-29 00:00:00,0.841
2022-04-28,1743.63,151836.80,5781.17,130.85,2.8321,2022-04-28 00:00:00,0.825
2022-04-27,1709.38,150001.43,5717.09,128.42,2.8260,2022-04-27 00:00:00,0.828
2022-04-26,1707.33,150355.55,5708.00,127.22,2.7281,2022-04-26 00:00:00,0.856
2022-04-25,1741.40,149801.95,5749.48,128.12,2.8179,2022-04-25 00:00:00,0.83
2022-04-22,1745.69,153145.09,5837.54,128.56,2.9045,2022-04-22 00:00:00,0.828
2022-04-21,1784.44,154141.53,5919.73,128.39,2.9076,2022-04-21 00:00:00,0.828
2022-04-20,1802.49,155161.50,5897.42,127.88,2.8340,2022-04-20 00:00:00,0.823
2022-04-19,1800.98,155326.03,5848.25,128.90,2.9400,2022-04-19 00:00:00,0.856
2022-04-18,1783.77,156499.15,5852.38,126.97,2.8566,2022-04-18 00:00:00,0.78
2022-04-15,1786.57,157079.20,5865.14,126.35,2.8275,2022-04-14 00:00:00,0.787
2022-04-14,1787.89,157709.37,5872.13,125.86,2.8275,2022-04-13 00:00:00,0.757
2022-04-13,1799.61,157786.42,5838.69,125.66,2.7025,2022-04-12 00:00:00,0.759
2022-04-12,1782.78,156626.43,5816.54,125.35,2.7270,2022-04-11 00:00:00,0.706
2022-04-11,1790.03,156818.89,5857.30,125.35,2.7743,2022-04-08 00:00:00,0.698
2022-04-08,1813.30,158910.16,5884.36,124.32,2.7038,2022-04-07 00:00:00,0.683
2022-04-07,1812.25,158564.39,5828.27,123.92,2.6654,2022-04-06 00:00:00,0.688
2022-04-06,1812.20,160460.97,5856.53,123.79,2.5975,2022-04-05 00:00:00,0.688
2022-04-05,1832.05,162030.95,5930.24,123.60,2.5543,2022-04-04 00:00:00,0.566
2022-04-04,1848.89,162640.03,5934.29,122.78,2.3933,2022-04-01 00:00:00,0.528
2022-04-01,1833.51,160724.73,5901.33,122.49,2.3895,2022-03-31 00:00:00,0.52
2022-03-31,1827.25,160081.58,5886.59,121.66,2.3452,2022-03-30 00:00:00,0.538
2022-03-30,1850.98,160959.24,5943.08,121.80,2.3579,2022-03-29 00:00:00,0.574
2022-03-29,1858.18,159603.87,5954.23,122.84,2.3980,2022-03-28 00:00:00,0.556
2022-03-28,1834.29,158410.33,5862.18,123.91,2.4659,2022-03-25 00:00:00,0.538
2022-03-25,1824.06,157939.69,5850.29,122.06,2.4879,2022-03-24 00:00:00,0.52
2022-03-24,1821.94,159760.33,5852.90,122.33,2.3699,2022-03-23 00:00:00,0.497
2022-03-23,1806.56,160318.96,5853.54,121.15,2.2898,2022-03-22 00:00:00,0.538
2022-03-22,1819.41,159216.68,5855.59,120.80,2.3807,2022-03-21 00:00:00,0.492
2022-03-21,1798.80,156846.03,5802.85,119.47,2.2969,2022-03-18 00:00:00,0.414
2022-03-18,1800.78,157704.11,5806.26,119.17,2.1530,2022-03-17 00:00:00,0.396
2022-03-17,1783.71,157543.44,5770.04,118.59,2.1670,2022-03-16 00:00:00,0.459
2022-03-16,1756.98,152824.81,5694.17,118.72,2.1920,2022-03-15 00:00:00,0.464
2022-03-15,1711.10,145479.54,5552.91,118.28,2.1491,2022-03-14 00:00:00,0.424
2022-03-14,1694.03,149243.26,5559.48,118.18,2.1419,2022-03-11 00:00:00,0.396
2022-03-11,1704.27,153134.39,5504.61,117.28,1.9970,2022-03-10 00:00:00,0.396
2022-03-10,1721.79,155286.88,5501.64,116.13,1.9934,2022-03-09 00:00:00,0.381
2022-03-09,1724.61,153742.67,5501.97,115.82,1.9514,2022-03-08 00:00:00,0.375
2022-03-08,1684.36,154883.81,5326.92,115.66,1.8404,2022-03-07 00:00:00,0.34
2022-03-07,1696.51,156393.25,5365.14,115.29,1.7768,2022-03-04 00:00:00,0.335
2022-03-04,1740.67,160642.81,5443.09,114.78,1.7375,2022-03-03 00:00:00,0.365
2022-03-03,1766.59,163601.09,5614.23,115.46,1.8405,2022-03-02 00:00:00,0.335
2022-03-02,1778.45,163543.87,5672.13,115.50,1.8784,2022-03-01 00:00:00,0.332
2022-03-01,1759.09,164232.04,5672.14,114.89,1.7156,2022-02-28 00:00:00,0.322
2022-02-28,1781.44,163395.23,5756.84,114.99,1.8216,2022-02-25 00:00:00,0.348
2022-02-25,1782.52,162576.68,5763.68,115.56,1.9704,2022-02-24 00:00:00,0.322
2022-02-24,1744.76,160685.76,5624.68,115.52,1.9703,2022-02-23 00:00:00,0.355
2022-02-23,1746.31,166492.36,5778.15,114.97,1.9982,2022-02-22 00:00:00,0.355
2022-02-22,1767.49,166481.84,5787.06,115.08,1.9442,2022-02-18 00:00:00,0.358
2022-02-21,1783.05,168111.72,5812.35,114.74,1.9268,2022-02-17 00:00:00,0.365
2022-02-18,1790.06,169923.02,5873.71,115.00,1.9268,2022-02-16 00:00:00,0.383
2022-02-17,1804.33,171566.43,5915.67,114.93,1.9684,2022-02-15 00:00:00,0.416
2022-02-16,1832.22,171738.85,5951.44,115.46,2.0399,2022-02-14 00:00:00,0.391
2022-02-15,1827.75,169861.48,5924.67,115.62,2.0434,2022-02-11 00:00:00,0.373
2022-02-14,1804.45,168791.97,5880.39,115.53,1.9858,2022-02-10 00:00:00,0.409
2022-02-11,1819.89,171434.30,5980.79,115.41,1.9181,2022-02-09 00:00:00,0.279
2022-02-10,1845.33,172507.90,6012.17,116.00,2.0433,2022-02-08 00:00:00,0.284
2022-02-09,1863.57,171166.20,6009.06,115.49,1.9452,2022-02-07 00:00:00,0.223
2022-02-08,1835.81,168600.09,5923.00,115.54,1.9650,2022-02-04 00:00:00,0.238
2022-02-07,1825.50,168645.27,5914.78,115.12,1.9195,2022-02-03 00:00:00,0.205
2022-02-04,1828.02,168939.91,5891.64,115.20,1.9157,2022-02-02 00:00:00,0.193
2022-02-03,1819.56,167443.62,5912.13,114.95,1.8360,2022-02-01 00:00:00,0.216
2022-02-02,1854.32,167912.77,5975.64,114.44,1.7715,2022-01-31 00:00:00,0.185
2022-02-01,1841.74,167983.34,5928.78,114.71,1.7946,2022-01-28 00:00:00,0.19
2022-01-31,1828.82,167362.36,5884.61,115.10,1.7838,2022-01-27 00:00:00,0.205
2022-01-28,1799.31,165413.33,5842.51,115.24,1.7784,2022-01-26 00:00:00,0.2
2022-01-27,1772.37,165285.45,5850.88,115.34,1.8030,2022-01-25 00:00:00,0.193
2022-01-26,1783.17,167707.84,5871.07,114.63,1.8727,2022-01-24 00:00:00,0.17
2022-01-25,1780.85,167618.58,5810.65,113.86,1.7760,2022-01-21 00:00:00,0.17
2022-01-24,1798.22,169123.61,5823.53,113.92,1.7759,2022-01-20 00:00:00,0.18
2022-01-21,1809.17,171799.74,5967.26,113.68,1.7705,2022-01-19 00:00:00,0.172
2022-01-20,1840.09,173220.86,6049.59,114.09,1.8111,2022-01-18 00:00:00,0.142
2022-01-19,1847.25,171245.87,6014.03,114.32,1.8539,2022-01-14 00:00:00,0.129
2022-01-18,1861.90,171634.03,6054.53,114.61,1.8753,2022-01-13 00:00:00,0.122
2022-01-17,1889.51,173159.93,6097.81,114.60,1.7930,2022-01-12 00:00:00,0.122
2022-01-14,1886.74,173488.68,6063.35,114.20,1.7930,2022-01-11 00:00:00,0.127
2022-01-13,1891.27,174270.48,6121.01,114.17,1.7006,2022-01-10 00:00:00,0.099
2022-01-12,1910.91,174885.95,6128.87,114.63,1.7517,2022-01-07 00:00:00,0.096
2022-01-11,1900.01,171823.19,6078.82,115.28,1.7463,2022-01-06 00:00:00,0.101
2022-01-10,1884.87,170690.20,6056.04,115.20,1.7550,2022-01-05 00:00:00,0.091
2022-01-07,1889.50,169937.38,6111.13,115.55,1.7655,2022-01-04 00:00:00,0.086
2022-01-06,1893.31,168883.38,6112.59,115.82,1.7281,2022-01-03 00:00:00,0.063
2022-01-05,1901.45,169294.44,6200.70,116.10,1.6999,2021-12-31 00:00:00,0.053
2022-01-04,1928.13,171048.58,6191.59,116.14,1.6490,2021-12-30 00:00:00,0.046
2022-01-03,1925.23,170738.74,6128.62,115.32,1.6367,2021-12-29 00:00:00,0.051
2021-12-31,1916.24,170400.67,6106.55,115.08,1.5118,2021-12-28 00:00:00,0.061
2021-12-30,1919.21,169194.46,6116.61,115.06,1.5065,2021-12-27 00:00:00,0.056
