date,.DXY,.dMIEA00000G,.dMIEF00000G,US10YT=RR
2000-01-14,0.009127,0.034206,0.046505,0.06688
2000-01-21,0.000393,-0.024228,-0.014235,0.06772
2000-01-28,0.02673,0.015225,-0.007586,0.06658
2000-02-04,-0.001819,0.028692,0.02977,0.06558
2000-02-11,-0.000959,0.006384,0.024747,0.06595
2000-02-18,0.004223,-0.010258,-0.018251,0.06483
2000-02-25,0.006021,0.012775,-0.024139,0.06337
2000-03-03,0.00703,0.02343,0.021297,0.06379
2000-03-10,-0.002736,-0.004293,0.002594,0.06387
2000-03-17,-0.004825,-0.012574,-0.035178,0.06204
2000-03-24,-0.004087,0.01774,0.027219,0.06191
2000-03-31,0.006395,-0.006262,-0.025394,0.06002
2000-04-07,0.005027,-0.00172,0.00444,0.05845
2000-04-14,-0.002076,-0.035429,-0.066157,0.058602
2000-04-21,0.016076,0.002685,-0.025621,0.06
2000-04-28,0.025035,0.023128,0.009274,0.062182
2000-05-05,0.010623,0.011036,-0.003355,0.065113
2000-05-12,-0.012667,-0.013449,-0.027262,0.065245
2000-05-19,0.014286,-0.02899,-0.008979,0.064982
2000-05-26,-0.021082,-0.00919,-0.03665,0.063273
2000-06-02,-0.009164,0.055995,0.084875,0.061692
2000-06-09,-0.010451,-0.007618,0.014422,0.061262
2000-06-16,-0.009627,-0.012066,-0.022427,0.059796
2000-06-23,0.019347,-0.000174,-0.00587,0.061852
2000-06-30,-0.010832,-0.000466,0.009575,0.06027
2000-07-07,0.007581,0.019367,0.013859,0.060148
2000-07-14,0.007431,0.004073,0.007785,0.061005
2000-07-21,-0.000277,-0.018671,-0.026048,0.059977
2000-07-28,0.012175,-0.027284,-0.045959,0.060356
2000-08-04,0.010115,0.002366,0.007632,0.059055
2000-08-11,0.003248,0.017799,0.004714,0.057906
2000-08-18,-0.001798,0.008547,0.009324,0.057769
2000-08-25,0.003063,0.008969,-0.005662,0.05733
2000-09-01,0.000629,0.012493,-0.006855,0.05685
2000-09-08,0.026207,-0.016373,-0.003284,0.057368
2000-09-15,0.013993,-0.016217,-0.027218,0.058373
2000-09-22,-0.020528,-0.030532,-0.064096,0.058479
2000-09-29,-0.00273,0.005676,0.018737,0.058078
2000-10-06,0.014128,0.01015,-0.003834,0.058205
2000-10-13,0.008794,-0.034804,-0.062434,0.05732
2000-10-20,0.01122,0.008161,0.01482,0.056377
2000-10-27,0.001963,0.01178,0.000745,0.057276
2000-11-03,-0.020615,0.017191,0.030457,0.05827
2000-11-10,0.007132,-0.017279,-0.009713,0.057974
2000-11-17,0.013127,-0.005266,-0.02703,0.057064
2000-11-24,0.009974,-0.012011,-0.035755,0.056368
2000-12-01,-0.031651,-0.00732,-0.02848,0.055175
2000-12-08,-0.005927,0.000778,0.052743,0.052986
2000-12-15,-0.010083,-0.016577,-0.020067,0.051801
2000-12-22,-0.018423,-0.023799,-0.030376,0.050142
2000-12-29,-0.01137,0.022682,0.010269,0.051116
2001-01-05,-0.010405,-0.001633,0.045499,0.049286
2001-01-12,0.00867,-0.00885,0.018701,0.052546
2001-01-19,0.011887,0.015483,0.049105,0.051702
2001-01-26,0.007229,0.003547,0.002167,0.052658
2001-02-02,-0.010228,-0.008073,0.010993,0.051585
2001-02-09,0.010877,-0.017407,-0.020447,0.050321
2001-02-16,0.006636,-0.013482,0.002195,0.051108
2001-02-23,-0.002049,-0.026122,-0.041873,0.051007
2001-03-02,-0.007677,-0.01054,-0.019034,0.049455
2001-03-09,0.002429,0.014319,0.010105,0.049392
2001-03-16,0.034817,-0.049345,-0.041484,0.047679
2001-03-23,0.005376,-0.008415,-0.022872,0.04813
2001-03-30,0.012334,0.033069,-0.009593,0.049146
2001-04-06,-0.022323,-0.000197,-0.023418,0.048903
2001-04-13,0.006885,0.02097,0.024552,0.051772
2001-04-20,-0.010559,0.017954,0.02491,0.052938
2001-04-27,0.011372,0.015405,0.011596,0.053236
2001-05-04,-0.005968,0.004186,0.014211,0.052091
2001-05-11,0.016619,0.000885,-0.002661,0.054431
2001-05-18,-0.00368,0.004446,0.017679,0.054012
2001-05-25,0.015205,-0.00277,0.013363,0.055023
2001-06-01,0.006008,-0.022106,-0.011261,0.053748
2001-06-08,0.002692,0.011518,0.013727,0.05367
2001-06-15,-0.007717,-0.039785,-0.018253,0.052427
2001-06-22,0.005241,3.6e-05,-0.011592,0.051236
2001-06-29,0.004373,0.003445,0.000728,0.054044
2001-07-06,0.003935,-0.032508,-0.021476,0.053618
2001-07-13,-0.004754,0.000242,-0.020391,0.052279
2001-07-20,-0.017766,-0.022434,-0.020545,0.051273
2001-07-27,-0.002304,-0.000273,0.006372,0.050961
2001-08-03,-0.006841,0.020256,0.021778,0.051643
2001-08-10,-0.007319,-0.030724,-0.017856,0.049845
2001-08-17,-0.01995,-0.011249,-0.002518,0.048407
2001-08-24,0.003009,0.014094,-0.003458,0.049278
