Week,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep,market,rf
7/1/2000,0.018031712,-0.123726723,0.013864358,-0.069561043,0.078535641,-0.08362335,-0.018594973,-0.058024875,-0.040589233,-0.097973244,0.117723,0.000428
14/1/2000,0.025251697,0.060117586,-0.056558357,0.034658024,-0.045200638,0.06619032,-0.002600691,0.027975254,0.062310931,0.031915526,-0.065863,0.000428
21/1/2000,0.034508394,-0.005955685,0.011122239,0.018453342,-0.01874735,0.015750939,-0.035857801,-0.024087418,0.023889908,-0.007720969,0.050413,0.000428
28/1/2000,-0.016856079,0.022315259,-0.008552136,0.005906958,-0.002822892,0.004076007,0.001528544,0.011626686,-0.004528895,0.006699527,0.058546,0.000428
18/2/2000,0.03412346,0.01234015,-0.034979726,0.013948461,-0.01695974,-0.001852335,-0.029112373,-0.001262812,0.055832747,-0.01267259,0.100604,0.000428
25/2/2000,0.035226099,0.002804101,0.000998402,0.010573476,-0.019746918,-0.000286866,-0.025504453,-0.016099261,0.025716604,-0.013426364,-0.025853,0.000428
3/3/2000,0.037071753,0.014007353,-0.025192974,0.038058,-0.052511812,-0.075684878,-0.024454431,-0.02196336,0.029848278,0.020099921,0.061181,0.000428
10/3/2000,0.025732654,0.032249163,-0.023034368,0.025541026,-0.02272788,0.006633053,-0.026572356,-0.004092672,0.03527065,0.002026029,-0.023899,0.000428
17/3/2000,0.005119904,0.037876992,-0.034965769,0.035595364,-0.042389702,0.004288898,-0.000750832,-0.004186502,0.022525385,0.027706543,-0.018118,0.000428
24/3/2000,0.026051018,0.000307135,0.003148335,0.009396926,0.004252806,-0.01052487,-0.004724897,0.003505264,0.019390685,0.004211268,0.049241,0.000428
31/3/2000,-0.02970445,-0.01082315,0.003032146,-0.029055674,0.036389216,0.009497,0.017533712,0.009690391,-0.01507998,-0.006270428,0.035927,0.000428
7/4/2000,0.012913593,0.008408691,-0.016501561,-0.0125578,0.008435609,-0.003593921,0.010732892,0.005523049,0.02073984,0.001752614,0.010386,0.000428
14/4/2000,0.023038237,-0.006802162,0.010195925,0.008838823,-0.010858044,-0.016117338,-0.010952833,-0.013725345,-0.002682589,-0.004107005,0.003342,0.000428
21/4/2000,0.012963608,-0.000204632,0.006062882,0.022726141,-0.011237989,0.01595351,-0.01237085,-0.01183885,0.01245574,0.004942476,-0.00167,0.000428
28/4/2000,0.003138989,0.021402894,-0.042972684,0.047541695,-0.039046224,-0.019701696,-0.022576857,-0.014214162,-0.003558308,0.017170671,0.001228,0.000428
12/5/2000,0.00642963,0.01135403,0.010807884,-0.008069903,-0.003323338,0.022789776,0.00814079,0.014824253,0.018955972,-0.000331668,-0.064549,0.000428
19/5/2000,0.023758438,0.012262432,0.001426434,0.027043268,-0.036809643,-0.014510541,-0.025177469,-0.018997438,0.013325226,0.001589569,0.035969,0.000428
