Week,size,idvc,beta,bm,m12,m1,roe,ag,dtvm,ep,market,rf
7/1/2000,0.164947522,-0.027023302,-0.434027186,0.396176214,0.116772438,-0.084530834,-0.164416259,0.067729232,0.108279463,0.383977075,0.031862477,0.00021
14/1/2000,0.909130536,0.206108435,0.117357862,-0.014831766,0.107151258,0.024139624,0.119403736,-0.025745491,0.464772313,-0.063505205,-0.087594267,0.00021
21/1/2000,0.225066077,-0.118121718,-0.046786854,0.206539183,-0.15567272,0.072672944,0.01114863,-0.197641972,-0.035440486,0.132202587,-0.017263214,0.00021
28/1/2000,-0.23792164,0.205576023,0.132362659,-0.161019547,0.255576707,-0.220979889,-0.175631508,-0.028908262,0.129989693,0.018062502,-0.026133002,0.00021
4/2/2000,-0.047168926,-0.067459284,0.033704052,-0.078484111,0.211458336,0.206757444,-0.100466392,0.014839967,0.027192961,-0.041058422,0.024050687,0.00021
11/2/2000,-0.055933972,0.172541621,-0.054937614,-0.022486294,0.040536782,-0.083441298,0.09098857,0.038143389,0.069034796,-0.010345861,0.028056301,0.00022
18/2/2000,0.021944718,0.10546636,-0.03604119,0.08433334,-0.125460781,-0.120712807,0.042126433,0.001224154,0.079215908,0.038085265,0.076454836,0.00022
25/2/2000,-0.05091458,-0.065174442,0.060848754,-0.058318322,0.106288263,0.103536554,-0.009583656,0.04413969,-0.072974488,-0.003510316,-0.050415499,0.00022
3/3/2000,-0.096949667,0.130968146,-0.045817459,0.046766775,-0.080000626,0.1476182,0.059473028,-0.023411809,0.038192344,-0.075001005,0.040562124,0.00022
10/3/2000,-0.073111775,0.1566194,0.088067396,0.019288557,0.034680546,0.125596879,-0.082340509,-0.085330774,0.022669864,-0.011593153,0.045589964,0.0002
17/3/2000,-0.008549286,0.039991716,-0.066124007,0.051859805,-0.116971833,-0.009731518,0.045787424,-0.018781241,0.097525216,-0.004237651,-0.037281882,0.0002
24/3/2000,-0.115801471,0.073863057,-0.078110005,-0.116295568,-0.183828386,0.144393288,-0.00515923,-0.072212607,0.032363627,-0.058730914,0.008058875,0.0002
31/3/2000,-0.002986038,0.02688731,0.029223916,-0.110269532,-0.049871276,0.007584952,0.029015868,0.009997704,-0.071621493,0.122409447,0.061411846,0.0002
7/4/2000,0.075578217,-0.150259395,0.022246182,-0.00687779,0.034415642,-0.152828,-0.079913104,0.039651278,-0.049588892,0.006287794,-0.076528766,0.00024
14/4/2000,-0.034637556,0.076339122,-0.015434261,-0.031168635,0.012504317,0.091851231,-0.023784231,-0.034158394,0.045712411,0.004387201,-0.002497495,0.00024
21/4/2000,0.034111914,-0.077003841,-0.090001426,0.014914159,-0.079346497,0.057796033,0.005843581,0.084681939,-0.070511353,0.009521967,-0.12393343,0.00024
28/4/2000,-0.02743114,0.139057568,-0.040860041,0.014437641,0.036199587,0.160055173,-0.001609648,-0.071591645,0.113431251,-0.008257113,0.040966999,0.00024
5/5/2000,-0.096830303,0.013598172,0.256318583,-0.136402024,0.224074032,0.002754952,-0.156386587,-0.119197416,-0.162817476,0.022706869,0.009901647,0.00023
