date,.HSCIIT,.HSCIH,.HSCIE,.HSCICD,.HSCIPC,.HSCIF,.HSCIM,.HSCICS,.HSCIU,.HSCIT,.HSCIIG
3/1/2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
4/1/2000,2019.33,2215.38,2096.79,1965.55,1981.05,1961.14,2112.91,1947.9,2000.53,1959.53,2017.76
5/1/2000,1726.7,2158.95,2001.63,1737.16,1833.2,1861.83,1936.46,1906.91,1974.22,1710.12,1927.35
6/1/2000,1617.95,2250.19,1953.47,1631.74,1740.53,1799.84,1938.9,1914.25,1953.04,1599.41,1898.05
7/1/2000,1610.07,2211.07,2028.17,1642.95,1762.74,1866.08,2120.4,1932.89,1984.67,1601.23,1852.52
10/1/2000,1711.11,2203.23,2106.7,1789.97,1793.19,1858.12,2204.36,1937.52,2007.11,1740.25,1880.2
11/1/2000,1725.29,2191.25,2058.15,1846.5,1875.52,1830.49,2100.93,1901.81,1988.78,1777.06,1951.84
12/1/2000,1682.08,2213.15,2013.55,1807.73,1778.26,1798.53,2070.65,1935.93,1987.77,1759.92,2014.67
13/1/2000,1728.27,2172.29,2020.01,1785.91,1777.21,1805.24,2027.21,1945.63,1976.38,1746.45,2028.44
14/1/2000,1755.7,2151.87,1973.55,1744.46,1763.07,1803.54,1992.24,1910.76,1998.17,1700.49,2190.92
17/1/2000,1736.43,2170.8,1977.88,1763.14,1767.59,1800.29,2003.04,1906.27,1988.89,1733.7,2109.86
18/1/2000,1735.81,2154.16,1934.05,1820.49,1783.07,1794.67,1994.32,1932.56,1978.64,1798.21,2108.22
19/1/2000,1740.74,2157.19,1916.85,1762.97,1750.13,1744.98,1999.26,1914.56,1939.55,1714.47,2130.31
20/1/2000,1690.66,4146.31,1857.61,1729.58,1740.45,1726.63,2020.67,1936.91,1941.02,1677.86,2252.11
21/1/2000,1763.42,3720.69,1866.89,1751.01,1739.38,1704.86,2026.41,1948.47,1931.86,1682.42,2232.72
24/1/2000,1743.93,3460.72,1942.65,1732.62,1748.23,1739.38,2052.67,1943.45,1927.08,1658.75,2214.51
25/1/2000,1711.6,3524.95,1921.56,1747.96,1735.91,1700.52,2021.64,1927.11,1921.01,1697.49,2114.53
26/1/2000,1885.95,3473.42,1882.68,1802.77,1799.14,1718.55,2042.01,1937.77,1921.15,1747.4,2131.15
27/1/2000,1981.43,3506.49,1833.51,1895.35,1837.64,1750.91,1990.6,1878.4,1923.96,1849.85,2109.25
28/1/2000,2058.49,3655.83,1858.1,1947.57,1856.52,1772.42,2030.9,1905.08,1901.89,1896.45,2110.42
31/1/2000,1961.64,3747.15,1816.55,1848.51,1782.02,1729.71,2003.84,1855.74,1888.9,1764.41,2039.4
1/2/2000,1998.87,4080.68,1877.88,1874.93,1786.9,1727.64,1962.05,1853.75,1880.11,1784.62,2149.95
2/2/2000,2032.81,3907.71,1892.56,1916.82,1818.89,1721.35,1953.65,1846.31,1898.08,1812.31,2206.74
3/2/2000,2098.66,4056.6,1932.9,2008.13,1837.29,1719.07,2049.79,1890.43,1878.48,1879.17,2163.19
4/2/2000,2098.66,4056.6,1932.9,2008.13,1837.29,1719.07,2049.79,1890.43,1878.48,1879.17,2163.19
7/2/2000,2098.66,4056.6,1932.9,2008.13,1837.29,1719.07,2049.79,1890.43,1878.48,1879.17,2163.19
8/2/2000,2275.34,4162.97,1846.05,2187.86,1819.02,1673.04,2019.56,1858.13,1834.85,2045.92,2100.92
9/2/2000,2653.85,4939.08,1951.85,2295.23,1869.54,1693.18,1944.5,1888.68,1841.75,2149.73,2058.5
10/2/2000,2566.41,4759.46,1897.66,2307.58,1861.2,1680.72,1853,1847.84,1838.5,2161.61,2148.19
11/2/2000,2592.29,5092.43,2038.2,2401.68,1922.44,1691.6,1786,1821.07,1789.04,2276.24,2082.81
14/2/2000,2489.31,5746.09,2036.75,2345.97,1848.16,1637.88,1715.49,1801.2,1707.35,2415.55,2022
15/2/2000,2616.04,5681.79,2013.71,2300.12,1803.57,1642.85,1725.25,1792.03,1733.93,2298.73,1957.77
16/2/2000,2553.59,5515.11,1959.57,2269.34,1848.78,1731.34,1762.2,1881.24,1839.12,2265.33,2061.16
17/2/2000,2471.61,5311,1946.4,2245.27,1839.85,1726.74,1782.56,1888.67,1887.73,2261.74,2202.06
