code ,name
.TRXFLDHKTA1,Academic & Educational Services
.TRXFLDHKTE1,Energy - Fossil Fuels
.TRXFLDHKTE2,Renewable Energy
.TRXFLDHKTF1,Banking & Investment Services
.TRXFLDHKTF3,Insurance
.TRXFLDHKTF4,Real Estate
.TRXFLDHKTH1,Healthcare Services
.TRXFLDHKTH2,Pharmaceuticals & Medical Research
.TRXFLDHKTI1,Industrial Goods
.TRXFLDHKTC1,Telecommunications Services
.TRXFLDHKTI2,Industrial & Commercial Services
.TRXFLDHKTI4,Transportation
.TRXFLDHKTM1,Chemicals
.TRXFLDHKTM2,Mineral Resources
.TRXFLDHKTM3,Applied Resources
.TRXFLDHKTN1,Food & Beverages
.TRXFLDHKTN2,Personal & Household Products & Services
.TRXFLDHKTN3,Food & Drug Retailing
.TRXFLDHKTT1,Technology Equipment
.TRXFLDHKTT2,Software & IT Services
.TRXFLDHKTU1,Utilities
.TRXFLDHKTY1,Automobiles & Auto Parts
.TRXFLDHKTY2,Cyclical Consumer Products
.TRXFLDHKTY3,Cyclical Consumer Services
.TRXFLDHKTY4,Retailers
