Dates,DJUSBMT,DJUSNCT,DJUSCYT,DJUSHCT,DJUSINT,DJUSENT,DJUSTCT,DJUSTLT,DJUSUTT,DJUSFNT
28/4/2000,-0.04225279,0.039474289,-0.066649944,0.05097631,-0.031135172,-0.009283992,-0.103056669,-0.086193931,0.070070423,-0.032030427
31/5/2000,-0.032084982,0.035190097,-0.050258009,0.043191164,-0.031875163,0.099661329,-0.118803271,-0.097591674,0.030743196,0.061754403
30/6/2000,-0.081471527,-0.01797916,0.004838984,0.105478191,0.015789474,-0.053821313,0.148312619,0.032159429,-0.057737037,-0.053414183
31/7/2000,0.013716167,0.002826701,-0.019121913,-0.055306855,-0.011098681,-0.024586019,-0.059459339,-0.073021153,0.070954939,0.099573726
31/8/2000,0.017860364,0.002341717,-0.007464829,0.02380362,0.111994284,0.099300201,0.133990249,-0.029154519,0.136168482,0.092505729
29/9/2000,-0.100850762,0.013022411,-0.026265548,0.044320659,-0.054855032,0.033921782,-0.160702378,-0.028817279,0.098130469,0.026976161
31/10/2000,0.114987844,0.073969678,-0.019458143,0.027520099,-0.017221845,-0.033692492,-0.068649033,0.031396801,-0.044735031,-0.006223274
30/11/2000,-0.020095468,-0.012128683,-0.067864392,0.018632762,-0.090010376,-0.045014749,-0.23309667,-0.146872297,0.002616411,-0.051846018
29/12/2000,0.149987972,0.050680299,0.01462606,0.033284916,0.019320305,0.098412306,-0.087248711,-0.078898463,0.080556711,0.100204623
31/1/2001,-0.022539483,-0.011915252,0.128551751,-0.085749684,0.01510114,-0.036107987,0.161396382,0.156089508,-0.099576494,-0.002559617
28/2/2001,0.000802525,0.005622334,-0.072920806,-0.007375169,-0.060179375,-0.003150893,-0.283968565,-0.099762018,0.027443054,-0.060259203
30/3/2001,-0.040949428,-0.050240987,-0.045283365,-0.083829977,-0.104061492,-0.014516507,-0.136408738,-0.056642346,-0.000680993,-0.028230718
30/4/2001,0.091025641,0.009743423,0.088929511,0.039775332,0.127635597,0.103617249,0.186626129,0.044873711,0.054516544,0.036672395
31/5/2001,0.040872631,0.027661628,0.031865705,0.015681843,0.018762694,-0.008368989,-0.044688743,-0.02217057,-0.017376319,0.040562413
29/6/2001,-0.038089628,-0.008920188,-0.017781203,-0.031367867,-0.040188602,-0.091289009,0.009059581,-0.039641616,-0.064523201,0.005022583
31/7/2001,0.002194213,0.00986894,-0.010112164,0.031851416,-0.033925687,-0.022934958,-0.070296081,0.04607593,-0.049914076,-0.012978537
31/8/2001,-0.005702648,0.006958017,-0.086244349,-0.032225661,-0.044229063,-0.04205636,-0.126257002,-0.092315533,-0.017347694,-0.054202641
28/9/2001,-0.118496518,-0.063431677,-0.122879722,-0.002075911,-0.12454474,-0.073256333,-0.216942188,0.055704833,-0.09542336,-0.056769606
31/10/2001,0.026490066,0.009947774,0.009522763,0.006015798,0.030630557,0.058837706,0.188154411,-0.128020058,-0.01882255,-0.018043202
