,0,gamma_op,b_weight
2010-01,-0.0686508794009335,2,0.0
2010-02,0.024855308417003265,2,0.0
2010-03,0.05777489006223196,2,0.0
2010-04,0.005225025906898154,2,0.0
2010-05,-0.07455394922772052,2,0.0
2010-06,0.007106986356646197,2,0.0
2010-07,0.04933512909086525,2,0.0
2010-08,-0.01073331486512201,2,0.0
2010-09,0.11102265882594922,2,0.0
2010-10,0.013921022027789455,2,0.0
2010-11,-0.006459808820413138,2,0.0
2010-12,-0.005585846796815564,2,0.0
2011-01,-0.0013558738201370742,2,0.0
2011-02,-0.029279693945980977,2,0.0
2011-03,0.025168080998260456,2,0.0
2011-04,0.027503304657126082,2,0.0
2011-05,-0.00873880971146222,2,0.0
2011-06,-0.03345835780713295,2,0.0
2011-07,-0.009282193228632364,2,0.0
2011-08,-0.08935509196767928,2,0.0
2011-09,-0.1552654570741125,2,0.0
2011-10,0.13085041726052393,2,0.0
2011-11,-0.06987087158903901,2,0.0
2011-12,0.0020089683958873106,2,0.0
2012-01,0.07913242936748854,2,0.0
2012-02,0.0821657823023236,2,0.0
2012-03,-0.04421890336180607,2,0.0
2012-04,0.018791200076763825,2,0.0
2012-05,-0.10295148011121698,2,0.0
2012-06,0.007986185188695219,2,0.0
2012-07,0.00067413220820131,2,0.0
2012-08,-0.0017013026348677094,2,0.0
2012-09,0.05860139570185568,2,0.0
2012-10,0.04391118878737517,2,0.0
2012-11,0.014365237210302209,2,0.0
2012-12,0.03129237906580026,2,0.0
2013-01,0.038369659724248814,2,0.0
2013-02,-0.014593701393112835,2,0.0
2013-03,-0.02986313165482002,2,0.0
2013-04,0.006156614820587172,2,0.0
2013-05,0.008364489700203911,2,0.0
2013-06,-0.07574056836383111,2,0.0
2013-07,0.037484405376722506,2,0.0
2013-08,0.019239433387552962,2,0.0
2013-09,0.04130123635948902,2,0.0
2013-10,0.024123748336863763,2,0.0
2013-11,0.03721159723268811,2,0.0
2013-12,-0.015014205779188473,2,0.0
2014-01,-0.043487306023849995,2,0.0
2014-02,0.036950627986750154,2,0.0
2014-03,-0.033204430952617436,2,0.0
2014-04,-0.012723181633885335,2,0.0
2014-05,0.02222538429572851,2,0.0
2014-06,0.01602447331777648,2,0.0
2014-07,0.06519637450127141,2,0.0
2014-08,0.00898465721184591,2,0.0
2014-09,-0.0553227288032893,2,0.0
2014-10,0.03389553459516924,2,0.0
2014-11,-0.009121387476205237,2,0.0
2014-12,-0.028180679732705535,2,0.0
2015-01,0.025936224965955042,2,0.0
2015-02,0.011938551236606455,2,0.0
2015-03,0.021115615384813952,2,0.0
2015-04,0.1534311973379738,2,0.0
2015-05,-0.023381753360254654,2,0.0
2015-06,-0.062265412651353505,2,0.0
2015-07,-0.08562261364744142,2,0.0
2015-08,-0.11029296229694319,2,0.0
2015-09,-0.022540803244158934,2,0.0
2015-10,0.0839634677368035,2,0.0
2015-11,-0.034712137889217655,2,0.0
2015-12,-0.004971091500166482,2,0.0
2016-01,-0.11205491335101905,2,0.0
2016-02,0.0005923676234611723,2,0.0
2016-03,0.1021998356909087,2,0.0
2016-04,0.011489220607097946,2,0.0
2016-05,-0.01644484080275225,2,0.0
2016-06,0.014201385296281455,2,0.0
2016-07,0.02978462497922736,2,0.0
2016-08,0.04307988760192092,2,0.0
2016-09,0.013988182029796539,2,0.0
2016-10,-0.009224131830150634,2,0.0
2016-11,0.007832371699319107,2,0.0
2016-12,-0.03600859576941605,2,0.0
2017-01,0.07123429438967706,2,0.0
2017-02,0.02114124157315403,2,0.0
2017-03,0.018412520182715282,2,0.0
2017-04,0.0073971347938095455,2,0.0
2017-05,0.025152951357653164,2,0.0
2017-06,0.01296345026594968,2,0.0
2017-07,0.046865879968855564,2,0.0
2017-08,0.03469547134188262,2,0.0
2017-09,0.020826381072686518,2,0.0
2017-10,0.02050105401957364,2,0.0
2017-11,0.008303203029263873,2,0.0
2017-12,0.03860539331771007,2,0.0
2018-01,0.07963600706464401,2,0.0
2018-02,-0.04411449424582144,2,0.0
2018-03,-0.01414055258109782,2,0.0
2018-04,0.017019094572203772,2,0.0
2018-05,0.03016655769816433,2,0.0
2018-06,-0.06004909253618323,2,0.0
2018-07,-0.017631322136254856,2,0.0
2018-08,-0.035566719154276304,2,0.0
2018-09,-0.004679267312915002,2,0.0
2018-10,-0.11016585741650689,2,0.0
2018-11,0.05632138120693686,2,0.0
2018-12,-0.04851223730754296,2,0.0
2019-01,0.08245667540859766,2,0.0
2019-02,0.03445512113663535,2,0.0
2019-03,0.020213144822709958,2,0.0
2019-04,0.0028052034011658167,2,0.0
2019-05,-0.0881967764987047,2,0.0
2019-06,0.049126811582302796,2,0.0
2019-07,-0.013947107225896281,2,0.0
2019-08,-0.04728336922582424,2,0.0
2019-09,0.006182096888298855,2,0.0
2019-10,0.033663907198980055,2,0.0
2019-11,-0.019241726582221938,2,0.0
2019-12,0.072973510296966,2,0.0
2020-01,-0.06633542672725895,2,0.0
2020-02,0.0017167503376354447,2,0.0
2020-03,-0.10920382803880167,2,0.0
2020-04,0.07823503840422635,2,0.0
2020-05,-0.03187881048425219,2,0.0
2020-06,0.06298079872676764,2,0.0
2020-07,0.06912247829982734,2,0.0
2020-08,0.03146169708927013,2,0.0
2020-09,-0.043817017361159234,2,0.0
2020-10,0.014423977869454506,2,0.0
2020-11,0.0958457971479021,2,0.0
2020-12,0.047433263073196445,2,0.0
2021-01,0.03673777085854518,2,0.0
2021-02,0.05226276675724971,2,0.0
2021-03,-0.031248626214733663,2,0.0
2021-04,0.03036440218741881,2,0.0
2021-05,0.028919785190984884,2,0.0
2021-06,-0.001127936834924628,2,0.0
2021-07,-0.0709850746540524,2,0.0
2021-08,0.026122139995379982,2,0.0
2021-09,-0.037761874803947694,2,0.0
2021-10,0.0039947532919275995,2,0.0
2021-11,-0.04518863151712853,2,0.0
2021-12,-0.00857118026654732,2,0.0
2022-01,-0.011052293105030128,2,0.0
2022-02,0.0014269445834150518,2,0.0
2010-01,0.46923460616931667,2,0.5
2010-02,-3.4308167130192455,2,0.5
2010-03,-1.7368599661162718,2,0.5
2010-04,6.7375953709168375,2,0.5
2010-05,-7.286392878497178,2,0.5
2010-06,-8.895143374036754,2,0.5
2010-07,-9.748890615443225,2,0.5
2010-08,11.019444611409455,2,0.5
2010-09,33.06611520609359,2,0.5
2010-10,2.9991427607122416,2,0.5
2010-11,-3.3355054169524028,2,0.5
2010-12,-6.381037563648305,2,0.5
2011-01,-13.922265765528703,2,0.5
2011-02,-8.931405640266107,2,0.5
2011-03,-14.432722635066117,2,0.5
2011-04,28.218292500998032,2,0.5
2011-05,-5.808409196023971,2,0.5
2011-06,-11.729704601692966,2,0.5
2011-07,-19.96179030067456,2,0.5
2011-08,-7.989724698515444,2,0.5
2011-09,5.935132936870181,2,0.5
2011-10,-29.081075030328435,2,0.5
2011-11,26.116797860994055,2,0.5
