,0,gamma_reg,b_weight
2010-01,-0.0745510941682264,0.001,0.5
2010-02,0.03988039384216159,0.001,0.5
2010-03,0.014994009634945196,0.001,0.5
2010-04,0.001797386144482693,0.001,0.5
2010-05,-0.09514679145624685,0.001,0.5
2010-06,-0.12625987862344792,0.001,0.5
2010-07,0.3538275705320858,0.001,0.5
2010-08,0.06268848143911315,0.001,0.5
2010-09,0.16783819028289265,0.001,0.5
2010-10,0.1153503424981101,0.001,0.5
2010-11,0.03851401644199904,0.001,0.5
2010-12,0.04456379443062765,0.001,0.5
2011-01,-0.02179969445405966,0.001,0.5
2011-02,0.04194568277646122,0.001,0.5
2011-03,0.057283552242873424,0.001,0.5
2011-04,0.05739189562402076,0.001,0.5
2011-05,0.00506470011094759,0.001,0.5
2011-06,-0.008682448947222057,0.001,0.5
2011-07,-0.0076417034397229956,0.001,0.5
2011-08,-0.02944952252722676,0.001,0.5
2011-09,-0.08957066671232478,0.001,0.5
2011-10,0.09616504856416283,0.001,0.5
2011-11,0.054411376501543166,0.001,0.5
2011-12,-0.03612132766918771,0.001,0.5
2012-01,0.031227711504383943,0.001,0.5
2012-02,0.02501295087231737,0.001,0.5
2012-03,-0.011217450347084289,0.001,0.5
2012-04,-0.01589487000458046,0.001,0.5
2012-05,-0.047777399470255055,0.001,0.5
2012-06,0.008065629612222326,0.001,0.5
2012-07,0.014166629799487983,0.001,0.5
2012-08,0.010588368934876642,0.001,0.5
2012-09,0.020850021774485628,0.001,0.5
2012-10,-0.03621360498678758,0.001,0.5
2012-11,0.023805395902771635,0.001,0.5
2012-12,-0.022243554098412995,0.001,0.5
2013-01,0.054391718450133054,0.001,0.5
2013-02,0.019407907066938505,0.001,0.5
2013-03,0.051165526442868606,0.001,0.5
2013-04,0.04377802084887571,0.001,0.5
2013-05,-0.021151695456037775,0.001,0.5
2013-06,0.0103390860596052,0.001,0.5
2013-07,0.046067091059789136,0.001,0.5
2013-08,-0.03869611596863822,0.001,0.5
2013-09,0.028220381347994435,0.001,0.5
2013-10,0.05462088414230493,0.001,0.5
2013-11,0.013527194474275582,0.001,0.5
2013-12,0.01618611823681103,0.001,0.5
2014-01,-0.01871577451902884,0.001,0.5
2014-02,0.040880792198098835,0.001,0.5
2014-03,0.005764125192108661,0.001,0.5
2014-04,0.007134419949060505,0.001,0.5
2014-05,0.02064339569723385,0.001,0.5
2014-06,0.01930902133097305,0.001,0.5
2014-07,-0.021477588368317323,0.001,0.5
2014-08,0.03931726404124495,0.001,0.5
2014-09,-0.012542809217523983,0.001,0.5
2014-10,0.04458869526142317,0.001,0.5
2014-11,0.040860817002894075,0.001,0.5
2014-12,-0.005589655068619404,0.001,0.5
2015-01,-0.0021868713383693056,0.001,0.5
2015-02,0.03457819436893025,0.001,0.5
2015-03,-0.00802598318207591,0.001,0.5
2015-04,-0.004557067194619903,0.001,0.5
2015-05,0.01923200578225351,0.001,0.5
2015-06,-0.01911955876412988,0.001,0.5
2015-07,0.042427645919549936,0.001,0.5
2015-08,-0.05718124171699775,0.001,0.5
2015-09,-0.011668441548827832,0.001,0.5
2015-10,0.05486298678267867,0.001,0.5
2015-11,-0.006218077259421402,0.001,0.5
2015-12,0.01400717127995424,0.001,0.5
2016-01,-0.022638889538235785,0.001,0.5
2016-02,0.0025578360497334244,0.001,0.5
2016-03,0.05545739811376727,0.001,0.5
2016-04,-0.02500291717689347,0.001,0.5
2016-05,0.02051224756067712,0.001,0.5
2016-06,0.02721587715910245,0.001,0.5
2016-07,0.030705782810254656,0.001,0.5
2016-08,-0.02555697693163743,0.001,0.5
2016-09,-0.004756970055210279,0.001,0.5
2016-10,-0.02711427585941393,0.001,0.5
2016-11,0.009388313200069383,0.001,0.5
2016-12,0.03338254570919952,0.001,0.5
2017-01,0.017909720186956517,0.001,0.5
2017-02,0.04356746742636984,0.001,0.5
2017-03,-0.0005892210152052646,0.001,0.5
2017-04,0.011134838365777968,0.001,0.5
2017-05,0.022901468523547103,0.001,0.5
2017-06,-0.0008657414228040914,0.001,0.5
2017-07,0.019241942855760454,0.001,0.5
2017-08,0.014183618760035014,0.001,0.5
2017-09,-0.005701576164350184,0.001,0.5
2017-10,0.016964038519038813,0.001,0.5
2017-11,0.03511093901067931,0.001,0.5
2017-12,-0.005311959155948849,0.001,0.5
2018-01,0.038646077645479386,0.001,0.5
2018-02,-0.03369308246481617,0.001,0.5
2018-03,-0.022592530147912366,0.001,0.5
2018-04,-0.01480031969185147,0.001,0.5
2018-05,0.020046514732493925,0.001,0.5
2018-06,0.0101482747552448,0.001,0.5
2018-07,0.03167168869721201,0.001,0.5
2018-08,0.04149312458035112,0.001,0.5
2018-09,0.0020402980192322042,0.001,0.5
2018-10,-0.04661364039001233,0.001,0.5
2018-11,0.030847066986104302,0.001,0.5
2018-12,-0.0743783075245254,0.001,0.5
2019-01,0.05266398970299064,0.001,0.5
2019-02,0.03398492022215141,0.001,0.5
2019-03,0.01942864820926899,0.001,0.5
2019-04,0.03410673092491916,0.001,0.5
2019-05,-0.03530018334009843,0.001,0.5
2019-06,0.047567695007420925,0.001,0.5
2019-07,0.024342550919863155,0.001,0.5
2019-08,0.02644822494964619,0.001,0.5
2019-09,0.01411414051822785,0.001,0.5
2019-10,0.026739702893678288,0.001,0.5
2019-11,0.02218654348806944,0.001,0.5
2019-12,0.018270461630068544,0.001,0.5
2020-01,0.04103112658385672,0.001,0.5
2020-02,-0.06549913628307186,0.001,0.5
2020-03,-0.02315072867398501,0.001,0.5
2020-04,0.030164285921246467,0.001,0.5
2020-05,0.05977735576140853,0.001,0.5
2020-06,0.02053737555463666,0.001,0.5
2020-07,0.0947175447619783,0.001,0.5
2020-08,0.08610586350976979,0.001,0.5
2020-09,0.007249050576627454,0.001,0.5
2020-10,-0.010473657524193596,0.001,0.5
2020-11,0.03542576011761524,0.001,0.5
2020-12,0.028014294937403993,0.001,0.5
2021-01,-0.023589423902439188,0.001,0.5
2021-02,-0.05400524972886956,0.001,0.5
2021-03,0.04620650060189791,0.001,0.5
2021-04,0.06232506302250793,0.001,0.5
