,0,gamma_op,b_weight
2005-04,-0.023579084343630877,2,0.0
2005-05,0.02727559048343892,2,0.0
2005-06,0.00805133271342969,2,0.0
2005-07,0.04027125894460179,2,0.0
2005-08,-0.011553522883227783,2,0.0
2005-09,0.00839939434568184,2,0.0
2005-10,-0.02726602906631627,2,0.0
2005-11,0.03369239380178264,2,0.0
2005-12,-0.0011679931774644906,2,0.0
2006-01,0.03569274749228324,2,0.0
2006-02,-0.0022555502251156217,2,0.0
2006-03,0.013827324978894502,2,0.0
2006-04,0.008953701552190264,2,0.0
2006-05,-0.031462735101889044,2,0.0
2006-06,0.0033414204356044205,2,0.0
2006-07,0.0006803567044245595,2,0.0
2006-08,0.018172614360082474,2,0.0
2006-09,0.01196880704569887,2,0.0
2006-10,0.03578287411793967,2,0.0
2006-11,0.02067208698555699,2,0.0
2006-12,0.006756880156719172,2,0.0
2007-01,0.01722665381094635,2,0.0
2007-02,-0.011293527543766311,2,0.0
2007-03,0.014444912873883223,2,0.0
2007-04,0.03446047550566633,2,0.0
2007-05,0.0387213256205403,2,0.0
2007-06,-0.02059823028630095,2,0.0
2007-07,-0.0319316378640141,2,0.0
2007-08,0.007528495491892691,2,0.0
2007-09,0.03966050572652893,2,0.0
2007-10,0.01964582848185708,2,0.0
2007-11,-0.042892943761251565,2,0.0
2007-12,-0.0006347323423595307,2,0.0
2008-01,-0.06457023019327368,2,0.0
2008-02,-0.027166709703975965,2,0.0
2008-03,-0.0039110379752072405,2,0.0
2008-04,0.04989235629960799,2,0.0
2008-05,0.02557028894731403,2,0.0
2008-06,-0.07369069322578992,2,0.0
2008-07,-0.019366231346803712,2,0.0
2008-08,0.011361495771777759,2,0.0
2008-09,-0.10847983268981023,2,0.0
2008-10,-0.17124636982045133,2,0.0
2008-11,-0.0633631943440939,2,0.0
2008-12,0.015340967661522271,2,0.0
2009-01,-0.07689596547048935,2,0.0
2009-02,-0.09872745887705668,2,0.0
2009-03,0.08571350574290831,2,0.0
2009-04,0.10006862758477938,2,0.0
2009-05,0.05414777501754678,2,0.0
2009-06,0.0016694284090214093,2,0.0
2009-07,0.0766106313221126,2,0.0
2009-08,0.027786141066528554,2,0.0
2009-09,0.043241516991579826,2,0.0
2009-10,-0.025223605526804842,2,0.0
2009-11,0.06218008415120546,2,0.0
2009-12,0.029169408623816846,2,0.0
2010-01,-0.041687641880681386,2,0.0
2010-02,0.029934440493147627,2,0.0
2010-03,0.05920429350421186,2,0.0
2010-04,0.0174516590497765,2,0.0
2010-05,-0.0763049058487136,2,0.0
2010-06,-0.04908731048279537,2,0.0
2010-07,0.07565237197223833,2,0.0
2010-08,-0.03271802492626259,2,0.0
2010-09,0.08926766924660852,2,0.0
2010-10,0.037312821971626914,2,0.0
2010-11,0.003812888672381491,2,0.0
2010-12,0.06724595389856527,2,0.0
2011-01,0.016020640985950792,2,0.0
2011-02,0.03340789538914507,2,0.0
2011-03,0.01125179939506931,2,0.0
2011-04,0.03149236514849859,2,0.0
2011-05,-0.006914748566260133,2,0.0
2011-06,-0.01549495068098625,2,0.0
2011-07,-0.023904241032116705,2,0.0
2011-08,-0.04989003029644236,2,0.0
2011-09,-0.07638402065420535,2,0.0
2011-10,0.10857160754557241,2,0.0
2011-11,0.0004905865214968799,2,0.0
2011-12,0.00959493279282321,2,0.0
2012-01,0.0411225732278437,2,0.0
2012-02,0.036294830652440435,2,0.0
2012-03,0.023312674209346677,2,0.0
2012-04,0.0006692245727544701,2,0.0
2012-05,-0.05344761031246796,2,0.0
2012-06,0.04056717154470302,2,0.0
2012-07,0.01569500778964969,2,0.0
2012-08,0.01609514109098702,2,0.0
2012-09,0.02667281532225077,2,0.0
2012-10,-0.015287218082457671,2,0.0
2012-11,0.0027834266808820407,2,0.0
2012-12,0.01007653787409115,2,0.0
2013-01,0.052252902848834624,2,0.0
2013-02,0.01155552542939269,2,0.0
2013-03,0.03800147413632542,2,0.0
2013-04,0.02280038783518138,2,0.0
2013-05,0.007541252394774051,2,0.0
2013-06,-0.012451592173787171,2,0.0
2013-07,0.04926395140566127,2,0.0
2013-08,-0.028167896127467805,2,0.0
2013-09,0.031274638914735337,2,0.0
2013-10,0.04695609995114039,2,0.0
2013-11,0.01814975589201255,2,0.0
2013-12,0.02509721623612984,2,0.0
2014-01,-0.02959739715785243,2,0.0
2014-02,0.043844956281940586,2,0.0
2014-03,0.011932012691536811,2,0.0
2014-04,0.00958100672122316,2,0.0
2014-05,0.02221057532065268,2,0.0
2014-06,0.022342293979964522,2,0.0
2014-07,-0.019301432691115093,2,0.0
2014-08,0.03782632838803794,2,0.0
2014-09,-0.0200962754203132,2,0.0
2014-10,0.02374333139913855,2,0.0
2014-11,0.01814558600122711,2,0.0
2014-12,-0.005745982525013271,2,0.0
2015-01,-0.021481761614608533,2,0.0
2015-02,0.0505493162623922,2,0.0
2015-03,-0.01662917070881215,2,0.0
2015-04,0.014146088577465698,2,0.0
2015-05,0.005962170078748691,2,0.0
2015-06,-0.02445516654323828,2,0.0
2015-07,0.00782468629468672,2,0.0
2015-08,-0.053632421036803185,2,0.0
2015-09,-0.0305673489397568,2,0.0
2015-10,0.08097287116300295,2,0.0
2015-11,-0.0006167200796080698,2,0.0
2015-12,-0.01829156055595537,2,0.0
2016-01,-0.03820422375687284,2,0.0
2016-02,0.00923090193186022,2,0.0
2016-03,0.07222326875289399,2,0.0
2016-04,0.011308455097088742,2,0.0
2016-05,0.01142281086806042,2,0.0
2016-06,0.01763221941115544,2,0.0
2016-07,0.03046794926991643,2,0.0
2016-08,-0.00828454776860834,2,0.0
2016-09,0.0008553647776081508,2,0.0
2016-10,-0.02335034243073171,2,0.0
2016-11,0.03749257870267516,2,0.0
2016-12,0.02325183308529246,2,0.0
2017-01,0.01600234616680115,2,0.0
2017-02,0.03025773409198542,2,0.0
2017-03,-9.34918899906604e-05,2,0.0
2017-04,0.0034958960563977307,2,0.0
2017-05,0.0072323324776724695,2,0.0
2017-06,0.001044350582573799,2,0.0
2017-07,0.02207379937659241,2,0.0
2017-08,-0.00199750733523913,2,0.0
2017-09,0.023837110060356312,2,0.0
2017-10,0.010891530121179521,2,0.0
2017-11,0.03175813935502592,2,0.0
2017-12,0.012310267039892481,2,0.0
2018-01,0.03866882055349133,2,0.0
2018-02,-0.049823061898514126,2,0.0
2018-03,-0.01474426090332771,2,0.0
2018-04,0.006901738277176147,2,0.0
2018-05,0.01565957132423216,2,0.0
2018-06,0.010267529712518632,2,0.0
2018-07,0.029548355721021602,2,0.0
2018-08,0.01947818340837309,2,0.0
2018-09,0.003473109411665419,2,0.0
2018-10,-0.06371954335725628,2,0.0
2018-11,0.02034477666031702,2,0.0
2018-12,-0.08943463468647586,2,0.0
2019-01,0.07358122049090621,2,0.0
2019-02,0.03089114618743031,2,0.0
2019-03,0.014702224807515351,2,0.0
2019-04,0.02561324220785524,2,0.0
2019-05,-0.06353076462910535,2,0.0
2019-06,0.07125550108735185,2,0.0
2019-07,0.004776265989535702,2,0.0
2019-08,-0.01567838602998032,2,0.0
2019-09,0.02392974447249791,2,0.0
2019-10,0.011129580224910536,2,0.0
2019-11,0.023521372702300508,2,0.0
2019-12,0.030282599496456633,2,0.0
2020-01,-0.014637076743822402,2,0.0
2020-02,-0.08829869231799192,2,0.0
2020-03,-0.1481611828927234,2,0.0
2020-04,0.13516462834513326,2,0.0
2020-05,0.04634763952525825,2,0.0
2020-06,0.006978424320554611,2,0.0
2020-07,0.04996604201299415,2,0.0
2020-08,0.04946663145092661,2,0.0
2020-09,-0.03528069626536129,2,0.0
2020-10,-0.019526493655801443,2,0.0
2020-11,0.1238713380665539,2,0.0
2020-12,0.0340115125539201,2,0.0
2021-01,-0.00864169878588673,2,0.0
2021-02,0.03537759116705248,2,0.0
2021-03,0.05246337458597909,2,0.0
2021-04,0.04353949760439562,2,0.0
2021-05,0.00921427528060698,2,0.0
2021-06,0.008477827119857128,2,0.0
2021-07,0.01046464669778072,2,0.0
2021-08,0.01494729213332218,2,0.0
2021-09,-0.033675911171653486,2,0.0
2021-10,0.061309779083608615,2,0.0
2021-11,-0.0259085714564948,2,0.0
2005-04,-0.040522787252971926,2,0.5
2005-05,0.02340384162534217,2,0.5
2005-06,0.034006261201999545,2,0.5
2005-07,0.05023088348141813,2,0.5
2005-08,0.02054461691100575,2,0.5
2005-09,0.03441646149845727,2,0.5
2005-10,-0.0609335475346042,2,0.5
2005-11,0.023801616707482782,2,0.5
2005-12,0.002617533150446735,2,0.5
2006-01,0.08679134744497279,2,0.5
2006-02,-0.045874306483427746,2,0.5
2006-03,0.026974903744498787,2,0.5
2006-04,0.028210141053887392,2,0.5
2006-05,-0.032818564106157334,2,0.5
2006-06,0.011200030194929793,2,0.5
2006-07,0.020850072736560296,2,0.5
2006-08,-0.012408167764087742,2,0.5
2006-09,-0.012168283898598406,2,0.5
2006-10,0.03922050157297816,2,0.5
2006-11,0.05142934835842129,2,0.5
2006-12,-0.009747689429536183,2,0.5
2007-01,-0.0002464385351353482,2,0.5
2007-02,-0.01566406317287899,2,0.5
2007-03,0.03644520774804946,2,0.5
2007-04,0.0414138429034474,2,0.5
2007-05,0.05321481123685201,2,0.5
2007-06,-0.004178235444963893,2,0.5
2007-07,-0.015593471768385643,2,0.5
2007-08,0.0046919498092575,2,0.5
2007-09,0.058515693882537995,2,0.5
2007-10,0.01548179415217809,2,0.5
2007-11,-0.04389956495252351,2,0.5
2007-12,0.03494613858806698,2,0.5
2008-01,-0.08699260032147386,2,0.5
2008-02,0.02312425961895997,2,0.5
2008-03,-0.014093075582554748,2,0.5
2008-04,0.07861768672398026,2,0.5
2008-05,0.030885029247323142,2,0.5
2008-06,-0.024348740842413088,2,0.5
2008-07,-0.08212413706765284,2,0.5
2008-08,0.0028336032824549636,2,0.5
2008-09,-0.11723446996944718,2,0.5
2008-10,-0.18056802483568246,2,0.5
2008-11,-0.03249927738080701,2,0.5
2008-12,-0.013173988403108235,2,0.5
2009-01,-0.05139332345997387,2,0.5
2009-02,-0.10753697692109905,2,0.5
2009-03,0.06235047638462489,2,0.5
2009-04,0.08438401036421374,2,0.5
2009-05,0.08323206003109816,2,0.5
2009-06,-0.0251259767157543,2,0.5
2009-07,0.06183094547292313,2,0.5
2009-08,0.01650776562701507,2,0.5
2009-09,0.04941992933545745,2,0.5
2009-10,-0.0021331938257584705,2,0.5
2009-11,0.0446324963977008,2,0.5
2009-12,0.013433188797678566,2,0.5
2010-01,-0.04275769855361666,2,0.5
2010-02,0.025323685856254507,2,0.5
2010-03,0.04431106957270628,2,0.5
2010-04,0.03128132798753658,2,0.5
2010-05,-0.09692339735635488,2,0.5
2010-06,-0.053735262389341475,2,0.5
2010-07,0.08113275505375198,2,0.5
2010-08,-0.03179319820786475,2,0.5
2010-09,0.09242322560732988,2,0.5
2010-10,0.049659838941383525,2,0.5
2010-11,0.014133551562701494,2,0.5
2010-12,0.0821301741243792,2,0.5
2011-01,0.021509368410259744,2,0.5
2011-02,0.041004096422504355,2,0.5
2011-03,0.013003889594242044,2,0.5
2011-04,0.02177409558824804,2,0.5
2011-05,-0.024874014441208066,2,0.5
2011-06,-0.016200722945580427,2,0.5
2011-07,-0.017929318028099186,2,0.5
2011-08,-0.05535528070712474,2,0.5
2011-09,-0.09273642449696666,2,0.5
2011-10,0.09257211078790842,2,0.5
2011-11,0.006332134123462759,2,0.5
2011-12,0.01210460556830964,2,0.5
2012-01,0.026039854659108096,2,0.5
2012-02,0.044619342374047286,2,0.5
2012-03,0.008059086789853618,2,0.5
2012-04,-0.009038371779362942,2,0.5
2012-05,-0.050864162293750736,2,0.5
2012-06,0.026673553096548744,2,0.5
2012-07,0.017678641729886996,2,0.5
2012-08,0.013369457621582526,2,0.5
2012-09,0.019992139879345384,2,0.5
2012-10,-0.012557821357840004,2,0.5
2012-11,0.011963209078462603,2,0.5
2012-12,0.005789579688783523,2,0.5
2013-01,0.05750734591839224,2,0.5
2013-02,0.010150679066805918,2,0.5
2013-03,0.04506938440425285,2,0.5
2013-04,0.024461171787389387,2,0.5
2013-05,0.013102249647531337,2,0.5
2013-06,-0.007206319187597338,2,0.5
2013-07,0.05332601606662316,2,0.5
2013-08,-0.031600051039882254,2,0.5
2013-09,0.042883857226968705,2,0.5
2013-10,0.04883822802282426,2,0.5
2013-11,0.026930812611593007,2,0.5
2013-12,0.02374476303066497,2,0.5
2014-01,-0.038622663925147564,2,0.5
2014-02,0.05400234829462078,2,0.5
2014-03,-0.004964287110170851,2,0.5
2014-04,-0.0014664988593389152,2,0.5
2014-05,0.025024489205219585,2,0.5
2014-06,0.01861780111517898,2,0.5
2014-07,-0.014944777552474562,2,0.5
