,0,gamma_op,b_weight
2010-01,-0.041687641880681386,2,0.0
2010-02,0.029934440493147627,2,0.0
2010-03,0.05920429350421186,2,0.0
2010-04,0.0174516590497765,2,0.0
2010-05,-0.0763049058487136,2,0.0
2010-06,-0.04908731048279537,2,0.0
2010-07,0.07565237197223833,2,0.0
2010-08,-0.03271802492626259,2,0.0
2010-09,0.08926766924660852,2,0.0
2010-10,0.037312821971626914,2,0.0
2010-11,0.003812888672381491,2,0.0
2010-12,0.06724595389856527,2,0.0
2011-01,0.016020640985950792,2,0.0
2011-02,0.03340789538914507,2,0.0
2011-03,0.01125179939506931,2,0.0
2011-04,0.03149236514849859,2,0.0
2011-05,-0.006914748566260133,2,0.0
2011-06,-0.01549495068098625,2,0.0
2011-07,-0.023904241032116705,2,0.0
2011-08,-0.04989003029644236,2,0.0
2011-09,-0.07638402065420535,2,0.0
2011-10,0.10857160754557241,2,0.0
2011-11,0.0004905865214968799,2,0.0
2011-12,0.00959493279282321,2,0.0
2012-01,0.0411225732278437,2,0.0
2012-02,0.036294830652440435,2,0.0
2012-03,0.023312674209346677,2,0.0
2012-04,0.0006692245727544701,2,0.0
2012-05,-0.05344761031246796,2,0.0
2012-06,0.04056717154470302,2,0.0
2012-07,0.01569500778964969,2,0.0
2012-08,0.01609514109098702,2,0.0
2012-09,0.02667281532225077,2,0.0
2012-10,-0.015287218082457671,2,0.0
2012-11,0.0027834266808820407,2,0.0
2012-12,0.01007653787409115,2,0.0
2013-01,0.052252902848834624,2,0.0
2013-02,0.01155552542939269,2,0.0
2013-03,0.03800147413632542,2,0.0
2013-04,0.02280038783518138,2,0.0
2013-05,0.007541252394774051,2,0.0
2013-06,-0.012451592173787171,2,0.0
2013-07,0.04926395140566127,2,0.0
2013-08,-0.028167896127467805,2,0.0
2013-09,0.031274638914735337,2,0.0
2013-10,0.04695609995114039,2,0.0
2013-11,0.01814975589201255,2,0.0
2013-12,0.02509721623612984,2,0.0
2014-01,-0.02959739715785243,2,0.0
2014-02,0.043844956281940586,2,0.0
2014-03,0.011932012691536811,2,0.0
2014-04,0.00958100672122316,2,0.0
2014-05,0.02221057532065268,2,0.0
2014-06,0.022342293979964522,2,0.0
2014-07,-0.019301432691115093,2,0.0
2014-08,0.03782632838803794,2,0.0
2014-09,-0.0200962754203132,2,0.0
2014-10,0.02374333139913855,2,0.0
2014-11,0.01814558600122711,2,0.0
2014-12,-0.005745982525013271,2,0.0
2015-01,-0.021481761614608533,2,0.0
2015-02,0.0505493162623922,2,0.0
2015-03,-0.01662917070881215,2,0.0
2015-04,0.014146088577465698,2,0.0
2015-05,0.005962170078748691,2,0.0
2015-06,-0.02445516654323828,2,0.0
2015-07,0.00782468629468672,2,0.0
2015-08,-0.053632421036803185,2,0.0
2015-09,-0.0305673489397568,2,0.0
2015-10,0.08097287116300295,2,0.0
2015-11,-0.0006167200796080698,2,0.0
2015-12,-0.01829156055595537,2,0.0
2016-01,-0.03820422375687284,2,0.0
2016-02,0.00923090193186022,2,0.0
2016-03,0.07222326875289399,2,0.0
2016-04,0.011308455097088742,2,0.0
2016-05,0.01142281086806042,2,0.0
2016-06,0.01763221941115544,2,0.0
2016-07,0.03046794926991643,2,0.0
2016-08,-0.00828454776860834,2,0.0
2016-09,0.0008553647776081508,2,0.0
2016-10,-0.02335034243073171,2,0.0
2016-11,0.03749257870267516,2,0.0
2016-12,0.02325183308529246,2,0.0
2017-01,0.01600234616680115,2,0.0
2017-02,0.03025773409198542,2,0.0
2017-03,-9.34918899906604e-05,2,0.0
2017-04,0.0034958960563977307,2,0.0
2017-05,0.0072323324776724695,2,0.0
2017-06,0.001044350582573799,2,0.0
2017-07,0.02207379937659241,2,0.0
2017-08,-0.00199750733523913,2,0.0
2017-09,0.023837110060356312,2,0.0
2017-10,0.010891530121179521,2,0.0
2017-11,0.03175813935502592,2,0.0
2017-12,0.012310267039892481,2,0.0
2018-01,0.03866882055349133,2,0.0
2018-02,-0.049823061898514126,2,0.0
2018-03,-0.01474426090332771,2,0.0
