,0,gamma_op
2012-12-07,0.032494501670150076,2
2012-12-14,0.026376296156915967,2
2012-12-21,-0.009036495014980155,2
2012-12-28,0.034345076767936945,2
2013-01-04,0.012722904146254965,2
2013-01-11,-0.01755751734278948,2
2013-01-18,0.05279003700773736,2
2013-01-25,-0.032594068592062465,2
2013-02-01,0.03843999186829785,2
2013-02-08,0.007020499124295823,2
2013-02-22,-0.01899104395199492,2
2013-03-01,0.024462976595056134,2
2013-03-08,0.019756426310321786,2
2013-03-15,-0.018600855163839924,2
2013-03-22,0.044958365752509985,2
2013-03-29,-0.026233074666877763,2
2013-04-05,-0.011748712461997263,2
2013-04-12,-0.010648196239642164,2
2013-04-19,0.013819421337177252,2
2013-04-26,-0.033106262686952805,2
2013-05-03,0.025545369198884456,2
2013-05-10,0.03285789986677501,2
2013-05-17,0.023569122140697576,2
2013-05-24,-0.00616716871510882,2
2013-05-31,0.007587190775414038,2
2013-06-07,-0.043997300506478834,2
2013-06-14,-0.02873029472460521,2
2013-06-21,-0.03562626074413,2
2013-06-28,-0.041304786591772724,2
2013-07-05,0.02907887278147877,2
2013-07-12,0.0197495324288373,2
2013-07-19,-0.02734741476410151,2
2013-07-26,0.028074277560733718,2
2013-08-02,0.0039030077612216274,2
2013-08-09,0.02269820098024431,2
2013-08-16,-0.01835642794065625,2
2013-08-23,0.005504655674537843,2
2013-08-30,-0.003412761753601946,2
2013-09-06,0.01943598931719145,2
2013-09-13,0.019459158438673293,2
2013-09-20,-0.01454681102443458,2
2013-09-27,0.012190199332900968,2
2013-10-04,0.010338793123494842,2
2013-10-11,0.026478212749213137,2
2013-10-18,0.0005982323727086081,2
2013-10-25,-0.03783045776227962,2
2013-11-01,-0.025119224254319422,2
2013-11-08,-0.02089378905190256,2
2013-11-15,0.019376387897703202,2
2013-11-22,0.009966295909735301,2
2013-11-29,0.015040486576313405,2
2013-12-06,0.013661929844369683,2
2013-12-13,-0.013400886864896868,2
2013-12-20,-0.05246195891805389,2
2013-12-27,0.004946993837601028,2
2014-01-03,0.008923987972054421,2
2014-01-10,-0.053781093822636766,2
2014-01-17,-0.007007182153967462,2
2014-01-24,0.03366664615670748,2
2014-01-31,-0.01565124328750638,2
2014-02-07,0.007701548987757888,2
2014-02-14,0.0359591656407945,2
2014-02-21,-0.0016713334406121558,2
2014-02-28,-0.024525729833044047,2
2014-03-07,-0.0022938505235816867,2
2014-03-14,-0.014761353680747925,2
2014-03-21,0.009263760987650336,2
2014-03-28,-0.014555964914059107,2
2014-04-04,0.0167082537130641,2
2014-04-11,0.03358391814764779,2
2014-04-18,-0.01174337960842778,2
2014-04-25,-0.03744019436579228,2
2014-05-02,-0.002167060868790291,2
2014-05-09,-0.012207511381252955,2
2014-05-16,0.004565741154469482,2
2014-05-23,0.014818716753818033,2
2014-05-30,0.0038702063053326656,2
2014-06-06,-0.007644551801554926,2
2014-06-13,0.01541332227685473,2
2014-06-20,-0.01939822300470828,2
2014-06-27,0.014887336639383752,2
2014-07-04,0.01861075155151312,2
2014-07-11,0.0002133133770466358,2
2014-07-18,0.020137263268390132,2
2014-07-25,0.02129033205807688,2
2014-08-01,0.021006553213523262,2
