,0,gamma_op
2012-12-07,0.003570266066956038,2
2012-12-14,0.03495024703115241,2
2012-12-21,0.014335937606396636,2
2012-12-28,0.03511344341122713,2
2013-01-04,0.0064608239884713465,2
2013-01-11,0.017483403348144536,2
2013-01-18,0.03717864070577589,2
2013-01-25,-0.042080534218633114,2
2013-02-01,0.016725001524554684,2
2013-02-08,0.03789280038571366,2
2013-02-22,0.00025509615349124425,2
2013-03-01,-0.0030470592644189294,2
2013-03-08,0.005585403095195389,2
2013-03-15,-0.026016170969606678,2
2013-03-22,0.017146414000206615,2
2013-03-29,-0.017666749013647516,2
2013-04-05,-0.029975209907688722,2
2013-04-12,-0.0099198667145312,2
2013-04-19,0.026813716818311673,2
2013-04-26,-0.02116905817018717,2
2013-05-03,0.03197758727874679,2
2013-05-10,0.026688423465234958,2
2013-05-17,0.016732974321948178,2
2013-05-24,-0.0027504153388423816,2
2013-05-31,0.025148608118951248,2
2013-06-07,-0.053482630065869,2
2013-06-14,0.003513390087869767,2
2013-06-21,-0.022604193861977515,2
2013-06-28,-0.030597092921036375,2
2013-07-05,0.0519511179256362,2
2013-07-12,0.024277642603237705,2
2013-07-19,-0.01106481893826962,2
2013-07-26,0.04400429077960627,2
2013-08-02,-0.005706927892775913,2
2013-08-09,0.031050731718717497,2
2013-08-16,-0.054623896520228685,2
2013-08-23,0.02071010823730722,2
2013-08-30,-0.02994086864455352,2
2013-09-06,0.01582900306745903,2
2013-09-13,-0.009470604534886292,2
2013-09-20,0.005355425170123197,2
2013-09-27,0.051350444336547105,2
2013-10-04,0.0020021007645546823,2
2013-10-11,0.001528500626830895,2
2013-10-18,-0.015765723246176252,2
2013-10-25,-0.02877678185325445,2
2013-11-01,-0.026113587995023082,2
2013-11-08,-0.05148329545691886,2
2013-11-15,0.045352841170883645,2
2013-11-22,-0.0015290570169169428,2
2013-11-29,0.02806026270115697,2
2013-12-06,0.0017363428666,2
2013-12-13,-0.0070226309687657935,2
2013-12-20,-0.015929169537703385,2
2013-12-27,0.026234397829876903,2
2014-01-03,0.004372307294077379,2
2014-01-10,-0.021972583661869185,2
2014-01-17,-0.007603486559261336,2
2014-01-24,0.02096622505229618,2
2014-01-31,-0.0010169390773214623,2
2014-02-07,-0.0024034225399383936,2
2014-02-14,0.04340290420238978,2
2014-02-21,0.00404395177788405,2
2014-02-28,-0.04187184026203717,2
2014-03-07,-0.0036128757167548584,2
2014-03-14,-0.010716917532844615,2
2014-03-21,-0.0024499699833413512,2
2014-03-28,-0.023983737633734296,2
2014-04-04,0.0013122140355923946,2
2014-04-11,0.03231400523095955,2
2014-04-18,-0.012257350776957117,2
2014-04-25,-0.05259289568498912,2
2014-05-02,-0.0029202441833539217,2
2014-05-09,-0.009079516553096726,2
2014-05-16,-0.007605034477922311,2
2014-05-23,0.007530040419674793,2
2014-05-30,0.017148947129767313,2
2014-06-06,-0.004410302089264829,2
2014-06-13,0.017004077687542245,2
2014-06-20,-0.018699869213786375,2
2014-06-27,0.020283099396763503,2
2014-07-04,0.020317719321266046,2
2014-07-11,-0.015880529730752994,2
2014-07-18,0.0018594293515261525,2
2014-07-25,0.010318649921827731,2
2014-08-01,0.0357728361201668,2
2014-08-08,-7.855123404718144e-05,2
2014-08-15,0.008983059134837384,2
2014-08-22,0.01040916995232944,2
2014-08-29,-0.02349329348736726,2
2014-09-05,0.036720764328503665,2
2014-09-12,0.0035804686633855724,2
2014-09-19,0.013999956407086431,2
2014-09-26,0.007300641368170551,2
2014-10-03,0.014911213306614584,2
2014-10-10,0.03002661346373578,2
2014-10-17,0.003973675747892706,2
2014-10-24,-0.036429669478488844,2
2014-10-31,0.03136416474490306,2
2014-11-07,-0.020474067217646552,2
2014-11-14,-0.0014024913773102938,2
2014-11-21,0.010157673048951673,2
2014-11-28,0.018120422193628447,2
2014-12-05,0.15383989847282056,2
2014-12-12,-0.01336441741993664,2
2014-12-19,0.07314377013381518,2
2014-12-26,0.038636644418494494,2
2015-01-02,0.040238153613743215,2
2015-01-09,-0.0162447790424531,2
2015-01-16,0.02826262589256431,2
2015-01-23,-0.01886110063260858,2
2015-01-30,-0.030251710901392483,2
2015-02-06,-0.031986600266565,2
2015-02-13,0.039690404232864546,2
2015-02-20,0.014554464179714833,2
2015-02-27,0.01179521544933468,2
2015-03-06,-0.03337996633128312,2
2015-03-13,0.045100871029144375,2
2015-03-20,0.07595762180656004,2
2015-03-27,0.01879846821274778,2
2015-04-03,0.0380547058225039,2
2015-04-10,0.042073698457350414,2
2015-04-17,0.05912429506319133,2
2015-04-24,0.008228195829542482,2
2015-05-01,0.010853739847099166,2
2015-05-08,-0.04842672013651195,2
2015-05-15,0.0010954152561014506,2
2015-05-22,0.07683602957529838,2
2015-05-29,-0.013658568700797697,2
2015-06-05,0.12453714646120725,2
2015-06-12,0.03618949933779387,2
2015-06-19,-0.1224455443335772,2
2015-06-26,-0.05321191335096441,2
2015-07-03,-0.05872547766819913,2
2015-07-10,0.0975110018852045,2
2015-07-17,0.03549117827092835,2
2015-07-24,0.03625464097777712,2
2015-07-31,-0.09876394343087627,2
2015-08-07,0.033557703635045455,2
2015-08-14,0.058550403798768,2
2015-08-21,-0.10986223148381377,2
2015-08-28,-0.09857151206689634,2
2015-09-04,-0.042905299188265605,2
2015-09-11,0.00817120019182022,2
2015-09-18,-0.03609263507496857,2
2015-09-25,-0.001658647424135165,2
2015-10-02,-0.011452588692734522,2
2015-10-09,0.0413544529373802,2
2015-10-16,0.05535527704926211,2
2015-10-23,0.011685044558777521,2
2015-10-30,-0.009909875913387009,2
2015-11-06,0.08188564562904702,2
2015-11-13,-0.0055296030616187345,2
2015-11-20,0.012877273112324386,2
2015-11-27,-0.057406850292638645,2
2015-12-04,0.04105325994047042,2
2015-12-11,-0.018747165008246115,2
2015-12-18,0.04901673179428513,2
2015-12-25,0.022457647571953735,2
2016-01-01,-0.02937397073933126,2
2016-01-08,-0.09074546965609077,2
2016-01-15,-0.078097516723034,2
2016-01-22,-0.004248546737566722,2
2016-01-29,-0.04905911560258365,2
2016-02-05,0.0022533817379054217,2
2016-02-19,0.02857517812548932,2
2016-02-26,-0.02878728070358741,2
2016-03-04,0.0605947153046055,2
2016-03-11,-0.02817131231649902,2
2016-03-18,0.04666706082632448,2
2016-03-25,0.006233061495696827,2
2016-04-01,0.008101274025987239,2
2016-04-08,-0.012217693384901534,2
2016-04-15,0.03257802297191398,2
2016-04-22,-0.029390227229678646,2
2016-04-29,-0.0036333517694523633,2
2016-05-06,-0.02376199924857525,2
2016-05-13,-0.034244136247008845,2
2016-05-20,0.004231659996171349,2
2016-05-27,-0.002919803279470646,2
2016-06-03,0.03689030740558729,2
2016-06-10,-0.0024337972798731985,2
2016-06-17,-0.017198751855261422,2
2016-06-24,-0.0030143540001228474,2
2016-07-01,0.026051824366732954,2
2016-07-08,0.013991036954417717,2
2016-07-15,0.031566921253536655,2
2016-07-22,-0.0163844100445312,2
2016-07-29,-0.013304125183384346,2
2016-08-05,0.00605175203826656,2
2016-08-12,0.034589944666497015,2
2016-08-19,0.0199653780877622,2
2016-08-26,-0.01747826359533173,2
2016-09-02,0.0021479954078360837,2
2016-09-09,0.0024428630109183704,2
2016-09-16,-0.025359887646499664,2
2016-09-23,0.014366011501666599,2
2016-09-30,-0.0033070444664354422,2
2016-10-14,0.008013088119453463,2
2016-10-21,0.0016898745904167468,2
2016-10-28,0.00703779245916984,2
2016-11-04,0.0044917332466122,2
2016-11-11,0.02172576227154849,2
2016-11-18,-0.0014236021601014566,2
2016-11-25,0.03006279611539142,2
2016-12-02,-0.009058003917148236,2
2016-12-09,-0.00627163588063601,2
2016-12-16,-0.0415934537697626,2
2016-12-23,-0.015860158278108917,2
2016-12-30,-0.000681620175038627,2
2017-01-06,0.010043572430536008,2
2017-01-13,-0.011877496366520484,2
2017-01-20,0.0041588656107843505,2
2017-01-27,0.010508598446266065,2
2017-02-03,-0.007899131808294824,2
2017-02-10,0.013296235086133323,2
2017-02-17,0.001450025558070617,2
2017-02-24,0.013406866311967873,2
2017-03-03,-0.013803246027353652,2
2017-03-10,-0.0013779549239554898,2
2017-03-17,0.003781185668757553,2
2017-03-24,-0.0008787496683350879,2
2017-03-31,-0.007676790392570654,2
2017-04-07,0.012867374434343222,2
2017-04-14,-0.01060002767385641,2
2017-04-21,-0.017329103050258057,2
2017-04-28,-0.0026547721738013554,2
2017-05-05,-0.02194503691692737,2
2017-05-12,0.010477626324409985,2
2017-05-19,-0.003159959740017831,2
2017-05-26,0.03637536593612161,2
2017-06-02,0.0004476801657730312,2
2017-06-09,0.018302694362225102,2
2017-06-16,-0.013712407937844609,2
2017-06-23,0.030785069999339908,2
2017-06-30,0.01165958138255756,2
2017-07-07,0.006597843169532402,2
2017-07-14,0.029146133128737636,2
2017-07-21,0.006234838650972423,2
2017-07-28,-0.0001240924959714118,2
2017-08-04,2.3862170009694673e-05,2
2017-08-11,-0.03143086211498834,2
2017-08-18,0.02137447463530849,2
2017-08-25,0.03114673100583804,2
2017-09-01,0.011297068504088539,2
2017-09-08,8.891111704008658e-05,2
2017-09-15,-0.0006673380000571595,2
2017-09-22,-0.0005583524862044693,2
2017-09-29,-0.010048254589827232,2
2017-10-13,0.012488726946614516,2
2017-10-20,-0.0027258028089844483,2
2017-10-27,0.017540450514044223,2
2017-11-03,-0.01359302497269939,2
2017-11-10,0.020810155545636925,2
2017-11-17,0.01139820428119801,2
2017-11-24,0.0077151851227446,2
2017-12-01,-0.024559923410453585,2
2017-12-08,-0.0014210492436330558,2
2017-12-15,-0.016409818981552544,2
