,0,gamma_op
2008-01-04,0.004483261213283627,2
2008-01-11,-0.012339715420616642,2
2008-01-18,-0.07894096655093355,2
2008-01-25,-0.043902312917300124,2
2008-02-01,-0.03302611519349086,2
2008-02-08,0.004064917214159329,2
2008-02-15,0.054906839250179515,2
2008-02-22,-0.050186508415208504,2
2008-02-29,0.03378377448453513,2
2008-03-07,-0.07028563316947364,2
2008-03-14,-0.06571695803123036,2
2008-03-21,-0.06594950723075929,2
2008-03-28,0.14884793166185545,2
2008-04-04,-0.0016782546786635864,2
2008-04-11,0.03137073909036129,2
2008-04-18,0.005877453636799691,2
2008-04-25,0.038995516325084086,2
2008-05-02,0.01772985351743333,2
2008-05-09,-0.04098020579223402,2
2008-05-16,0.024353146401321003,2
2008-05-23,-0.031019975752885155,2
2008-05-30,-0.04673989214250446,2
2008-06-06,-0.015584211574160121,2
2008-06-13,-0.08438239455856641,2
2008-06-20,0.022473276079569896,2
2008-06-27,-0.08088251593529498,2
2008-07-04,-0.04839493440485273,2
2008-07-11,0.051967579644577704,2
2008-07-18,-0.009115130739331337,2
2008-07-25,0.03558116464375492,2
2008-08-01,-0.015505218114707073,2
2008-08-08,-0.02182947892885629,2
2008-08-15,0.017140977453112743,2
2008-08-22,-0.014076241740624103,2
2008-08-29,0.02406994718208554,2
2008-09-05,-0.019485278281909213,2
2008-09-12,-0.048564106320295335,2
2008-09-19,-0.09463164940775733,2
2008-09-26,-0.01932905181965605,2
2008-10-03,0.04637967704398138,2
2008-10-10,-0.11361942014596114,2
2008-10-17,0.0020037117028229466,2
2008-10-24,-0.0798816195915552,2
2008-10-31,0.06658067183724815,2
2008-11-07,0.05542978098578184,2
2008-11-14,-0.0001530823190584046,2
2008-11-21,-0.019729176813552327,2
2008-11-28,0.02608702819463069,2
2008-12-05,0.030614466905960144,2
2008-12-12,0.007542782714547122,2
2008-12-19,0.04032830063513535,2
2008-12-26,-0.040473205755690404,2
2009-01-02,0.036889236451119745,2
2009-01-09,-0.0014539907232810597,2
2009-01-16,-0.016980661232746608,2
2009-01-23,0.01280761509534506,2
2009-01-30,0.016044825303394038,2
2009-02-06,0.06903409795111241,2
2009-02-13,-0.016623118194031266,2
2009-02-20,0.0064232416508448395,2
2009-02-27,-0.009091267176267964,2
2009-03-06,-0.02346213514306438,2
2009-03-13,-0.002438920233597943,2
2009-03-20,0.04964418445419298,2
2009-03-27,0.04862506559660779,2
2009-04-03,0.005955486717498465,2
2009-04-10,0.006402737638463612,2
2009-04-17,0.02870270848598675,2
2009-04-24,0.002752147320122744,2
2009-05-01,0.03653965264178398,2
2009-05-08,0.08588867511333963,2
2009-05-15,-0.005400006782074796,2
2009-05-22,-0.00502044759576726,2
2009-05-29,0.03450544305670305,2
2009-06-05,0.006678792886816692,2
2009-06-12,0.027836402884464997,2
2009-06-19,-0.0275946634356624,2
2009-06-26,0.042435418696490874,2
2009-07-03,-0.00979692598298101,2
2009-07-10,0.030991363873535814,2
2009-07-17,0.05105571918310592,2
2009-07-24,0.02881825586869908,2
2009-07-31,0.06053035111910776,2
2009-08-07,-0.019084132883335027,2
2009-08-14,0.0033370717023658244,2
2009-08-21,-0.07044772929700968,2
2009-08-28,0.030370090029512638,2
2009-09-04,0.042741617720588966,2
2009-09-11,0.012337895351949537,2
2009-09-18,0.0418599400212805,2
2009-09-25,-0.01814774145397333,2
2009-10-02,-0.003286728058828437,2
2009-10-09,0.03929627340221895,2
2009-10-16,0.023719383038571764,2
2009-10-23,0.036112673485561006,2
2009-10-30,-0.021849625388287445,2
2009-11-06,0.005472328056657467,2
2009-11-13,0.044324966196133,2
2009-11-20,0.02322212780254246,2
2009-11-27,-0.009631228121887998,2
2009-12-04,0.04585980413483333,2
2009-12-11,-0.008574235620168858,2
2009-12-18,-0.02631070611206595,2
2009-12-25,0.0333651076593038,2
2010-01-01,0.012385014978362266,2
2010-01-08,-0.03593024399008654,2
2010-01-15,0.0044296902736701916,2
2010-01-22,-0.048937764412416464,2
2010-01-29,-0.012677727467717921,2
2010-02-05,-0.025547988213585778,2
2010-02-12,0.017411091922129147,2
2010-02-19,0.002988193646003689,2
2010-02-26,0.03238758065240256,2
2010-03-05,0.027474686916639054,2
2010-03-12,0.033457317098465944,2
2010-03-19,0.011470188615201118,2
2010-03-26,0.012892572385521562,2
2010-04-02,0.022333669759204314,2
2010-04-09,0.018118250677253277,2
2010-04-16,-0.005575276366285848,2
2010-04-23,0.0020199307622285863,2
2010-04-30,0.011968189430107893,2
2010-05-07,-0.07156711426907408,2
2010-05-14,0.032302390391497134,2
2010-05-21,-0.0702424402534369,2
2010-05-28,0.03081987176623705,2
2010-06-04,0.0010841481330683652,2
2010-06-11,0.013360161785614218,2
2010-06-18,0.020288329104777757,2
2010-06-25,0.012930528567490744,2
2010-07-02,-0.04114625592100576,2
2010-07-09,0.030654051244868797,2
2010-07-16,-0.018946235527117366,2
2010-07-23,0.037994094783860004,2
2010-07-30,0.009593688899905937,2
2010-08-06,0.03140529113263379,2
2010-08-13,-0.00848470283598423,2
2010-08-20,-0.010979620021766253,2
2010-08-27,-0.017087587360810876,2
2010-09-03,0.045302913163399156,2
2010-09-10,0.016370249351561582,2
2010-09-17,0.02347861316648308,2
2010-09-24,0.02786865835374636,2
2010-10-01,0.013370329063537056,2
2010-10-08,-0.020489952884046824,2
2010-10-15,-0.004047021690280684,2
2010-10-22,-0.00956646095449883,2
2010-10-29,0.0023028439896812945,2
2010-11-05,0.026136691827640137,2
2010-11-12,-0.04299167455969053,2
2010-11-19,-0.01139931781103239,2
2010-11-26,-0.00717042411640484,2
2010-12-03,0.019181427495077657,2
2010-12-10,-0.025084290327085815,2
2010-12-17,-0.02627792232755802,2
2010-12-24,-0.011464773195013983,2
2010-12-31,0.010900230204284026,2
2011-01-07,0.024798982559797157,2
2011-01-14,-0.046851365951673836,2
2011-01-21,-0.04909949658816772,2
2011-01-28,0.003143387487848053,2
2011-02-04,0.009530757249565841,2
2011-02-11,-0.0494776447086977,2
2011-02-18,0.044182292376283766,2
2011-02-25,-0.0252016810415005,2
2011-03-04,0.061041733738410785,2
2011-03-11,-0.020562084839179547,2
2011-03-18,-0.02730671308037144,2
2011-03-25,0.037191751819643556,2
2011-04-01,-0.0016973968617683053,2
2011-04-08,0.03447202646277925,2
2011-04-15,0.005305328834999504,2
2011-04-22,-0.0007328598095359323,2
2011-04-29,-0.030974993141011143,2
2011-05-06,0.016055401393072592,2
2011-05-13,0.008728660075512531,2
2011-05-20,-0.015122341527783793,2
2011-05-27,-0.00529103842100047,2
2011-06-03,0.026940178271201293,2
2011-06-10,-0.054005923297551287,2
2011-06-17,-0.020851353817156422,2
2011-06-24,0.014721958385407524,2
2011-07-01,0.02624526367161536,2
2011-07-08,0.006479161733278914,2
2011-07-15,-0.04648829491451109,2
2011-07-22,-0.009024729542379198,2
2011-07-29,-0.009976135897844421,2
2011-08-05,-0.07735326552333206,2
2011-08-12,-0.01429567645966463,2
2011-08-19,-0.03717972653913045,2
2011-08-26,-0.009931011126614512,2
2011-09-02,0.05894657163341281,2
2011-09-09,-0.008940647871556838,2
2011-09-16,-0.014100041740094863,2
2011-09-23,-0.06841138670967371,2
2011-09-30,-0.0002749244035182512,2
2011-10-07,-0.018333420580737766,2
2011-10-14,0.025317972747168713,2
