,0,gamma_reg,b_weight
2010-03,0.0038976096467857116,0.001,0.5
2010-04,-0.054073557236470116,0.001,0.5
2010-05,-0.08143008985046293,0.001,0.5
2010-06,-0.09839925535403904,0.001,0.5
2010-07,0.11944405971612619,0.001,0.5
2010-08,0.06436574070776599,0.001,0.5
2010-09,0.028208115013744275,0.001,0.5
2010-10,0.11310353078814289,0.001,0.5
2010-11,-0.012403763327739726,0.001,0.5
2010-12,-0.01573142057237569,0.001,0.5
2011-01,-0.05758954686593141,0.001,0.5
2011-02,0.07823070155410061,0.001,0.5
2011-03,-0.031384524375522416,0.001,0.5
2011-04,-0.028667427324200447,0.001,0.5
2011-05,-0.06915129633334594,0.001,0.5
2011-06,0.020904489834952696,0.001,0.5
2011-07,0.0020392625262330363,0.001,0.5
2011-08,-0.04623594564273843,0.001,0.5
2011-09,-0.10566685988299344,0.001,0.5
2011-10,0.026991606580361493,0.001,0.5
2011-11,-0.03867862881737683,0.001,0.5
2011-12,-0.11759647416493882,0.001,0.5
2012-01,0.006751150366920141,0.001,0.5
2012-02,0.08972979378107776,0.001,0.5
2012-03,-0.07527172427540632,0.001,0.5
2012-04,0.060388640563283504,0.001,0.5
2012-05,0.011784665326349877,0.001,0.5
2012-06,-0.06357991590631928,0.001,0.5
2012-07,-0.05891091030748681,0.001,0.5
2012-08,-0.04967802278951617,0.001,0.5
2012-09,0.02614618506949277,0.001,0.5
2012-10,-0.022471729558466866,0.001,0.5
2012-11,-0.05729372398583299,0.001,0.5
2012-12,0.1726112029726386,0.001,0.5
2013-01,0.050167510651497875,0.001,0.5
2013-02,-0.0033301228435667213,0.001,0.5
2013-03,-0.035279501945574235,0.001,0.5
2013-04,-0.21681834805610134,0.001,0.5
2013-05,0.003978101354227003,0.001,0.5
2013-06,-0.08699639258852558,0.001,0.5
2013-07,0.06738348745025141,0.001,0.5
2013-08,0.03454001824703263,0.001,0.5
2013-09,0.059693673076182695,0.001,0.5
2013-10,-0.05266531875951999,0.001,0.5
2013-11,0.04790064319240426,0.001,0.5
2013-12,-0.04078787461296053,0.001,0.5
2014-01,-0.0205057675469303,0.001,0.5
2014-02,0.00635272816245124,0.001,0.5
2014-03,-0.048253380250826386,0.001,0.5
