,0,gamma_op,b_weight
2010-01,-0.08215398411666379,2,0.5
2010-02,0.02543635918830657,2,0.5
2010-03,0.08703072230516982,2,0.5
2010-04,0.031233743939868133,2,0.5
2010-05,-0.07512497752515926,2,0.5
2010-06,0.024267543794026812,2,0.5
2010-07,0.03381296830310163,2,0.5
2010-08,0.0003861690773421246,2,0.5
2010-09,0.11707796729313531,2,0.5
2010-10,-0.015538041636709271,2,0.5
2010-11,-0.018245821855677694,2,0.5
2010-12,-0.03134985246944772,2,0.5
2011-01,-0.0480290952354306,2,0.5
2011-02,-0.013070726505633332,2,0.5
2011-03,0.02883196979790008,2,0.5
2011-04,0.025881841101019896,2,0.5
2011-05,0.00757588029747363,2,0.5
2011-06,-0.031329083262234284,2,0.5
2011-07,-0.030356609537870886,2,0.5
2011-08,-0.08933469274467887,2,0.5
2011-09,-0.1241984553296333,2,0.5
2011-10,0.0972407163830746,2,0.5
2011-11,-0.04311482712692104,2,0.5
2011-12,-0.00894076132357074,2,0.5
2012-01,0.03324769106192598,2,0.5
2012-02,0.07295977270885096,2,0.5
2012-03,-0.014772926967281623,2,0.5
2012-04,0.01740019180947762,2,0.5
2012-05,-0.1006425924100593,2,0.5
2012-06,0.02143694915177088,2,0.5
2012-07,0.007259583013503225,2,0.5
2012-08,0.025591818056188896,2,0.5
2012-09,0.022287773838422502,2,0.5
2012-10,0.02851197006183452,2,0.5
2012-11,-0.006292393430273869,2,0.5
2012-12,0.01534218433542266,2,0.5
2013-01,0.044580611162797046,2,0.5
2013-02,0.0019328014602022414,2,0.5
2013-03,-0.015176303933421065,2,0.5
2013-04,0.011950478685025448,2,0.5
2013-05,0.039662997167243405,2,0.5
2013-06,-0.06224442482602392,2,0.5
2013-07,0.03737679661290213,2,0.5
2013-08,0.006528354152052171,2,0.5
2013-09,0.0349461325874786,2,0.5
2013-10,0.029679740614099247,2,0.5
2013-11,0.044703913347523244,2,0.5
2013-12,0.031549591486128306,2,0.5
2014-01,0.017926124993404714,2,0.5
2014-02,0.06301071503050322,2,0.5
2014-03,-0.06402473301920655,2,0.5
2014-04,-0.042851466155208864,2,0.5
2014-05,0.06086487066532003,2,0.5
2014-06,0.04427712576740429,2,0.5
2014-07,0.06067486959513676,2,0.5
2014-08,0.0036353247101476036,2,0.5
2014-09,-0.06375665461115715,2,0.5
2014-10,0.04407525394876722,2,0.5
2014-11,-0.008443621414043416,2,0.5
2014-12,-0.05868098969365975,2,0.5
2015-01,0.0644511834325075,2,0.5
2015-02,0.024987633757216996,2,0.5
2015-03,0.04430998675093923,2,0.5
2015-04,0.14015645402781454,2,0.5
2015-05,-0.019577064877860206,2,0.5
2015-06,-0.05324456735857647,2,0.5
2015-07,-0.08913316788941653,2,0.5
2015-08,-0.10942802459152469,2,0.5
2015-09,-0.014884560665152681,2,0.5
2015-10,0.1029235035249117,2,0.5
2015-11,0.008539205069922052,2,0.5
2015-12,-0.013279168135466788,2,0.5
2016-01,-0.09124435207355355,2,0.5
2016-02,-0.005312856087773156,2,0.5
2016-03,0.1044423313709758,2,0.5
2016-04,0.004365207609014212,2,0.5
2016-05,0.02511235826543877,2,0.5
2016-06,0.013080992172415533,2,0.5
2016-07,0.04186149310851719,2,0.5
2016-08,0.0648322215671992,2,0.5
