,0,gamma_op,b_weight
2010-01,-0.04275470319558877,2,0.5
2010-02,0.023719286769316637,2,0.5
2010-03,0.04692548824808353,2,0.5
2010-04,0.023215920260345226,2,0.5
2010-05,-0.09010056910144035,2,0.5
2010-06,-0.05342504576172333,2,0.5
2010-07,0.08228874375521275,2,0.5
2010-08,-0.028242975487532778,2,0.5
2010-09,0.08645881554161516,2,0.5
2010-10,0.04565757346471145,2,0.5
2010-11,0.00955895466657128,2,0.5
2010-12,0.07415695693010303,2,0.5
2011-01,0.01107291393266335,2,0.5
2011-02,0.03516852402957787,2,0.5
2011-03,0.01506295913340471,2,0.5
2011-04,0.0272910505571953,2,0.5
2011-05,-0.010168225806273636,2,0.5
2011-06,-0.015866377942181854,2,0.5
2011-07,-0.020010083312374874,2,0.5
2011-08,-0.04887982855454735,2,0.5
2011-09,-0.08736501939360798,2,0.5
2011-10,0.09505710024726642,2,0.5
2011-11,0.005004773851605385,2,0.5
2011-12,0.010412095676045775,2,0.5
2012-01,0.02667121137200918,2,0.5
2012-02,0.043558699593705466,2,0.5
2012-03,0.021263522613121193,2,0.5
2012-04,-0.0064733676549078465,2,0.5
2012-05,-0.051590882691301694,2,0.5
2012-06,0.026674870467082945,2,0.5
2012-07,0.01761969114958397,2,0.5
2012-08,0.013369511362554529,2,0.5
2012-09,0.019992736124959973,2,0.5
2012-10,-0.01249671497623349,2,0.5
2012-11,0.012622595283719694,2,0.5
2012-12,0.005668192188117803,2,0.5
2013-01,0.05750735475841692,2,0.5
2013-02,0.010192108617712786,2,0.5
2013-03,0.045069481428663696,2,0.5
2013-04,0.024789915764640368,2,0.5
2013-05,0.013801672800089693,2,0.5
2013-06,-0.0064944279806752915,2,0.5
2013-07,0.05332604546184244,2,0.5
2013-08,-0.03160005255093859,2,0.5
2013-09,0.04288384919736628,2,0.5
2013-10,0.04883822861870314,2,0.5
2013-11,0.026930814254255586,2,0.5
2013-12,0.023744762065989793,2,0.5
2014-01,-0.03862266305925595,2,0.5
2014-02,0.05400234932753215,2,0.5
2014-03,-0.004964282102399785,2,0.5
2014-04,-0.0014664844079550002,2,0.5
2014-05,0.025019591902146872,2,0.5
2014-06,0.018617801506505792,2,0.5
2014-07,-0.014944778023300628,2,0.5
2014-08,0.039546231196556904,2,0.5
2014-09,-0.0196042317246991,2,0.5
2014-10,0.02936079613005943,2,0.5
2014-11,0.029583300534855736,2,0.5
2014-12,0.005575847234689855,2,0.5
2015-01,-0.02076075104761143,2,0.5
2015-02,0.06088387711120011,2,0.5
2015-03,-0.0073700765129695,2,0.5
2015-04,-0.000239846164478065,2,0.5
2015-05,0.027768348273692758,2,0.5
2015-06,-0.012108386916824372,2,0.5
2015-07,0.017920526145201586,2,0.5
2015-08,-0.06606411648274439,2,0.5
2015-09,-0.04754490881012127,2,0.5
2015-10,0.07716999477491711,2,0.5
2015-11,-0.0006673503724336299,2,0.5
2015-12,-0.0022298010937588453,2,0.5
2016-01,-0.06178499778920912,2,0.5
2016-02,0.0028904811341971866,2,0.5
2016-03,0.05130521166560513,2,0.5
2016-04,0.01330998951852088,2,0.5
2016-05,0.016938509099728914,2,0.5
2016-06,0.011676680345218533,2,0.5
2016-07,0.04127653268783499,2,0.5
2016-08,-0.02071191384440329,2,0.5
2016-09,7.902928677209624e-05,2,0.5
2016-10,-0.04204428452568004,2,0.5
2016-11,0.033996602587448965,2,0.5
2016-12,0.01353707281077737,2,0.5
2017-01,0.018443491325110983,2,0.5
2017-02,0.02655988207916514,2,0.5
2017-03,-0.0028727017311804114,2,0.5
2017-04,0.012217519884150976,2,0.5
2017-05,0.005487109931464338,2,0.5
2017-06,0.009245002214355681,2,0.5
2017-07,0.01394231768235216,2,0.5
2017-08,0.010590883158756064,2,0.5
2017-09,0.016248735415061354,2,0.5
2017-10,0.008216980569793822,2,0.5
2017-11,0.02058977400220751,2,0.5
2017-12,0.005479604926836707,2,0.5
2018-01,0.05491304117347747,2,0.5
2018-02,-0.023109380133990654,2,0.5
2018-03,-0.02637627202188408,2,0.5
2018-04,0.0021269164243826735,2,0.5
2018-05,0.04467445737472826,2,0.5
2018-06,-0.00016082030383077206,2,0.5
2018-07,0.025566109373393257,2,0.5
2018-08,0.04593618127126452,2,0.5
2018-09,-0.002615976465762665,2,0.5
2018-10,-0.07477931722357986,2,0.5
2018-11,-0.0006863638148178102,2,0.5
2018-12,-0.08615773585231873,2,0.5
2019-01,0.07870653273928482,2,0.5
2019-02,0.04124993741656721,2,0.5
2019-03,0.027128711075428462,2,0.5
2019-04,0.045597237292104686,2,0.5
2019-05,-0.08038519930708084,2,0.5
2019-06,0.07424927021474553,2,0.5
2019-07,0.02400254064515359,2,0.5
2019-08,-0.02286593464799148,2,0.5
2019-09,0.01997740708018539,2,0.5
2019-10,0.021786432376255452,2,0.5
2019-11,0.03882341040524018,2,0.5
2019-12,0.03564815676928713,2,0.5
2020-01,0.012240264830472133,2,0.5
2020-02,-0.07829056954603711,2,0.5
2020-03,-0.12015646527350632,2,0.5
2020-04,0.14266019012982384,2,0.5
2020-05,0.06038416726599449,2,0.5
2020-06,0.03694082279205724,2,0.5
2020-07,0.05678711133784304,2,0.5
2020-08,0.08455319315727294,2,0.5
2020-09,-0.04813488993360679,2,0.5
2020-10,-0.020941977043961973,2,0.5
2020-11,0.11480593228357054,2,0.5
2020-12,0.04040774849560946,2,0.5
2021-01,-0.00047484667198387275,2,0.5
2021-02,0.024688024555633504,2,0.5
2021-03,0.03247283686855983,2,0.5
2021-04,0.05418290050396086,2,0.5
2021-05,0.001842188470450346,2,0.5
2021-06,0.04200924616998275,2,0.5
2021-07,0.02529256911790371,2,0.5
2021-08,0.032580835248857076,2,0.5
2021-09,-0.04936129638192063,2,0.5
2021-10,0.07546789418176875,2,0.5
2021-11,0.0018854461923755467,2,0.5
2010-01,-0.043110390300557896,2,0.6666666666666666
2010-02,0.021647568861372972,2,0.6666666666666666
2010-03,0.04283255316270741,2,0.6666666666666666
2010-04,0.025137340663868135,2,0.6666666666666666
