,0,gamma_op
2016-08-12,0.002133597688537095,2
2016-08-19,0.010655295487774972,2
2016-08-26,-0.0003839078431018108,2
2016-09-02,0.01877054398954276,2
2016-09-09,-0.024633262269406042,2
2016-09-16,-0.0015139312328168457,2
2016-09-23,0.006627031601098177,2
2016-09-30,0.003482662822789229,2
2016-10-07,0.002149192072570911,2
2016-10-14,-0.019921759099891714,2
2016-10-21,0.009023491314489889,2
2016-10-28,-0.008557271024392188,2
2016-11-04,-0.012019700028195558,2
2016-11-11,0.07846526488431443,2
2016-11-18,0.005499441569402785,2
2016-11-25,0.018925465421762856,2
2016-12-02,0.00362143882163201,2
2016-12-09,0.06286157513503765,2
2016-12-16,-0.021082218005895284,2
2016-12-23,-0.003368354715538871,2
2016-12-30,-0.016590071229932273,2
2017-01-06,0.025131468692914657,2
2017-01-13,0.00455164223476253,2
2017-01-20,-0.01104943429410321,2
2017-01-27,0.013265093521345672,2
2017-02-03,0.0006239701359341491,2
2017-02-10,-0.0003367583920892714,2
2017-02-17,0.02648928719478268,2
2017-02-24,-0.0015175040345798956,2
2017-03-03,0.01825794881884715,2
2017-03-10,-0.010343494231899654,2
2017-03-17,0.002352982527467061,2
2017-03-24,-0.03712389302308268,2
2017-03-31,0.01099463030088889,2
2017-04-07,-0.028043549792678455,2
2017-04-14,-0.01838961756444367,2
2017-04-21,0.019325909636505486,2
2017-04-28,0.018379915672534167,2
2017-05-05,-0.0005429541635512808,2
2017-05-12,-0.008984305443720659,2
2017-05-19,-0.015722931732703876,2
2017-05-26,0.012869410911908376,2
2017-06-02,0.023054151201091687,2
2017-06-09,0.003642429181333693,2
2017-06-16,-0.004410662562051352,2
2017-06-23,-0.0014237172221381468,2
2017-06-30,0.009367927285377022,2
2017-07-07,0.006475672267117073,2
2017-07-14,0.028437349996520124,2
2017-07-21,-0.007418188345292343,2
2017-07-28,-0.010800964961504247,2
2017-08-04,-0.005622843362925903,2
2017-08-11,-0.016369748643412136,2
2017-08-18,-0.008595264028804032,2
2017-08-25,0.014522616671709841,2
2017-09-01,0.03613274475337632,2
2017-09-08,-0.009211716593421904,2
2017-09-15,0.04171666685712673,2
2017-09-22,0.014154689433308668,2
2017-09-29,0.015620525641764426,2
2017-10-06,0.03428432777046496,2
2017-10-13,0.001698896415758897,2
2017-10-20,0.009413449527974165,2
2017-10-27,0.003962375792736759,2
2017-11-03,-0.004220085968496026,2
2017-11-10,-0.009428282012161386,2
2017-11-17,0.01266369054873143,2
2017-11-24,0.01585367438254827,2
2017-12-01,0.0002589932693200845,2
2017-12-08,-0.008983867785947905,2
2017-12-15,-0.005412537557346964,2
2017-12-22,0.014855466185844945,2
2017-12-29,-0.012085318879562207,2
2018-01-05,0.054984332380257336,2
2018-01-12,0.010180130437332296,2
2018-01-19,-0.01845498213490911,2
2018-01-26,-0.0006250319390268807,2
2018-02-02,-0.052174693891843794,2
2018-02-09,-0.026400330457382194,2
2018-02-16,0.013656359528484594,2
2018-02-23,0.008051874193842316,2
2018-03-02,-0.03343637592166777,2
2018-03-09,0.03847366576167529,2
2018-03-16,-0.001367806795844643,2
2018-03-23,-0.0684145547458699,2
2018-03-30,0.028738580972895274,2
2018-04-06,-0.008889745128473826,2
2018-04-13,0.02479063398698383,2
2018-04-20,-0.014662694005801084,2
2018-04-27,0.003065333155403482,2
2018-05-04,0.0011313939523241963,2
2018-05-11,0.020335858791494438,2
2018-05-18,0.002107123742268009,2
2018-05-25,0.008508132752139859,2
2018-06-01,0.015588389697793994,2
2018-06-08,0.019553760789763452,2
2018-06-15,-0.007832518217539875,2
2018-06-22,-0.029666700626634995,2
2018-06-29,-0.03952730477182675,2
2018-07-06,0.012213191475887914,2
2018-07-13,0.00023399428348835316,2
2018-07-20,0.005436274682141492,2
2018-07-27,-0.006057857002866533,2
2018-08-03,0.011232007937446548,2
2018-08-10,-0.014752524265738755,2
2018-08-17,-0.010558410580600761,2
2018-08-24,0.009410346201719766,2
2018-08-31,0.004669961989862449,2
2018-09-07,-0.019791243528162434,2
2018-09-14,0.00544749662514051,2
2018-09-21,0.015013521758573461,2
2018-09-28,-0.03270137793337424,2
2018-10-05,-0.016009125372989298,2
2018-10-12,-0.05910931489487468,2
2018-10-19,-0.01331533424719097,2
2018-10-26,-0.025105556026816904,2
2018-11-02,0.048909006934242556,2
2018-11-09,0.004454659530503609,2
2018-11-16,-0.01414317860925315,2
2018-11-23,-0.03426179797161221,2
2018-11-30,0.04703237087156048,2
2018-12-07,-0.0625146270943838,2
2018-12-14,-0.00843504898407994,2
2018-12-21,-0.06572782673531519,2
2018-12-28,0.031410614413529034,2
2019-01-04,0.015499419915075757,2
2019-01-11,0.03840862998081474,2
2019-01-18,0.031140811413600873,2
2019-01-25,0.005622680156807471,2
2019-02-01,0.007711362683155634,2
2019-02-08,-0.0005737826732387846,2
2019-02-15,0.03404359885612461,2
