,0,gamma_op
2009-04-03,0.00747021524932503,2
2009-04-10,-0.0053495223328889775,2
2009-04-17,0.004173059927319203,2
2009-04-24,-0.02407086885204593,2
2009-05-01,0.03127445133515247,2
2009-05-08,0.015392847115914342,2
2009-05-15,-0.03363972964888237,2
2009-05-22,-0.004137739784790819,2
2009-05-29,0.026580047747641257,2
2009-06-05,0.028502481695577772,2
2009-06-12,-0.005915959770754133,2
2009-06-19,-0.01756865901495384,2
2009-06-26,0.008914968635954477,2
2009-07-03,-0.0021152316942808736,2
2009-07-10,-0.010592296313065942,2
2009-07-17,0.039694473221383045,2
2009-07-24,0.0922296397566955,2
2009-07-31,0.06280529885850501,2
2009-08-07,0.019261665421215383,2
2009-08-14,-0.026109281321004735,2
2009-08-21,0.01250912587928727,2
2009-08-28,0.0016584743240938547,2
2009-09-04,0.0033336734033129344,2
2009-09-11,0.01688389022267826,2
2009-09-18,0.015943691135982235,2
2009-09-25,-0.014124164428036911,2
2009-10-02,0.0021148997700144822,2
2009-10-09,0.031032064446323258,2
2009-10-16,0.01670127363158158,2
2009-10-23,-0.018737002615200785,2
2009-10-30,-0.013415632696978366,2
2009-11-06,0.0172497326604153,2
2009-11-13,0.035569248008613025,2
2009-11-20,-0.0036346737262928815,2
2009-11-27,0.003757067456481579,2
2009-12-04,0.026594516063475234,2
2009-12-11,-0.0030640613909156344,2
2009-12-18,-0.01099773808605516,2
2009-12-25,0.020070284892295186,2
2010-01-01,-0.007826533112127427,2
2010-01-08,0.0025068097048830187,2
2010-01-15,0.014197025394209308,2
2010-01-22,-0.03270669736108383,2
2010-01-29,-0.006272109670390888,2
2010-02-05,-0.006283528439478871,2
2010-02-12,0.023151638005702763,2
2010-02-19,0.026290469095810794,2
2010-02-26,-0.015292970378619123,2
2010-03-05,0.024232636914903738,2
2010-03-12,-0.0021594797915771772,2
2010-03-19,0.015526011511890366,2
2010-03-26,-2.8311128826766604e-05,2
2010-04-02,0.007700576415533943,2
2010-04-09,-0.0009840660137358332,2
2010-04-16,-0.0048374723340050794,2
2010-04-23,0.002159845051167267,2
2010-04-30,-0.014532520756898124,2
2010-05-07,-0.02960518828821028,2
2010-05-14,0.017190279436500082,2
2010-05-21,-0.02977757440564473,2
2010-05-28,-0.010140391396015058,2
2010-06-04,-0.010624879887695015,2
2010-06-11,0.013597498243109232,2
2010-06-18,0.01461136731901575,2
2010-06-25,-0.03942210003018811,2
2010-07-02,-0.01693665820747677,2
2010-07-09,0.039337393465059184,2
2010-07-16,0.001329601620750641,2
2010-07-23,0.022042006823454294,2
2010-07-30,-0.0036345522063807364,2
2010-08-06,0.012873315435935635,2
2010-08-13,-0.015273696700845227,2
2010-08-20,-0.006683878838634207,2
2010-08-27,-0.0012340546972069765,2
2010-09-03,0.02496544106492549,2
2010-09-10,0.008099748014161186,2
2010-09-17,0.010696340294535195,2
2010-09-24,0.018963204895265352,2
2010-10-01,0.0005485278453679439,2
2010-10-08,0.006296568119848894,2
2010-10-15,0.013595400184409908,2
2010-10-22,0.0026355037330351425,2
2010-10-29,0.0006748389460852345,2
2010-11-05,0.011272638134208833,2
2010-11-12,-0.016125743638146922,2
2010-11-19,0.0037614585565815062,2
2010-11-26,-0.006705689061989724,2
2010-12-03,0.010100677838265482,2
2010-12-10,0.005188216001859266,2
2010-12-17,0.009128301557175828,2
2010-12-24,0.0025706569980295927,2
2010-12-31,-0.0060592007438268975,2
2011-01-07,0.009146556375782858,2
2011-01-14,8.303632646064225e-05,2
2011-01-21,-0.00603667476226583,2
2011-01-28,-0.01999765371269296,2
2011-02-04,0.013532727994381936,2
2011-02-11,0.00314358259216193,2
2011-02-18,0.007416633935216032,2
2011-02-25,-0.020896771299403323,2
2011-03-04,0.017253465859893177,2
2011-03-11,-0.00027092993220838844,2
2011-03-18,-0.013079653114453705,2
2011-03-25,0.012899618948667412,2
2011-04-01,0.015724246287780984,2
2011-04-08,0.00719473981073461,2
2011-04-15,0.01726813317835163,2
2011-04-22,0.006286638884776036,2
2011-04-29,0.016459552208979763,2
2011-05-06,-0.016736746227232178,2
2011-05-13,-0.0010413000981073259,2
2011-05-20,-0.005877290647366338,2
2011-05-27,-0.004420897317230468,2
2011-06-03,-0.03203006390875687,2
2011-06-10,-0.03190364878956083,2
2011-06-17,-0.00024384148096729492,2
2011-06-24,0.015491528674328117,2
2011-07-01,0.05906152492455517,2
2011-07-08,0.0011249938498409746,2
2011-07-15,-0.02988975227494355,2
2011-07-22,0.006293145669880656,2
2011-07-29,-0.03815801008346946,2
2011-08-05,-0.04887008521758115,2
2011-08-12,0.0006582687461764426,2
2011-08-19,-0.057821902078976396,2
2011-08-26,0.050793406677001246,2
2011-09-02,-0.0006178675003655254,2
2011-09-09,-0.018210389917950428,2
2011-09-16,0.05772452233877762,2
2011-09-23,-0.06985031152652607,2
2011-09-30,-0.012924081065822567,2
2011-10-07,0.040867293987659786,2
2011-10-14,0.06081888732478642,2
2011-10-21,0.0322003473546232,2
2011-10-28,0.038587995943798595,2
2011-11-04,-0.0325722135276277,2
2011-11-11,0.012472396294664546,2
2011-11-18,-0.01836255672657459,2
2011-11-25,-0.03457291223600881,2
2011-12-02,0.0647781102117104,2
2011-12-09,0.009846408126445003,2
2011-12-16,-0.03156882658940534,2
2011-12-23,0.044581795889346416,2
2011-12-30,-0.00998102096521309,2
2012-01-06,0.008762272708052831,2
2012-01-13,0.01910800048170987,2
2012-01-20,0.027238764533356562,2
2012-01-27,-0.005070719489606819,2
2012-02-03,0.03994154047640733,2
2012-02-10,-0.009393528018293504,2
2012-02-17,0.0171393307842054,2
2012-02-24,-0.006274665465879167,2
2012-03-02,0.012771719009100195,2
2012-03-09,0.008503708856692403,2
2012-03-16,0.05935437850770403,2
2012-03-23,-0.005973485157835104,2
2012-03-30,0.004940870953660342,2
2012-04-06,-0.013855336905199085,2
2012-04-13,-0.025795938283911655,2
2012-04-20,0.011870429028349328,2
