,0,gamma_op
2009-04-03,0.010918257738481475,2
2009-04-10,-0.005649321938620561,2
2009-04-17,0.013216575514236033,2
2009-04-24,-0.02409735052924958,2
2009-05-01,0.02180444768003673,2
2009-05-08,0.02732778159655991,2
2009-05-15,-0.006422452005531673,2
2009-05-22,0.019710432462113518,2
2009-05-29,0.009045938450857563,2
2009-06-05,0.025061830929420582,2
2009-06-12,-0.007513091204851599,2
2009-06-19,-0.015366827629669693,2
2009-06-26,0.003199260781818217,2
2009-07-03,-0.004484706701239994,2
2009-07-10,-0.00719033832121294,2
2009-07-17,0.04796100344524145,2
2009-07-24,0.022799211987539095,2
2009-07-31,0.0027373966943959552,2
2009-08-07,-0.005737945875211455,2
2009-08-14,0.0012916363808407921,2
2009-08-21,0.01746410570347208,2
2009-08-28,-0.0032228982603195832,2
2009-09-04,0.006115512352602767,2
2009-09-11,0.01885029092185738,2
2009-09-18,0.015692184101685804,2
2009-09-25,-0.01305015867062515,2
2009-10-02,-0.001626296226027346,2
2009-10-09,0.03531893397364335,2
2009-10-16,0.02081658082124615,2
2009-10-23,-0.012534484350188885,2
2009-10-30,-0.015865995983460918,2
2009-11-06,0.019010985221666048,2
2009-11-13,0.019272298465541425,2
2009-11-20,0.005590234305705766,2
2009-11-27,0.0007879683840592814,2
2009-12-04,0.006727930661222544,2
2009-12-11,-0.0015675760057658839,2
2009-12-18,-0.019634369569751974,2
2009-12-25,0.018741655056375716,2
2010-01-01,-0.008430520644940686,2
2010-01-08,0.006243395812950162,2
2010-01-15,0.007038956056284021,2
2010-01-22,-0.022260271039562022,2
2010-01-29,-0.0036691559396671756,2
2010-02-05,-0.008336784818742787,2
2010-02-12,0.015829429927587364,2
2010-02-19,0.02794524646783215,2
2010-02-26,-0.0061485603437445155,2
2010-03-05,0.0224190297062764,2
2010-03-12,-0.004018374783511826,2
2010-03-19,0.01581832332320192,2
2010-03-26,0.004595604557490641,2
2010-04-02,0.0065775953953007334,2
2010-04-09,-0.00251344412523858,2
2010-04-16,-0.0040625491779634065,2
2010-04-23,0.002039291158947728,2
2010-04-30,-0.014241301201042765,2
2010-05-07,-0.03226999326298789,2
2010-05-14,0.02079986225449276,2
2010-05-21,-0.02628878770326054,2
2010-05-28,-0.010243206456354988,2
2010-06-04,-0.009460107976245934,2
2010-06-11,0.015676260184742424,2
2010-06-18,0.015061510433782307,2
