,0,gamma_reg,b_weight
2010-03-19,0.014383323181679113,0.001,0.5
2010-03-26,-0.003962032616218117,0.001,0.5
2010-04-02,0.027887471457765274,0.001,0.5
2010-04-09,0.012449555867603691,0.001,0.5
2010-04-16,0.004952609218515128,0.001,0.5
2010-04-23,-0.011361364680636078,0.001,0.5
2010-04-30,-0.06896497447239233,0.001,0.5
2010-05-07,-0.035740046496153914,0.001,0.5
2010-05-14,-0.016210855695179358,0.001,0.5
2010-05-21,-0.04817007629131824,0.001,0.5
2010-05-28,0.05866174853432342,0.001,0.5
2010-06-04,-0.028656765312292585,0.001,0.5
2010-06-11,0.02063152833417608,0.001,0.5
2010-06-18,-0.05653743842516966,0.001,0.5
2010-06-25,0.009368367276182513,0.001,0.5
2010-06-29,-0.06380466665670512,0.001,0.5
2010-07-09,0.015526877812772153,0.001,0.5
2010-07-16,-0.016221395814421707,0.001,0.5
2010-07-23,0.07249086979592906,0.001,0.5
2010-07-30,0.031207945710376557,0.001,0.5
2010-08-06,0.040319487750330146,0.001,0.5
2010-08-13,-0.007694611765509087,0.001,0.5
2010-08-20,-0.0012524287919943823,0.001,0.5
2010-08-27,0.010525326762542617,0.001,0.5
2010-09-03,0.05205085233191971,0.001,0.5
2010-09-10,0.024148696103614538,0.001,0.5
2010-09-17,-0.0184220432496583,0.001,0.5
2010-09-21,-0.0035738446334667388,0.001,0.5
2010-09-29,0.010352987064360816,0.001,0.5
2010-10-08,0.042535591474234385,0.001,0.5
2010-10-15,-0.029688587017700826,0.001,0.5
2010-10-22,0.05449327833355433,0.001,0.5
2010-10-29,0.015316948082539061,0.001,0.5
2010-11-05,0.04533414622018102,0.001,0.5
2010-11-12,-0.02592169401578258,0.001,0.5
2010-11-19,-0.009407308261940335,0.001,0.5
2010-11-26,0.035903867927247805,0.001,0.5
2010-12-03,-0.0284442116898832,0.001,0.5
2010-12-10,-0.008887666916416896,0.001,0.5
2010-12-17,0.033165762046420376,0.001,0.5
2010-12-24,-0.049890225916303016,0.001,0.5
2010-12-31,0.00033831952447042077,0.001,0.5
2011-01-07,-0.0050182865743432035,0.001,0.5
2011-01-14,-0.04346468692146029,0.001,0.5
2011-01-21,-0.05010976616922738,0.001,0.5
2011-01-28,0.013940157842634252,0.001,0.5
2011-02-01,0.012105628848441068,0.001,0.5
2011-02-11,0.033239946043252026,0.001,0.5
2011-02-18,0.01877501379001586,0.001,0.5
2011-02-25,0.006117401627579769,0.001,0.5
2011-03-04,-0.0009443305510749497,0.001,0.5
2011-03-11,0.0070531452512078265,0.001,0.5
2011-03-18,-0.010370181982846234,0.001,0.5
2011-03-25,0.001370022330618482,0.001,0.5
2011-04-01,-0.030527984724922227,0.001,0.5
2011-04-08,0.011013102337214236,0.001,0.5
2011-04-15,0.0034564720617870325,0.001,0.5
2011-04-22,-0.01043324963186659,0.001,0.5
2011-04-29,-0.046496077196833914,0.001,0.5
2011-05-06,0.002830276909590781,0.001,0.5
2011-05-13,0.0015875064662582176,0.001,0.5
2011-05-20,-0.0010751033032877476,0.001,0.5
2011-05-27,-0.07103206948607303,0.001,0.5
2011-06-03,0.020354512519950237,0.001,0.5
2011-06-10,-0.00988442203557588,0.001,0.5
2011-06-17,-0.03334075392823996,0.001,0.5
2011-06-24,0.036616382706594126,0.001,0.5
2011-07-01,0.019829090393317594,0.001,0.5
2011-07-08,0.02902623488748908,0.001,0.5
2011-07-15,0.029569525864514983,0.001,0.5
2011-07-22,-0.0104183849282274,0.001,0.5
2011-07-29,-0.02754370311263104,0.001,0.5
2011-08-05,-0.017086633070492113,0.001,0.5
2011-08-12,0.0016507335082284612,0.001,0.5
2011-08-19,-0.02598572562311634,0.001,0.5
2011-08-26,0.02545224028122594,0.001,0.5
2011-09-01,-0.022097145221730115,0.001,0.5
2011-09-09,-0.03850581837463161,0.001,0.5
2011-09-16,-0.004170870564364766,0.001,0.5
2011-09-23,-0.0229806906216996,0.001,0.5
2011-09-30,-0.044080228180667286,0.001,0.5
2011-10-14,0.015754107669981886,0.001,0.5
2011-10-21,-0.060680596486269445,0.001,0.5
2011-10-28,0.07489468990785908,0.001,0.5
2011-11-04,0.03864454135415632,0.001,0.5
2011-11-11,-0.013277047248359014,0.001,0.5
2011-11-18,-0.02435044016907811,0.001,0.5
2011-11-25,0.004728416709325311,0.001,0.5
2011-12-02,-0.013916295532901116,0.001,0.5
2011-12-09,-0.04592637863246647,0.001,0.5
2011-12-16,-0.051408952683429834,0.001,0.5
2011-12-23,-0.021124162736534582,0.001,0.5
2011-12-30,-0.028229590981201355,0.001,0.5
2012-01-06,-0.06928672483128054,0.001,0.5
2012-01-09,0.03243100737340192,0.001,0.5
2012-01-20,-0.0014066405429705234,0.001,0.5
2012-02-03,0.01824112494753019,0.001,0.5
2012-02-10,0.028576155916604687,0.001,0.5
2012-02-17,0.010463627363586404,0.001,0.5
2012-02-24,0.04961008531075116,0.001,0.5
2012-03-02,-0.0019282086902879863,0.001,0.5
2012-03-09,0.008689534630363533,0.001,0.5
2012-03-16,0.031245020644078355,0.001,0.5
2012-03-23,-0.04837155584091364,0.001,0.5
2012-03-30,-0.06676962335710646,0.001,0.5
2012-04-06,0.0417876931407766,0.001,0.5
2012-04-13,0.015441188216379506,0.001,0.5
2012-04-20,-0.0017481491640382457,0.001,0.5
2012-04-27,-0.011480007812079404,0.001,0.5
2012-05-04,0.06359789159884893,0.001,0.5
2012-05-11,-0.016974564326919767,0.001,0.5
2012-05-18,-0.05112377281647337,0.001,0.5
2012-05-25,0.0004867025009224514,0.001,0.5
2012-06-01,0.03197893279689811,0.001,0.5
2012-06-08,-0.04980137847279419,0.001,0.5
2012-06-15,0.011652341887549905,0.001,0.5
2012-06-21,-0.01753174974884975,0.001,0.5
2012-06-29,0.011904614136462613,0.001,0.5
2012-07-06,0.06342510263643018,0.001,0.5
2012-07-13,0.0183588256937693,0.001,0.5
2012-07-20,-0.05658091797977589,0.001,0.5
2012-07-27,-0.01862791444113395,0.001,0.5
2012-08-03,0.024359654446205047,0.001,0.5
2012-08-10,0.1265732255564675,0.001,0.5
2012-08-17,-0.08709179755439395,0.001,0.5
2012-08-24,0.11238946434292536,0.001,0.5
2012-08-31,-1.4454603774785004,0.001,0.5
2012-09-07,1.0900230272695048,0.001,0.5
2012-09-14,1.7830118651670144,0.001,0.5
2012-09-21,-0.6988731801884973,0.001,0.5
2012-09-28,0.08175303830319684,0.001,0.5
2012-10-12,-0.04734845787665808,0.001,0.5
2012-10-19,-0.06282372878630021,0.001,0.5
2012-10-26,-0.612080704238267,0.001,0.5
2012-11-02,-0.01041648567245168,0.001,0.5
2012-11-09,-0.4149021185377659,0.001,0.5
2012-11-16,-0.4011243337356994,0.001,0.5
2012-11-23,1.332635513028452,0.001,0.5
2012-11-30,0.6273230057605725,0.001,0.5
2012-12-07,1.1936338629511625,0.001,0.5
2012-12-14,0.5502230125451553,0.001,0.5
2012-12-21,0.03385382049216222,0.001,0.5
2012-12-28,5.179543815447135e-05,0.001,0.5
2012-12-31,0.04048780364271316,0.001,0.5
2013-01-04,0.06613771379938882,0.001,0.5
2013-01-11,-0.24365077229560778,0.001,0.5
2013-01-18,0.005672333935075387,0.001,0.5
2013-01-25,-0.05058131595513815,0.001,0.5
2013-02-01,0.14194838834712703,0.001,0.5
2013-02-08,-0.06974281386000128,0.001,0.5
2013-02-22,2.2076827889622304,0.001,0.5
2013-03-01,-0.44885168027139144,0.001,0.5
2013-03-08,-0.42782077325667256,0.001,0.5
2013-03-15,0.006258607123154819,0.001,0.5
2013-03-22,0.0308824535088857,0.001,0.5
2013-03-29,0.021045986026475623,0.001,0.5
2013-04-03,-0.10396329541702345,0.001,0.5
2013-04-12,-0.006849451014844028,0.001,0.5
2013-04-19,0.061519936569661246,0.001,0.5
2013-04-26,0.006201234956263098,0.001,0.5
2013-05-03,0.06160479926490787,0.001,0.5
2013-05-10,0.04214542976455927,0.001,0.5
2013-05-17,0.04564898550860588,0.001,0.5
2013-05-24,0.057161940765948965,0.001,0.5
2013-05-31,0.0159476471356716,0.001,0.5
2013-06-07,-0.06756454413763713,0.001,0.5
2013-06-14,0.053226405526639875,0.001,0.5
2013-06-21,0.002768793259033505,0.001,0.5
2013-06-28,0.011953110156962848,0.001,0.5
2013-07-05,0.07762712850049842,0.001,0.5
2013-07-12,0.026959874295720884,0.001,0.5
2013-07-19,0.04587115782864373,0.001,0.5
2013-07-26,0.04968758471793722,0.001,0.5
2013-08-02,-0.010395187677218724,0.001,0.5
2013-08-09,0.018902154447069115,0.001,0.5
2013-08-16,-0.07646188031439069,0.001,0.5
2013-08-23,0.08315469652156501,0.001,0.5
2013-08-30,-0.04979072621375397,0.001,0.5
2013-09-05,0.035037358450106894,0.001,0.5
2013-09-13,-0.02465934190091828,0.001,0.5
2013-09-18,0.010780567106579028,0.001,0.5
2013-09-27,0.053722982600525056,0.001,0.5
2013-09-30,0.0173366308392735,0.001,0.5
2013-10-11,0.02511111157154673,0.001,0.5
2013-10-18,-0.024451141496612233,0.001,0.5
2013-10-25,-0.04892961309821266,0.001,0.5
2013-11-01,-0.0453598400229757,0.001,0.5
2013-11-08,-0.03685341884435738,0.001,0.5
2013-11-15,0.05388296633491623,0.001,0.5
2013-11-22,0.01274903120411411,0.001,0.5
2013-11-29,0.03833159191111943,0.001,0.5
2013-12-06,-0.017688147592531036,0.001,0.5
2013-12-13,0.007130543541565667,0.001,0.5
2013-12-20,-0.0399553084775105,0.001,0.5
2013-12-27,0.029499806282971837,0.001,0.5
2013-12-31,0.006536945909201498,0.001,0.5
2014-01-03,0.010289618490350433,0.001,0.5
2014-01-10,-0.036427988294704325,0.001,0.5
2014-01-17,0.006260787206424806,0.001,0.5
2014-01-24,0.05221202572265804,0.001,0.5
2014-01-30,-0.005822036151828717,0.001,0.5
2014-02-07,0.016694002769950287,0.001,0.5
2014-02-14,0.032062706674356206,0.001,0.5
2014-02-21,0.005635758014310039,0.001,0.5
2014-02-28,-0.04647376518087788,0.001,0.5
2014-03-07,0.0019871743187831834,0.001,0.5
2014-03-14,-0.021511316006331497,0.001,0.5
2014-03-21,-0.01033070162473548,0.001,0.5
2014-03-28,-0.04528946754638723,0.001,0.5
2014-04-04,0.02518782191054825,0.001,0.5
2014-04-11,0.036198092890416436,0.001,0.5
2014-04-18,0.005194320191256745,0.001,0.5
2014-04-25,-0.07300288122667734,0.001,0.5
2014-04-30,0.003886648503333797,0.001,0.5
2014-05-09,-0.024216783245123212,0.001,0.5
2014-05-16,-0.027156133150242744,0.001,0.5
2014-05-23,0.02566390942603424,0.001,0.5
2014-05-30,0.043959937317730985,0.001,0.5
2014-06-06,-0.011497908255017085,0.001,0.5
