,0,gamma_reg,b_weight
2010-03-19,0.012055258549101635,0.001,0.5
2010-03-26,-0.0051636376692678915,0.001,0.5
2010-04-02,0.027657673891848724,0.001,0.5
2010-04-09,0.011910242520151867,0.001,0.5
2010-04-16,0.003996316753605321,0.001,0.5
2010-04-23,-0.014680083885479624,0.001,0.5
2010-04-30,-0.06504844519277479,0.001,0.5
2010-05-07,-0.038956975414018435,0.001,0.5
2010-05-14,-0.011438266255568291,0.001,0.5
2010-05-21,-0.048142343110865314,0.001,0.5
2010-05-28,0.05656082846204097,0.001,0.5
2010-06-04,-0.030285594121662922,0.001,0.5
2010-06-11,0.017041848692325612,0.001,0.5
2010-06-18,-0.05435205640403316,0.001,0.5
2010-06-25,0.008681582735820783,0.001,0.5
2010-06-29,-0.061966450156334944,0.001,0.5
2010-07-09,0.01585813927243411,0.001,0.5
2010-07-16,-0.01675241083046649,0.001,0.5
2010-07-23,0.0729410684402437,0.001,0.5
2010-07-30,0.02945371296773621,0.001,0.5
2010-08-06,0.0368818601496618,0.001,0.5
2010-08-13,-0.008276981995603717,0.001,0.5
2010-08-20,-0.0012802607640832022,0.001,0.5
2010-08-27,0.007009967776390018,0.001,0.5
2010-09-03,0.046317302225983785,0.001,0.5
2010-09-10,0.023929880359275096,0.001,0.5
2010-09-17,-0.020816447297180463,0.001,0.5
2010-09-21,-0.002833509896487887,0.001,0.5
2010-09-29,0.008537103973244859,0.001,0.5
2010-10-08,0.04650785690436047,0.001,0.5
2010-10-15,-0.013390669019126611,0.001,0.5
2010-10-22,0.048229313132152514,0.001,0.5
2010-10-29,0.008695076989636886,0.001,0.5
2010-11-05,0.04502455651854538,0.001,0.5
2010-11-12,-0.02632283181154369,0.001,0.5
2010-11-19,-0.015391235463350823,0.001,0.5
2010-11-26,0.032007439325610405,0.001,0.5
2010-12-03,-0.02670669347698381,0.001,0.5
2010-12-10,-0.008385578697587848,0.001,0.5
2010-12-17,0.03130810946879586,0.001,0.5
2010-12-24,-0.042706286626070816,0.001,0.5
2010-12-31,-0.0015094006456081175,0.001,0.5
2011-01-07,-0.0011056939360200328,0.001,0.5
2011-01-14,-0.03970887906397987,0.001,0.5
2011-01-21,-0.04958346013183695,0.001,0.5
2011-01-28,0.0120785564186376,0.001,0.5
2011-02-01,0.011861568391836209,0.001,0.5
2011-02-11,0.028422444621258782,0.001,0.5
2011-02-18,0.019142307430012925,0.001,0.5
2011-02-25,0.002044045136344709,0.001,0.5
2011-03-04,0.0038072376005804194,0.001,0.5
2011-03-11,0.004456333058264454,0.001,0.5
2011-03-18,-0.01090381098934528,0.001,0.5
2011-03-25,0.006293870950582892,0.001,0.5
2011-04-01,-0.023049164332383906,0.001,0.5
2011-04-08,0.013404776235082683,0.001,0.5
2011-04-15,0.00553692773568394,0.001,0.5
2011-04-22,-0.012947610209938268,0.001,0.5
2011-04-29,-0.042749929200923874,0.001,0.5
2011-05-06,-0.0032227117281882784,0.001,0.5
2011-05-13,0.00191254819970392,0.001,0.5
2011-05-20,0.000407812768521958,0.001,0.5
2011-05-27,-0.06544364778768223,0.001,0.5
2011-06-03,0.0162510485246329,0.001,0.5
2011-06-10,-0.009916752644821935,0.001,0.5
2011-06-17,-0.0322767776537808,0.001,0.5
2011-06-24,0.038388943551950785,0.001,0.5
2011-07-01,0.01854787804939527,0.001,0.5
2011-07-08,0.026735950731478657,0.001,0.5
2011-07-15,0.027436118628192174,0.001,0.5
2011-07-22,-0.011417870801642471,0.001,0.5
2011-07-29,-0.026160058428521746,0.001,0.5
2011-08-05,-0.017797590366601924,0.001,0.5
2011-08-12,0.0004286777967742719,0.001,0.5
2011-08-19,-0.025181871163344166,0.001,0.5
2011-08-26,0.027721749207072325,0.001,0.5
2011-09-01,-0.021343055347290637,0.001,0.5
2011-09-09,-0.0366248914435494,0.001,0.5
2011-09-16,-0.00362617566448268,0.001,0.5
2011-09-23,-0.023420213886922038,0.001,0.5
2011-09-30,-0.04122866178272763,0.001,0.5
2011-10-14,0.015451920917286855,0.001,0.5
2011-10-21,-0.05741032017709801,0.001,0.5
2011-10-28,0.07606822466492227,0.001,0.5
2011-11-04,0.03244216490050907,0.001,0.5
2011-11-11,-0.013485382834690418,0.001,0.5
2011-11-18,-0.025324057089153047,0.001,0.5
2011-11-25,0.002206317714637671,0.001,0.5
2011-12-02,-0.004917156877639308,0.001,0.5
2011-12-09,-0.03991895835313219,0.001,0.5
2011-12-16,-0.051761269146226155,0.001,0.5
2011-12-23,-0.018669893960633458,0.001,0.5
2011-12-30,-0.026428705495596356,0.001,0.5
2012-01-06,-0.060321854091473226,0.001,0.5
2012-01-09,0.03351583399850247,0.001,0.5
2012-01-20,0.0029656343649875207,0.001,0.5
2012-02-03,0.013505276280824676,0.001,0.5
2012-02-10,0.026724042198623583,0.001,0.5
2012-02-17,0.0034130577178016607,0.001,0.5
2012-02-24,0.04984385148731297,0.001,0.5
2012-03-02,-0.0056199996288475345,0.001,0.5
2012-03-09,0.001870556235670836,0.001,0.5
2012-03-16,0.032748509349630535,0.001,0.5
2012-03-23,-0.04573734806009889,0.001,0.5
2012-03-30,-0.06124043521900241,0.001,0.5
2012-04-06,0.03790201517619958,0.001,0.5
2012-04-13,0.01634606222710803,0.001,0.5
2012-04-20,-0.00033122411263406936,0.001,0.5
2012-04-27,-0.007015933332261042,0.001,0.5
2012-05-04,0.06729707368930286,0.001,0.5
2012-05-11,-0.022866245182868172,0.001,0.5
2012-05-18,-0.05399757268268423,0.001,0.5
2012-05-25,0.0042151047487559885,0.001,0.5
2012-06-01,0.027977578883886207,0.001,0.5
2012-06-08,-0.054447690491706044,0.001,0.5
2012-06-15,0.00821275469692053,0.001,0.5
2012-06-21,-0.021718119403333506,0.001,0.5
2012-06-29,0.02179742255992892,0.001,0.5
2012-07-06,0.07363465734450532,0.001,0.5
2012-07-13,0.024411982701191142,0.001,0.5
2012-07-20,-0.05212266868571048,0.001,0.5
2012-07-27,-0.022626175109110736,0.001,0.5
2012-08-03,0.0677868791934366,0.001,0.5
2012-08-10,0.19882932689689542,0.001,0.5
2012-08-17,-0.15418693138592857,0.001,0.5
2012-08-24,0.19737711656549375,0.001,0.5
2012-08-31,0.04296779991012556,0.001,0.5
2012-09-07,0.0009193611310670813,0.001,0.5
2012-09-14,-0.10359481882932779,0.001,0.5
2012-09-21,-0.025665594796584673,0.001,0.5
2012-09-28,0.03812573037076548,0.001,0.5
2012-10-12,-0.02602604495671577,0.001,0.5
2012-10-19,-0.02877470670299646,0.001,0.5
2012-10-26,0.10007873681270911,0.001,0.5
2012-11-02,-0.004763814005715891,0.001,0.5
2012-11-09,0.03945524747885143,0.001,0.5
2012-11-16,0.02581146264880089,0.001,0.5
2012-11-23,0.18806920850526343,0.001,0.5
2012-11-30,0.033620848065260805,0.001,0.5
2012-12-07,0.17921368172392516,0.001,0.5
2012-12-14,0.08276822930018238,0.001,0.5
2012-12-21,0.035948658636071676,0.001,0.5
2012-12-28,0.0015716423059270145,0.001,0.5
2012-12-31,0.02407305317270793,0.001,0.5
2013-01-04,0.037361597041794835,0.001,0.5
2013-01-11,-0.13912506790895088,0.001,0.5
2013-01-18,0.007781642059373321,0.001,0.5
2013-01-25,-0.07007252322563967,0.001,0.5
2013-02-01,0.08693994470275804,0.001,0.5
2013-02-08,-0.03669936880185427,0.001,0.5
2013-02-22,-1.3788444182651576,0.001,0.5
2013-03-01,0.049598521600080825,0.001,0.5
2013-03-08,0.9844083668233128,0.001,0.5
2013-03-15,0.022904147879568258,0.001,0.5
2013-03-22,0.04393147532756815,0.001,0.5
2013-03-29,0.005251289101277812,0.001,0.5
2013-04-03,-0.10558923632811912,0.001,0.5
2013-04-12,-0.028267221645460416,0.001,0.5
2013-04-19,0.07623794755245086,0.001,0.5
2013-04-26,0.002987454756537687,0.001,0.5
2013-05-03,0.07069903014924903,0.001,0.5
2013-05-10,0.004944560154830942,0.001,0.5
2013-05-17,0.03237113621703344,0.001,0.5
2013-05-24,0.0488931145224081,0.001,0.5
2013-05-31,0.04552080150481795,0.001,0.5
2013-06-07,-0.06829167088990572,0.001,0.5
2013-06-14,0.05543873598906254,0.001,0.5
2013-06-21,0.00047890007639009996,0.001,0.5
2013-06-28,0.009558766782966212,0.001,0.5
2013-07-05,0.07127542041631602,0.001,0.5
2013-07-12,0.03841744789595736,0.001,0.5
2013-07-19,0.03905164052698912,0.001,0.5
2013-07-26,0.044479111472237244,0.001,0.5
2013-08-02,-0.0077082894078208414,0.001,0.5
2013-08-09,0.013866684755177534,0.001,0.5
2013-08-16,-0.07285098187961064,0.001,0.5
2013-08-23,0.07673108403354273,0.001,0.5
2013-08-30,-0.04755735649740277,0.001,0.5
2013-09-05,0.03177167383677679,0.001,0.5
2013-09-13,-0.011982241135128031,0.001,0.5
2013-09-18,0.008426805158297686,0.001,0.5
2013-09-27,0.04348051273212536,0.001,0.5
2013-09-30,0.013148276392563,0.001,0.5
2013-10-11,0.01989206852007121,0.001,0.5
2013-10-18,-0.02972329028236819,0.001,0.5
2013-10-25,-0.043034933723366045,0.001,0.5
2013-11-01,-0.033888053533796154,0.001,0.5
2013-11-08,-0.03864599640131608,0.001,0.5
2013-11-15,0.04680654986291502,0.001,0.5
2013-11-22,0.01241963261970385,0.001,0.5
2013-11-29,0.03277569537096543,0.001,0.5
2013-12-06,-0.014970254014010786,0.001,0.5
2013-12-13,0.0038992882665422617,0.001,0.5
2013-12-20,-0.04101159095252759,0.001,0.5
2013-12-27,0.027626774579121438,0.001,0.5
2013-12-31,0.007861856277968173,0.001,0.5
2014-01-03,0.0046168104716471335,0.001,0.5
2014-01-10,-0.032996035265373175,0.001,0.5
2014-01-17,0.002459041167908253,0.001,0.5
2014-01-24,0.04649652991880307,0.001,0.5
2014-01-30,-0.007286298763353407,0.001,0.5
2014-02-07,0.012878550338851318,0.001,0.5
2014-02-14,0.030984401210488406,0.001,0.5
2014-02-21,0.00036870328011661367,0.001,0.5
2014-02-28,-0.047832513293057634,0.001,0.5
2014-03-07,-0.002552105135701553,0.001,0.5
2014-03-14,-0.020248768129022356,0.001,0.5
2014-03-21,-0.004387739214468815,0.001,0.5
2014-03-28,-0.03794490080494615,0.001,0.5
2014-04-04,0.023728208060896164,0.001,0.5
2014-04-11,0.0376395629637897,0.001,0.5
2014-04-18,-0.000657421103809252,0.001,0.5
2014-04-25,-0.06194401544771507,0.001,0.5
2014-04-30,0.0032353762938362738,0.001,0.5
2014-05-09,-0.026341405871617783,0.001,0.5
2014-05-16,-0.028210921525461202,0.001,0.5
2014-05-23,0.023330733395734448,0.001,0.5
2014-05-30,0.04184124957236532,0.001,0.5
2014-06-06,-0.010638594396752783,0.001,0.5
2014-06-13,0.032868476311847535,0.001,0.5
2014-06-20,-0.03269820397738147,0.001,0.5
2014-06-27,0.025816408786516032,0.001,0.5
2014-07-04,0.03426155695243182,0.001,0.5
2014-07-11,-0.04838750605656661,0.001,0.5
2014-07-18,-0.021695283446288016,0.001,0.5
2014-07-25,-0.051146085148784416,0.001,0.5
2014-08-01,0.02053793008778848,0.001,0.5
2014-08-08,0.016751207993196078,0.001,0.5
2014-08-15,0.035165032542005384,0.001,0.5
2014-08-22,0.041987012281858194,0.001,0.5
2014-08-29,-0.030223397093350604,0.001,0.5
2014-09-05,0.04434895949316575,0.001,0.5
2014-09-12,-0.000860066613481363,0.001,0.5
2014-09-19,-0.010640282622785224,0.001,0.5
2014-09-26,0.012574038601758089,0.001,0.5
2014-09-30,0.016241067265057328,0.001,0.5
2014-10-10,0.01376646437257083,0.001,0.5
2014-10-17,-0.005694799331652508,0.001,0.5
2014-10-24,-0.00683399893674938,0.001,0.5
2014-10-31,0.003783139797050042,0.001,0.5
2014-11-07,-0.005588652558101689,0.001,0.5
2014-11-14,-0.02281529094824943,0.001,0.5
2014-11-21,0.05598746123476732,0.001,0.5
2014-11-28,0.0477684429831258,0.001,0.5
2014-12-05,-0.027541541596684233,0.001,0.5
2014-12-12,0.03747754143251639,0.001,0.5
2014-12-19,0.018967040973265126,0.001,0.5
2014-12-26,-0.0033081649974007815,0.001,0.5
2014-12-31,0.0004363630567470189,0.001,0.5
2015-01-09,-0.0009957890118080012,0.001,0.5
2015-01-16,0.05171891003243248,0.001,0.5
2015-01-23,0.001045139772479442,0.001,0.5
2015-01-30,-0.017968655910800872,0.001,0.5
2015-02-06,-0.01478558200118895,0.001,0.5
2015-02-13,0.05947309571275083,0.001,0.5
2015-02-17,0.028008882241719706,0.001,0.5
2015-02-27,0.0013450399675952966,0.001,0.5
2015-03-06,-0.014025178885440897,0.001,0.5
2015-03-13,0.039819730624282915,0.001,0.5
2015-03-20,0.08967937387097469,0.001,0.5
2015-03-27,0.02908172984239554,0.001,0.5
2015-04-03,0.07159239183614124,0.001,0.5
2015-04-10,0.040207676458667393,0.001,0.5
2015-04-17,0.018829518676783716,0.001,0.5
2015-04-24,0.034307262963559605,0.001,0.5
2015-04-30,0.01570079961676207,0.001,0.5
2015-05-08,-0.023793251133545613,0.001,0.5
2015-05-15,0.04304692804963387,0.001,0.5
2015-05-22,0.09533203233438556,0.001,0.5
2015-05-29,0.00675062875676438,0.001,0.5
2015-06-05,0.08346817450785873,0.001,0.5
2015-06-12,0.023804610653381516,0.001,0.5
2015-06-19,-0.1353606701952182,0.001,0.5
2015-06-26,-0.08397616408411587,0.001,0.5
2015-07-03,-0.14274027259761274,0.001,0.5
2015-07-10,0.012408082500085921,0.001,0.5
2015-07-17,0.07318521133098041,0.001,0.5
2015-07-24,0.03342348845741357,0.001,0.5
2015-07-31,-0.08054349094011766,0.001,0.5
2015-08-07,0.024409667377951347,0.001,0.5
2015-08-14,0.04857200186927509,0.001,0.5
2015-08-21,-0.11493194828861518,0.001,0.5
2015-08-28,-0.07370790438102326,0.001,0.5
2015-09-02,-0.04018811131694539,0.001,0.5
2015-09-11,0.02293537222085891,0.001,0.5
2015-09-18,-0.05169500616792404,0.001,0.5
2015-09-25,-0.0007897847268723383,0.001,0.5
2015-09-30,0.009705262985934672,0.001,0.5
2015-10-09,0.05137970639331579,0.001,0.5
2015-10-16,0.0726273970680747,0.001,0.5
2015-10-23,0.04296194033023033,0.001,0.5
2015-10-30,0.0032399617396016364,0.001,0.5
2015-11-06,0.07260784785735325,0.001,0.5
2015-11-13,0.003345801500681661,0.001,0.5
2015-11-20,0.01603642816227338,0.001,0.5
2015-11-27,-0.05455175545208971,0.001,0.5
2015-12-04,0.03202383057437371,0.001,0.5
2015-12-11,-0.005880207668591304,0.001,0.5
2015-12-18,0.05379510786449049,0.001,0.5
2015-12-25,0.013118961382074598,0.001,0.5
2015-12-31,-0.02393531028198415,0.001,0.5
2016-01-08,-0.18995621838795124,0.001,0.5
2016-01-15,-0.06678795600183253,0.001,0.5
2016-01-22,0.008979916716413114,0.001,0.5
2016-01-29,-0.08208531813584954,0.001,0.5
2016-02-05,0.027914874239803596,0.001,0.5
2016-02-19,0.034141933454011314,0.001,0.5
2016-02-26,-0.11059247370038605,0.001,0.5
2016-03-04,-0.0337207441276819,0.001,0.5
2016-03-11,0.014342701120048859,0.001,0.5
2016-03-18,0.07935927826734271,0.001,0.5
2016-03-25,0.047819617320049974,0.001,0.5
2016-04-01,-0.02360269986500694,0.001,0.5
2016-04-08,-0.011235705329889448,0.001,0.5
2016-04-15,-0.0018068074816456406,0.001,0.5
2016-04-22,-0.04490481622166659,0.001,0.5
2016-04-29,-0.0022926173589754035,0.001,0.5
2016-05-06,0.02310772986488804,0.001,0.5
2016-05-13,0.0033385226005825247,0.001,0.5
2016-05-20,0.002649460061703841,0.001,0.5
2016-05-27,0.0014608740108824386,0.001,0.5
2016-06-03,0.06268530049900425,0.001,0.5
2016-06-08,-0.010312776166160435,0.001,0.5
2016-06-17,-0.01269174200081416,0.001,0.5
2016-06-24,-0.009297343013592925,0.001,0.5
2016-07-01,0.02928931435994367,0.001,0.5
2016-07-08,-0.00981061453614764,0.001,0.5
2016-07-15,-0.0038117718281040942,0.001,0.5
2016-07-22,0.017454215472437806,0.001,0.5
2016-07-29,-0.016559170318792383,0.001,0.5
2016-08-05,-0.0012087601100195938,0.001,0.5
2016-08-12,0.016173564699635025,0.001,0.5
2016-08-19,0.030502166520733637,0.001,0.5
2016-08-26,-0.004426726211495438,0.001,0.5
2016-09-02,-0.0018307220755862134,0.001,0.5
2016-09-09,0.0021903661172914353,0.001,0.5
2016-09-14,-0.01799856775227198,0.001,0.5
2016-09-23,0.01318056254406048,0.001,0.5
2016-09-30,-0.014555285811327421,0.001,0.5
2016-10-14,0.024885627390845738,0.001,0.5
2016-10-21,-0.003960145348554267,0.001,0.5
2016-10-28,-0.013519591495848924,0.001,0.5
2016-11-04,0.0026504884332114306,0.001,0.5
2016-11-11,-0.004164935495171563,0.001,0.5
2016-11-18,0.008151019800443695,0.001,0.5
2016-11-25,0.01659590275694029,0.001,0.5
2016-12-02,0.004418566936495371,0.001,0.5
2016-12-09,-0.012810264977762706,0.001,0.5
2016-12-16,-0.04917359398853153,0.001,0.5
2016-12-23,-0.008688963101273182,0.001,0.5
2016-12-30,0.008348811099663287,0.001,0.5
2017-01-06,-0.0032266664962971904,0.001,0.5
2017-01-13,-0.02115963629323543,0.001,0.5
2017-01-20,0.0016863971621271581,0.001,0.5
2017-01-26,0.002453096121491777,0.001,0.5
2017-02-03,-0.0019890834490848526,0.001,0.5
2017-02-10,0.012168359318649409,0.001,0.5
2017-02-17,0.0015886826102961917,0.001,0.5
2017-02-24,0.03344983935531008,0.001,0.5
2017-03-03,-0.006783314450345047,0.001,0.5
2017-03-10,0.017251052232390224,0.001,0.5
2017-03-17,0.006046157279369191,0.001,0.5
2017-03-24,0.012977335655565879,0.001,0.5
2017-03-31,-0.022354319194673115,0.001,0.5
2017-04-07,0.010864836782112636,0.001,0.5
2017-04-14,-0.009814065842875096,0.001,0.5
2017-04-21,0.010383905705357846,0.001,0.5
2017-04-28,-0.004627871772739971,0.001,0.5
2017-05-05,-0.005142924286867652,0.001,0.5
2017-05-12,-0.009751033025033818,0.001,0.5
2017-05-19,0.010109530479751862,0.001,0.5
2017-05-26,0.0008338826376584167,0.001,0.5
2017-06-02,0.002547012865490338,0.001,0.5
2017-06-09,0.040439797191283655,0.001,0.5
2017-06-16,-0.012124769398830348,0.001,0.5
2017-06-23,0.029532730238018168,0.001,0.5
2017-06-30,0.013046910427451963,0.001,0.5
2017-07-07,-0.024152071137355124,0.001,0.5
2017-07-14,0.006338727120473914,0.001,0.5
2017-07-21,-0.019809968575418956,0.001,0.5
2017-07-28,0.009329869088294022,0.001,0.5
