,0,gamma_op,b_weight
2008-02-29,-0.011645970150094139,2,0
2008-03-07,-0.0014708330656874491,2,0
2008-03-14,-0.0878831313553129,2,0
2008-03-21,-0.04821124556071967,2,0
2008-03-28,-0.04034745350065352,2,0
2008-04-04,-0.10560488906446457,2,0
2008-04-11,0.04999961481628474,2,0
2008-04-18,-0.12521395627383325,2,0
2008-04-25,0.13811556797067126,2,0
2008-05-02,0.039628529723894315,2,0
2008-05-09,0.01398202951549697,2,0
2008-05-16,0.010012649008078404,2,0
2008-05-23,-0.04846586454512107,2,0
2008-05-30,-0.017999450551365134,2,0
2008-06-06,-0.0451401922924233,2,0
2008-06-13,-0.14428978654503058,2,0
2008-06-20,-0.05371833073789475,2,0
2008-06-27,0.0016538011226167521,2,0
2008-07-04,0.013357474276377155,2,0
2008-07-11,0.05657449190888024,2,0
2008-07-18,-0.03516125234299077,2,0
2008-07-25,0.03696554274013989,2,0
2008-08-01,-0.03453658554487262,2,0
2008-08-08,-0.09120638204115643,2,0
2008-08-15,-0.06670309917636577,2,0
2008-08-22,-0.03862085927012772,2,0
2008-08-29,-0.026733657842048928,2,0
2008-09-05,-0.07276730330642911,2,0
2008-09-12,-0.04775487286525697,2,0
2008-09-19,0.028415084108701007,2,0
2008-09-26,0.05429246547298842,2,0
2008-10-10,-0.13533694211418373,2,0
2008-10-17,-0.05551914240847912,2,0
2008-10-24,-0.011531020305229624,2,0
2008-10-31,-0.07246529943592683,2,0
2008-11-07,0.0032729845785084296,2,0
2008-11-14,0.15786790661052472,2,0
2008-11-21,0.010013011920418088,2,0
2008-11-28,-0.03728136252782511,2,0
2008-12-05,0.11171919902234033,2,0
2008-12-12,-0.025396188709702304,2,0
2008-12-19,0.05508129954176171,2,0
2008-12-26,-0.08798668503343429,2,0
2009-01-02,-0.016577769249381674,2,0
2009-01-09,0.060397544244074744,2,0
2009-01-16,0.03201640246070662,2,0
2009-01-23,0.015858887751356295,2,0
2009-02-06,0.10061212825103592,2,0
2009-02-13,0.0970476427670615,2,0
2009-02-20,-0.01581574723731919,2,0
2009-02-27,-0.11090850901923124,2,0
2009-03-06,0.07491569414887649,2,0
2009-03-13,-0.031520147390770026,2,0
2009-03-20,0.07902742986781719,2,0
2009-03-27,0.034451339047198125,2,0
2009-04-03,0.02155453949277626,2,0
2009-04-10,0.019706742992008357,2,0
2009-04-17,0.033114769806032174,2,0
2009-04-24,-0.022363120866560598,2,0
2009-05-01,0.01596076772578934,2,0
2009-05-08,0.0481116499400225,2,0
2009-05-15,0.0052589764153588864,2,0
2009-05-22,-0.01774502278059504,2,0
2009-05-29,0.005053690975126949,2,0
2009-06-05,0.03533183081162562,2,0
2009-06-12,-0.0113974047474928,2,0
2009-06-19,0.04298665141827582,2,0
2009-06-26,0.004770471933779668,2,0
2009-07-03,0.030201644110696403,2,0
2009-07-10,-0.00042800000000000005,2,0
2009-07-17,0.08500012309531493,2,0
2009-07-24,0.03242079735835731,2,0
2009-07-31,0.013588676961162173,2,0
2009-08-07,-0.022577954163302095,2,0
2009-08-14,-0.07052956658785857,2,0
2009-08-21,-0.029696567504471305,2,0
2009-08-28,-0.005543784295681535,2,0
2009-09-04,-0.005404311584135825,2,0
2009-09-11,0.04330847696575369,2,0
2009-09-18,0.014929035031942955,2,0
2009-09-25,-0.04857314030625891,2,0
2009-10-02,-0.027118181452190953,2,0
2009-10-09,0.05050205832905253,2,0
2009-10-16,0.025429064447784637,2,0
2009-10-23,0.044310689536907144,2,0
2009-10-30,-0.025417193836745292,2,0
2009-11-06,0.06337564258518512,2,0
2009-11-13,0.02078391503792507,2,0
2009-11-20,0.04282223607216826,2,0
2009-11-27,-0.06754284499029996,2,0
2009-12-04,0.0672696387166922,2,0
2009-12-11,-0.005684678242495413,2,0
2009-12-18,-0.053237138722824685,2,0
2009-12-25,0.036364084715256,2,0
2010-01-01,0.027189843512580726,2,0
2010-01-08,-0.007563782373899869,2,0
2010-01-15,0.03787138608651399,2,0
2010-01-22,-0.04757333124795588,2,0
2010-01-29,-0.03263615501515692,2,0
2010-02-05,-0.02216427536862315,2,0
2010-02-12,0.02635138866661189,2,0
2010-02-26,0.027767251934204647,2,0
2010-03-05,-0.012391178456724935,2,0
2010-03-12,-0.019662825790315256,2,0
2010-03-19,0.025496954423660113,2,0
2010-03-26,-6.72928175401199e-05,2,0
2010-04-02,0.03382432272803157,2,0
2010-04-09,0.01026413361553548,2,0
2010-04-16,-0.0005792989605104356,2,0
2010-04-23,-0.017366995717346564,2,0
2010-04-30,-0.06713429723668138,2,0
2010-05-07,-0.04714116351027935,2,0
2010-05-14,-0.01348314405878995,2,0
2010-05-21,-0.043995293284823156,2,0
2010-05-28,0.04930805582776047,2,0
2010-06-04,-0.034214905092969324,2,0
2010-06-11,0.018647390096651104,2,0
2010-06-18,-0.04088516299962871,2,0
2010-06-25,0.012054380364157484,2,0
2010-07-02,-0.09448960565659179,2,0
2010-07-09,0.04982260577336765,2,0
2010-07-16,-0.012932545852997832,2,0
2010-07-23,0.07148375779115751,2,0
2010-07-30,0.03208062341950376,2,0
2010-08-06,0.026068266802357694,2,0
2010-08-13,-0.012663317593735913,2,0
