,0,gamma_op
2015-04-03,0.05897191707101778,2
2015-04-10,0.040089927878343846,2
2015-04-17,0.029758703041389944,2
2015-04-24,0.03294288607757283,2
2015-05-08,-0.021708386957448287,2
2015-05-15,0.03786986223122069,2
2015-05-22,0.09869812294458943,2
2015-05-29,0.014028590168309669,2
2015-06-05,0.0822230537385585,2
2015-06-12,0.025203379780774887,2
2015-06-19,-0.13748780137779887,2
2015-06-26,-0.0577663103956617,2
2015-07-03,-0.07987918077417401,2
2015-07-10,0.07767980425406304,2
2015-07-17,-0.010641839846656356,2
2015-07-24,-0.009515060193553724,2
2015-07-31,-0.08851426157586366,2
2015-08-07,0.013637630313252366,2
2015-08-14,0.033634181549974836,2
2015-08-21,-0.1150198889322501,2
2015-08-28,-0.055090730441472016,2
2015-09-11,0.010274256431710486,2
2015-09-18,-0.024802199914262652,2
2015-09-25,-0.00017538385342152695,2
2015-10-09,0.030903880111029118,2
2015-10-16,0.04836115183617881,2
2015-10-23,0.017364069255271935,2
2015-10-30,-0.009687237735309448,2
2015-11-06,0.09599679556100976,2
2015-11-13,-0.006395580851972699,2
2015-11-20,0.008848943615258075,2
2015-11-27,-0.05669652063417972,2
2015-12-04,0.04931246903896277,2
2015-12-11,-0.015984710116046016,2
2015-12-18,0.0502265939617207,2
2015-12-25,0.02666457394452182,2
2016-01-08,-0.12102605832070683,2
2016-01-15,-0.0645027479056679,2
2016-01-22,-0.009219764982543061,2
2016-01-29,-0.04161921485156977,2
2016-02-05,-0.0024465848820741467,2
2016-02-19,0.019632560267040022,2
2016-02-26,-0.02864533173166822,2
2016-03-04,0.0697047977222367,2
2016-03-11,-0.027887010398435434,2
2016-03-18,0.04334597121606396,2
2016-03-25,0.0087546043891683,2
2016-04-01,0.004916469243528526,2
2016-04-08,-0.01648698376922145,2
2016-04-15,0.03029917079784899,2
2016-04-22,-0.017308163746236047,2
2016-04-29,-0.009431646776160329,2
2016-05-06,-0.011201256915375891,2
2016-05-13,-0.019207676821175638,2
2016-05-20,0.005402473467030653,2
2016-05-27,-0.004386593010347743,2
2016-06-03,0.03740577491399598,2
2016-06-17,-0.01738741070205443,2
2016-06-24,-0.003394600815458266,2
2016-07-01,0.02404489396022322,2
2016-07-08,0.0029230775146457705,2
2016-07-15,0.02225427647150542,2
2016-07-22,-0.013322430699629087,2
2016-07-29,-0.0100667639003314,2
2016-08-05,0.010778631345580039,2
2016-08-12,0.04066209993431972,2
2016-08-19,0.020641651221626683,2
2016-08-26,-0.017328562873374587,2
2016-09-02,0.005738608166790788,2
2016-09-09,-0.0017132692288549258,2
2016-09-23,-0.007574215072583276,2
2016-09-30,-0.0027048307212933506,2
2016-10-14,0.006143674354774247,2
2016-10-21,0.0011085030020053905,2
2016-10-28,0.007748565377617483,2
2016-11-04,0.006016238905171509,2
2016-11-11,0.019282508199446876,2
2016-11-18,-0.001204313885376086,2
2016-11-25,0.03460449767811756,2
2016-12-02,-0.012530377842995707,2
2016-12-09,-0.00555483446993321,2
2016-12-16,-0.04314862738578018,2
2016-12-23,-0.020308242783594187,2
2016-12-30,0.0020506458487121963,2
2017-01-06,0.005900125414448482,2
2017-01-13,-0.0014316976702244645,2
2017-01-20,0.007352630668576988,2
2017-02-03,-0.0008807021666313647,2
2017-02-10,0.012245674542764507,2
2017-02-17,0.0016907322885953348,2
2017-02-24,0.01112102657231603,2
2017-03-03,-0.016048511138618344,2
2017-03-10,-0.002261156449157872,2
2017-03-17,0.003436415710345631,2
2017-03-24,-0.004471926158570835,2
2017-03-31,-0.006205701812944675,2
2017-04-07,0.011238292549491475,2
2017-04-14,-0.01118644343179292,2
2017-04-21,-0.016226268926838393,2
2017-04-28,-0.0012826512337098374,2
2017-05-05,-0.023215858569273502,2
2017-05-12,0.016759212574532962,2
2017-05-19,-0.0022265541010867396,2
2017-05-26,0.03746642761721533,2
2017-06-02,0.0007153855566371467,2
2017-06-09,0.017656675868719707,2
2017-06-16,-0.0142000607825968,2
2017-06-23,0.029032926169504793,2
2017-06-30,0.011982952237310038,2
2017-07-07,0.004543505756927867,2
2017-07-14,0.02630136894493849,2
2017-07-21,0.004115398592089977,2
2017-07-28,2.043943758584912e-05,2
2017-08-04,-0.0014853551880947152,2
2017-08-11,-0.027861564680937007,2
2017-08-18,0.022743308912043996,2
2017-08-25,0.025105189827815618,2
2017-09-01,0.012080915935215677,2
2017-09-08,0.001103053112981576,2
2017-09-15,-0.0012358215379560432,2
2017-09-22,-0.0002459988694107542,2
2017-09-29,-0.007928662932668664,2
2017-10-13,0.014663069102308739,2
2017-10-20,-0.0029335451922136895,2
2017-10-27,0.018222842284913488,2
2017-11-03,-0.0116730785069827,2
2017-11-10,0.02097215029399005,2
2017-11-17,0.015367775825295452,2
2017-11-24,0.007225092363481903,2
2017-12-01,-0.027193829794042133,2
2017-12-08,0.0007643357127468848,2
2017-12-15,-0.019455542770613603,2
2017-12-22,0.014521036429909399,2
2017-12-29,-0.007042874107882493,2
2018-01-05,0.026883518679169553,2
2018-01-12,0.021175159306953233,2
2018-01-19,0.03978351512102288,2
2018-01-26,0.014300872504411045,2
2018-02-02,-0.021085183806818047,2
2018-02-09,-0.11120823707056912,2
2018-02-23,0.05171860568835146,2
2018-03-02,-0.02751348158233899,2
2018-03-09,0.023198499255400955,2
2018-03-16,-0.018858492063728086,2
2018-03-23,-0.03331334574549182,2
2018-03-30,-0.006554116367868632,2
2018-04-13,-0.0014689415493940319,2
2018-04-20,-0.03305603763353018,2
2018-04-27,-0.00018302519990622503,2
2018-05-04,-0.0023450698395328733,2
2018-05-11,0.022858428198127025,2
2018-05-18,-0.00047365603315572126,2
2018-05-25,-0.028880902641744595,2
2018-06-01,-0.020985281488201453,2
2018-06-08,-0.0018638866133276314,2
2018-06-15,0.00833440638933012,2
2018-06-22,-0.039900510513647965,2
2018-06-29,-0.03461916259835046,2
2018-07-06,-0.031458025141933216,2
2018-07-13,0.02946776476711354,2
2018-07-20,0.01505833268511842,2
2018-07-27,0.014733049243093045,2
2018-08-03,-0.04496326177713313,2
2018-08-10,0.03049961987926983,2
2018-08-17,-0.04129450429663073,2
2018-08-24,0.04302898832620569,2
2018-08-31,0.00469444376281747,2
2018-09-07,-0.00949357066904264,2
2018-09-14,-0.0010824854636366677,2
2018-09-21,0.057615361485690644,2
2018-09-28,0.00013733352570324069,2
2018-10-12,-0.07360130509329352,2
