,0,gamma_op
2008-02-29,-0.005999879317269162,2
2008-03-07,0.019194956736384404,2
2008-03-14,-0.08647579978189454,2
2008-03-21,-0.04467593514600444,2
2008-03-28,-0.0089461002244852,2
2008-04-04,-0.05975799187411137,2
2008-04-11,0.027542858686517954,2
2008-04-18,-0.13034049571777157,2
2008-04-25,0.161901392116303,2
2008-05-02,0.04211789031131564,2
2008-05-09,-0.0470228939638745,2
2008-05-16,0.021208801542070034,2
2008-05-23,-0.07437699506016304,2
2008-05-30,-0.013002527126774166,2
2008-06-06,-0.029170647802493222,2
2008-06-13,-0.14803221229163324,2
2008-06-20,-0.02767393561193594,2
2008-06-27,-0.008258844898293786,2
2008-07-04,-0.04279299219043843,2
2008-07-11,0.07159847575410058,2
2008-07-18,-0.02152707445247224,2
2008-07-25,0.022344840691105573,2
2008-08-01,-0.03412105301101173,2
2008-08-08,-0.08513483294745337,2
2008-08-15,-0.055171522204075604,2
2008-08-22,-0.029727026060883677,2
2008-08-29,-0.028588185699858992,2
2008-09-05,-0.09618679163407495,2
2008-09-12,-0.040453783012301944,2
2008-09-19,0.011158725836454378,2
2008-09-26,0.016448296797670847,2
2008-10-10,-0.1443537285757942,2
2008-10-17,-0.06439872741473927,2
2008-10-24,0.002332161295110754,2
2008-10-31,-0.07190800121828164,2
2008-11-07,-0.008237074240710497,2
2008-11-14,0.16068420836223934,2
2008-11-21,0.008489668065571677,2
2008-11-28,-0.034127642065555006,2
2008-12-05,0.12407839941614365,2
2008-12-12,-0.03769790275524601,2
2008-12-19,0.0679559171545679,2
2008-12-26,-0.08591764662513365,2
2009-01-02,-0.0029684562336282083,2
2009-01-09,0.06403611725693982,2
2009-01-16,0.01255313786327196,2
2009-01-23,0.020920724189457365,2
2009-02-06,0.05657990048960216,2
2009-02-13,0.1144157165164448,2
2009-02-20,-0.0069730414260361345,2
2009-02-27,-0.11338011246947206,2
2009-03-06,0.07181552163745672,2
2009-03-13,-0.031266409835432864,2
2009-03-20,0.05374517415592587,2
2009-03-27,0.01456830671118038,2
2009-04-03,0.015443583485592655,2
