,0,gamma_reg,b_weight
2010-01-01,0.021016627452939265,0.001,0.5
2010-01-08,-0.005567157549313643,0.001,0.5
2010-01-15,0.006924968378561539,0.001,0.5
2010-01-22,-0.04758818886994727,0.001,0.5
2010-01-29,-0.029618212813563374,0.001,0.5
2010-02-05,-0.015622505288971224,0.001,0.5
2010-02-12,0.02278997872351751,0.001,0.5
2010-02-19,-0.005857896133011851,0.001,0.5
2010-02-26,0.03301552229095152,0.001,0.5
2010-03-05,0.01722333997394907,0.001,0.5
2010-03-12,0.03342871678066674,0.001,0.5
2010-03-19,0.004415222089492292,0.001,0.5
2010-03-26,-0.0021280511747210134,0.001,0.5
2010-04-02,0.014297727585527598,0.001,0.5
2010-04-09,0.029382709746288305,0.001,0.5
2010-04-16,-0.007427865854257286,0.001,0.5
2010-04-23,-0.0015225155363719255,0.001,0.5
2010-04-30,-0.004614178210928223,0.001,0.5
2010-05-07,-0.06478455961230621,0.001,0.5
2010-05-14,0.02653475418235911,0.001,0.5
2010-05-21,-0.061945878650146044,0.001,0.5
2010-05-28,0.026751826174629137,0.001,0.5
2010-06-04,0.0017301660377292277,0.001,0.5
2010-06-11,0.011378035378398182,0.001,0.5
2010-06-18,0.023147241067945613,0.001,0.5
2010-06-25,0.012989294258683361,0.001,0.5
2010-07-02,-0.03408478951530046,0.001,0.5
2010-07-09,0.022449150424189514,0.001,0.5
2010-07-16,-0.019847351554139213,0.001,0.5
2010-07-23,0.022691232691357605,0.001,0.5
2010-07-30,0.004080914281737339,0.001,0.5
2010-08-06,0.02967058056994568,0.001,0.5
2010-08-13,-0.01046541864062962,0.001,0.5
2010-08-20,-0.007048927041552867,0.001,0.5
2010-08-27,-0.01916423533555277,0.001,0.5
2010-09-03,0.03279511975461978,0.001,0.5
2010-09-10,0.008176942935787093,0.001,0.5
2010-09-17,0.026817177663125025,0.001,0.5
2010-09-24,0.017340203217901674,0.001,0.5
2010-10-01,0.015188650052646215,0.001,0.5
2010-10-08,0.009042128877417597,0.001,0.5
2010-10-15,-0.0035748518204646532,0.001,0.5
2010-10-22,-0.008183880181205664,0.001,0.5
2010-10-29,-0.007591704657245783,0.001,0.5
2010-11-05,0.036502089061845176,0.001,0.5
2010-11-12,-0.03265000764873835,0.001,0.5
2010-11-19,-0.02290598910944733,0.001,0.5
2010-11-26,-0.009966243955024143,0.001,0.5
2010-12-03,0.009671391657360142,0.001,0.5
2010-12-10,-0.012259706639941591,0.001,0.5
2010-12-17,-0.01902115120591192,0.001,0.5
2010-12-24,0.0011314326504026934,0.001,0.5
2010-12-31,0.008107132125313578,0.001,0.5
2011-01-07,0.01863027397708763,0.001,0.5
2011-01-14,-0.013918661276076364,0.001,0.5
2011-01-21,-0.03129901265694261,0.001,0.5
2011-01-28,-0.00010336148327995572,0.001,0.5
2011-02-04,0.008975083688452373,0.001,0.5
2011-02-11,-0.04840347835743682,0.001,0.5
2011-02-18,0.03421726925856373,0.001,0.5
2011-02-25,-0.024454117007522154,0.001,0.5
2011-03-04,0.04628874802947636,0.001,0.5
2011-03-11,-0.01388901056277843,0.001,0.5
2011-03-18,-0.03321611770847515,0.001,0.5
2011-03-25,0.042871383753934164,0.001,0.5
2011-04-01,0.009115104196403743,0.001,0.5
2011-04-08,0.03523034151511506,0.001,0.5
2011-04-15,0.0003804428156737585,0.001,0.5
2011-04-22,0.005010880397914672,0.001,0.5
2011-04-29,-0.01836045276507922,0.001,0.5
2011-05-06,-0.0013891357319571768,0.001,0.5
2011-05-13,0.009973064262936973,0.001,0.5
2011-05-20,-0.003504022621207286,0.001,0.5
2011-05-27,-0.006693451153073087,0.001,0.5
2011-06-03,0.0076628799307895575,0.001,0.5
2011-06-10,-0.02991586663671783,0.001,0.5
2011-06-17,-0.01665018257741715,0.001,0.5
2011-06-24,0.01638809192920375,0.001,0.5
2011-07-01,0.013177636430908423,0.001,0.5
2011-07-08,0.01137674856455986,0.001,0.5
2011-07-15,-0.02623726293901098,0.001,0.5
2011-07-22,0.00507192804810759,0.001,0.5
2011-07-29,-0.0028159441513613513,0.001,0.5
2011-08-05,-0.0643391164512841,0.001,0.5
2011-08-12,-0.023705059969107045,0.001,0.5
2011-08-19,-0.029367720509680527,0.001,0.5
2011-08-26,0.0031288731175932137,0.001,0.5
2011-09-02,0.04363164976847088,0.001,0.5
2011-09-09,-0.005318882271474651,0.001,0.5
2011-09-16,-0.004687684844299965,0.001,0.5
2011-09-23,-0.07147663527129537,0.001,0.5
2011-09-30,0.004774479521023974,0.001,0.5
2011-10-07,-0.025701477334282775,0.001,0.5
2011-10-14,0.007251229061628145,0.001,0.5
2011-10-21,0.0065154621364485734,0.001,0.5
2011-10-28,0.045921818817888586,0.001,0.5
2011-11-04,-0.009797672156777574,0.001,0.5
2011-11-11,-0.005283800205655932,0.001,0.5
2011-11-18,-0.004929041731765552,0.001,0.5
2011-11-25,-0.01965863562719598,0.001,0.5
2011-12-02,0.030165505349771696,0.001,0.5
2011-12-09,-0.02681148214543497,0.001,0.5
2011-12-16,-0.008457548132340995,0.001,0.5
2011-12-23,0.02103491980940249,0.001,0.5
2011-12-30,-0.0182928030406733,0.001,0.5
2012-01-06,0.01634881118397312,0.001,0.5
2012-01-13,-0.0002548886374740293,0.001,0.5
2012-01-20,0.0005433760749261115,0.001,0.5
2012-01-27,-0.004312135358290744,0.001,0.5
2012-02-03,0.03272338928543156,0.001,0.5
2012-02-10,0.004578779823925815,0.001,0.5
2012-02-17,0.009812341786931992,0.001,0.5
2012-02-24,-0.011476832193613968,0.001,0.5
2012-03-02,0.012719317442523578,0.001,0.5
2012-03-09,0.018011878709208704,0.001,0.5
2012-03-16,0.013175515364028324,0.001,0.5
2012-03-23,-0.02080502870057535,0.001,0.5
2012-03-30,0.007040876486610448,0.001,0.5
2012-04-06,0.002736342566374546,0.001,0.5
2012-04-13,-0.009116328405739787,0.001,0.5
2012-04-20,0.027136951812481734,0.001,0.5
2012-04-27,-0.002254835842949417,0.001,0.5
2012-05-04,0.005280456995901884,0.001,0.5
2012-05-11,-0.03437203463510236,0.001,0.5
2012-05-18,-0.02703308965712406,0.001,0.5
2012-05-25,-0.014811692537712114,0.001,0.5
2012-06-01,-0.022517012194893195,0.001,0.5
2012-06-08,0.0032174897040496767,0.001,0.5
2012-06-15,0.04030459830975508,0.001,0.5
2012-06-22,-0.020228985549404527,0.001,0.5
2012-06-29,0.022144411563079315,0.001,0.5
2012-07-06,0.022468266522501397,0.001,0.5
2012-07-13,-0.019293418595673142,0.001,0.5
2012-07-20,0.013967358354108101,0.001,0.5
2012-07-27,-0.017813230832365447,0.001,0.5
2012-08-03,0.014044900475138355,0.001,0.5
2012-08-10,0.002474659139106344,0.001,0.5
2012-08-17,0.010814591155391703,0.001,0.5
2012-08-24,0.0024542557371329612,0.001,0.5
2012-08-31,0.009384113456507904,0.001,0.5
2012-09-07,0.003092302621248883,0.001,0.5
2012-09-14,-0.0029322674877885722,0.001,0.5
2012-09-21,0.007887983415638029,0.001,0.5
2012-09-28,0.01229473038547317,0.001,0.5
2012-10-05,-0.001048408245527127,0.001,0.5
2012-10-12,-0.0019957178714590795,0.001,0.5
2012-10-19,-0.0008728874171118903,0.001,0.5
2012-10-26,0.0014863286047913475,0.001,0.5
2012-11-02,0.019127789464008067,0.001,0.5
2012-11-09,-0.014442559370568701,0.001,0.5
2012-11-16,-0.018186299452480823,0.001,0.5
2012-11-23,0.007790357175767095,0.001,0.5
2012-11-30,-0.001352619219222652,0.001,0.5
2012-12-07,-0.0004868013050365544,0.001,0.5
2012-12-14,-0.007197249454767605,0.001,0.5
2012-12-21,-0.0036048487248318698,0.001,0.5
2012-12-28,0.0024795431193751598,0.001,0.5
2013-01-04,0.02083379826142199,0.001,0.5
2013-01-11,0.0029607326946912635,0.001,0.5
2013-01-18,0.013336868329553409,0.001,0.5
2013-01-25,0.004411604690629347,0.001,0.5
2013-02-01,0.011789818226857639,0.001,0.5
2013-02-08,0.008214593609198002,0.001,0.5
2013-02-15,0.008312696135270647,0.001,0.5
2013-02-22,-0.01598157600150766,0.001,0.5
2013-03-01,0.011676226718073095,0.001,0.5
2013-03-08,0.03210700817062357,0.001,0.5
2013-03-15,-0.03010173596923387,0.001,0.5
2013-03-22,-0.0054708514766335595,0.001,0.5
2013-03-29,0.004493144767674005,0.001,0.5
2013-04-05,-0.019597011870561776,0.001,0.5
2013-04-12,0.01962175319259224,0.001,0.5
2013-04-19,-0.0013236694346062884,0.001,0.5
2013-04-26,0.017961860917425188,0.001,0.5
2013-05-03,0.018977178523806915,0.001,0.5
2013-05-10,0.020428436673094807,0.001,0.5
2013-05-17,0.0179078361160879,0.001,0.5
2013-05-24,-0.008009459227689152,0.001,0.5
2013-05-31,0.0035529457636008645,0.001,0.5
2013-06-07,-0.033336644191886665,0.001,0.5
2013-06-14,-0.0089927405402663,0.001,0.5
2013-06-21,-0.03583709447652801,0.001,0.5
2013-06-28,0.04364734199630006,0.001,0.5
2013-07-05,-0.008550885158656828,0.001,0.5
2013-07-12,0.007850903380715354,0.001,0.5
2013-07-19,0.013452991974963422,0.001,0.5
2013-07-26,0.03204070506054876,0.001,0.5
2013-08-02,0.015782092299844563,0.001,0.5
2013-08-09,-0.0017141060770624517,0.001,0.5
2013-08-16,0.0046208138909785215,0.001,0.5
2013-08-23,-0.034021243244942316,0.001,0.5
2013-08-30,0.017023659777312166,0.001,0.5
2013-09-06,0.02503653776058504,0.001,0.5
2013-09-13,-0.0026268734244246136,0.001,0.5
2013-09-20,0.014361008030962429,0.001,0.5
2013-09-27,0.01563665487109535,0.001,0.5
2013-10-04,0.010310691494456313,0.001,0.5
2013-10-11,0.008265130138216982,0.001,0.5
2013-10-18,0.006937662087855372,0.001,0.5
2013-10-25,-0.0163253142914576,0.001,0.5
2013-11-01,0.012793319287339192,0.001,0.5
2013-11-08,-0.03357519333158112,0.001,0.5
2013-11-15,0.02713722829875614,0.001,0.5
2013-11-22,0.02615942054049164,0.001,0.5
2013-11-29,0.02418426046928866,0.001,0.5
2013-12-06,0.005004759636171441,0.001,0.5
2013-12-13,-0.007573372807649452,0.001,0.5
2013-12-20,-0.010526009817322924,0.001,0.5
2013-12-27,0.024175474153276897,0.001,0.5
2014-01-03,0.004667170287847947,0.001,0.5
2014-01-10,0.001117999494634901,0.001,0.5
2014-01-17,0.023882445966344798,0.001,0.5
2014-01-24,-0.033529633326239094,0.001,0.5
2014-01-31,0.0036923116294653585,0.001,0.5
2014-02-07,-0.016583313775453145,0.001,0.5
2014-02-14,0.033717571901147686,0.001,0.5
2014-02-21,0.015206725047353887,0.001,0.5
2014-02-28,0.031161378346828972,0.001,0.5
2014-03-07,-0.004603704802774434,0.001,0.5
2014-03-14,-0.04861058920766685,0.001,0.5
2014-03-21,0.0032627053945711265,0.001,0.5
2014-03-28,-0.01603396311834275,0.001,0.5
2014-04-04,0.018537789077528562,0.001,0.5
2014-04-11,0.00482175183814647,0.001,0.5
2014-04-18,-0.004611817957773295,0.001,0.5
2014-04-25,-0.009271177402840183,0.001,0.5
2014-05-02,-0.01570006488607777,0.001,0.5
2014-05-09,-0.03325035352615081,0.001,0.5
2014-05-16,0.042471315283096236,0.001,0.5
2014-05-23,0.022289521564148165,0.001,0.5
2014-05-30,-0.0072368480364293315,0.001,0.5
2014-06-06,-0.0060339267636736835,0.001,0.5
2014-06-13,0.022017248965961668,0.001,0.5
2014-06-20,-0.005716076110093863,0.001,0.5
2014-06-27,0.014432162919697887,0.001,0.5
2014-07-04,0.026635697311497012,0.001,0.5
2014-07-11,-0.013054150917770194,0.001,0.5
2014-07-18,0.012297175055843252,0.001,0.5
2014-07-25,0.006724047564015551,0.001,0.5
2014-08-01,-0.004354154307576765,0.001,0.5
2014-08-08,0.004513416785057165,0.001,0.5
2014-08-15,0.019882625415569472,0.001,0.5
2014-08-22,0.016655169054604287,0.001,0.5
2014-08-29,-0.016192370995847995,0.001,0.5
2014-09-05,0.021219605498966038,0.001,0.5
2014-09-12,-0.015241931017054157,0.001,0.5
