,0,gamma_op
2008-03-14,-0.030119632473503296,2
2008-03-28,0.05566456148305818,2
2008-04-11,0.03671894534465028,2
2008-04-18,-0.02134239663337097,2
2008-04-25,0.05815045572980727,2
2008-05-02,0.04307197019464474,2
2008-05-09,-0.03684549780855938,2
2008-05-16,0.019933556288454158,2
2008-05-23,-0.030422382398343363,2
2008-05-30,0.004356291404436454,2
2008-06-06,-0.00497495681674989,2
2008-06-13,-0.07884495210852074,2
2008-06-20,0.0006105519677130195,2
2008-06-27,-0.04581285115179828,2
2008-07-04,-0.037730118231530586,2
2008-07-11,0.04170650564522168,2
2008-07-18,-0.016352240795148215,2
2008-07-25,0.03969906878729501,2
2008-08-01,0.013049725190480616,2
2008-08-08,-0.04230893495539845,2
2008-08-15,-0.026649968092917146,2
2008-08-29,0.006586401565377565,2
2008-09-05,-0.059152443892482656,2
2008-09-12,-0.038847684780087065,2
2008-09-19,-0.027160905820360074,2
2008-09-26,-0.06676373681729646,2
2008-10-03,-0.03357084429096404,2
2008-10-10,-0.16695942584760173,2
2008-10-17,-0.023742952578856363,2
2008-10-24,-0.11665133659422697,2
2008-10-31,0.09451009104192004,2
2008-11-07,0.03557864952736682,2
2008-11-14,-0.04272447210978738,2
2008-11-21,-0.08580165337382728,2
2008-11-28,0.08177508852068678,2
2008-12-05,0.013664885616912693,2
2008-12-12,0.0635976693672868,2
2008-12-19,0.05780641493861436,2
2009-01-02,-0.009969215176258473,2
2009-01-09,-0.045413524164546006,2
2009-01-16,-0.04294633541364458,2
2009-01-23,-0.03820867426480117,2
2009-01-30,0.05170282954263879,2
2009-02-06,0.017292248244442303,2
2009-02-13,-0.002966534950687394,2
2009-02-20,-0.03636833569185668,2
2009-02-27,-0.006210810296722616,2
2009-03-06,-0.011092962242877804,2
2009-03-13,0.04309786617781087,2
2009-03-20,0.03289786233897445,2
2009-03-27,0.0838429083789184,2
2009-04-03,0.040021762675695356,2
2009-04-17,0.0757760222584518,2
2009-04-24,0.0015363503871187582,2
2009-05-08,0.13774930002259336,2
2009-05-15,-0.005262349307823636,2
2009-05-22,0.01171658421293192,2
2009-05-29,0.08158553345746364,2
2009-06-05,0.028832654440971203,2
2009-06-12,0.012898208893838088,2
2009-06-19,-0.03597910063598305,2
2009-06-26,0.041055708555907205,2
2009-07-03,-0.012458307322164292,2
2009-07-10,-0.015905748834467243,2
2009-07-17,0.05802201362291777,2
2009-07-24,0.06203072342328891,2
2009-07-31,0.024483211494386783,2
2009-08-07,-0.025797165439306786,2
2009-08-14,0.04213552584937161,2
2009-08-21,-0.034696397658630404,2
