,0,gamma_op
2010-01-01,0.02261647848070247,2
2010-01-08,0.02516924399357451,2
2010-01-15,-0.003639830278960072,2
2010-01-22,-0.05800998084466673,2
2010-01-29,-0.03592344411055219,2
2010-02-05,-0.017746863243294643,2
2010-02-12,0.035687829478579354,2
2010-02-19,-0.01662569502000902,2
2010-02-26,0.03239003935396912,2
2010-03-05,0.025700387564230775,2
2010-03-12,0.02203936943775503,2
2010-03-19,0.010210125819445255,2
2010-03-26,-0.007114698093255872,2
2010-04-02,0.020983947908964795,2
2010-04-09,0.021601832793923664,2
2010-04-16,-0.023697416560551812,2
2010-04-23,-0.016524519118238868,2
2010-04-30,-0.007812995405562715,2
2010-05-07,-0.06895375620321739,2
2010-05-14,0.022810609035162056,2
2010-05-21,-0.053891717762741806,2
2010-05-28,0.025242263335320415,2
2010-06-04,-6.885003860937705e-05,2
2010-06-11,-0.011815147490336776,2
2010-06-18,0.02517448338331104,2
2010-06-25,0.013077400133652179,2
2010-07-02,-0.03334151096957743,2
2010-07-09,0.0338868914025299,2
2010-07-16,-0.009288366810740207,2
2010-07-23,0.022912913973065982,2
2010-07-30,0.01727281089212643,2
2010-08-06,0.016864676724035084,2
2010-08-13,-0.020601462870061742,2
2010-08-20,-0.002068178007075582,2
2010-08-27,-0.01987465710961605,2
2010-09-03,0.031040535125005014,2
2010-09-10,0.018143928070200266,2
2010-09-17,0.029728648104558393,2
2010-09-24,0.013377324900724179,2
2010-10-01,0.016114930532578047,2
2010-10-08,0.00987802828039185,2
2010-10-15,0.021377511212160916,2
2010-10-22,-0.0063275459224938265,2
2010-10-29,-0.01781623765413254,2
2010-11-05,0.0475788669097406,2
2010-11-12,-0.026163757268468715,2
2010-11-19,-0.021989227368691786,2
2010-11-26,-0.02230870252588654,2
2010-12-03,0.023672103475756674,2
2010-12-10,-0.008501723578660438,2
2010-12-17,-0.01767093802544001,2
2010-12-24,0.0012188753011964338,2
2010-12-31,0.0033755394880455947,2
2011-01-07,0.03339039006229247,2
2011-01-14,0.006921480096881771,2
2011-01-21,-0.026741481860291388,2
2011-01-28,-0.0038267499863603904,2
2011-02-04,0.010961158452195837,2
2011-02-11,-0.051348270583394015,2
2011-02-18,0.03352047456503352,2
