,0,gamma_op
2010-01-01,0.01276302089765168,2
2010-01-08,-0.03502959070865637,2
2010-01-15,0.00502299379314956,2
2010-01-22,-0.049396348487030034,2
2010-01-29,-0.011316489025639616,2
2010-02-05,-0.026107028046462918,2
2010-02-12,0.017570988274512762,2
2010-02-19,0.003119079284537789,2
2010-02-26,0.03275741389216221,2
2010-03-05,0.027177230460341515,2
2010-03-12,0.034237030322539476,2
2010-03-19,0.011876904294073714,2
2010-03-26,0.014109197816426146,2
2010-04-02,0.022093957365606882,2
2010-04-09,0.01757943520636761,2
2010-04-16,-0.005022215834701854,2
2010-04-23,0.0031123018308589117,2
2010-04-30,0.012729947109769768,2
2010-05-07,-0.07159117603263598,2
2010-05-14,0.03278214235607076,2
2010-05-21,-0.07093991345042355,2
2010-05-28,0.03088802283317151,2
2010-06-04,0.001059556322555319,2
2010-06-11,0.01412338032767405,2
2010-06-18,0.01955929665460636,2
2010-06-25,0.013220591714653156,2
2010-07-02,-0.04202409343223716,2
2010-07-09,0.030667166799698536,2
2010-07-16,-0.019350254340191955,2
2010-07-23,0.03844813148225117,2
2010-07-30,0.009117592314909112,2
2010-08-06,0.031936032848446545,2
2010-08-13,-0.008146962733434149,2
2010-08-20,-0.011337403634225265,2
2010-08-27,-0.017140103331800306,2
2010-09-03,0.045673495225709904,2
2010-09-10,0.01589013718264266,2
2010-09-17,0.023695082243530986,2
2010-09-24,0.02764834762547299,2
2010-10-01,0.013649571298998065,2
2010-10-08,-0.01798142099815053,2
2010-10-15,-0.004090004282238082,2
2010-10-22,-0.010066052785020476,2
2010-10-29,0.0017465710103226344,2
2010-11-05,0.02746753202736099,2
2010-11-12,-0.042677523072254545,2
2010-11-19,-0.012465856502464444,2
2010-11-26,-0.007547686699684676,2
2010-12-03,0.018320816029486826,2
2010-12-10,-0.02467944560038758,2
2010-12-17,-0.02565098620333406,2
2010-12-24,-0.010184314024699413,2
2010-12-31,0.011209309584578083,2
2011-01-07,0.024259891241128213,2
