,0,gamma_op
2008-03-14,-0.06291261974066037,2
2008-03-28,0.04603986460286509,2
2008-04-11,0.02882308685508258,2
2008-04-18,-0.02439654168044068,2
2008-04-25,0.06255214899286847,2
2008-05-02,0.036524799368797475,2
2008-05-09,-0.0376781730309064,2
2008-05-16,0.02763370706213085,2
2008-05-23,-0.044024685336576344,2
2008-05-30,0.01461174145043318,2
2008-06-06,-0.01077313077437266,2
2008-06-13,-0.09081491076829729,2
2008-06-20,-0.001035412663677244,2
2008-06-27,-0.050605777052629204,2
2008-07-04,-0.04111607258561549,2
2008-07-11,0.043741319321937026,2
2008-07-18,-0.024835585396869066,2
2008-07-25,0.038068987854915776,2
2008-08-01,-0.002112677466222561,2
2008-08-08,-0.05179257926070255,2
2008-08-15,-0.023134273687127664,2
2008-08-29,0.008693332154751682,2
2008-09-05,-0.05418536769208568,2
2008-09-12,-0.028100550011493735,2
2008-09-19,-0.027522834919046116,2
2008-09-26,-0.0411327645282998,2
2008-10-03,-0.05173220248231655,2
2008-10-10,-0.17867323174821706,2
2008-10-17,-0.03366343959002749,2
2008-10-24,-0.1459693156186499,2
2008-10-31,0.1030200896726107,2
2008-11-07,0.04303799252479787,2
2008-11-14,-0.04657156654351936,2
2008-11-21,-0.07620603197801193,2
2008-11-28,0.08544515128957901,2
2008-12-05,0.011879135397264902,2
2008-12-12,0.052078989676303464,2
2008-12-19,0.03585583091261926,2
2009-01-02,-0.019914729535227636,2
2009-01-09,-0.04457889204146157,2
2009-01-16,-0.0675109422475988,2
2009-01-23,-0.052021527092963246,2
2009-01-30,0.05687160144624476,2
2009-02-06,0.027265835604737918,2
2009-02-13,-0.014713922462173575,2
2009-02-20,-0.05219485673632196,2
2009-02-27,-0.0012183456160781096,2
2009-03-06,-0.04672757264675103,2
2009-03-13,0.024530481834860174,2
2009-03-20,0.04028983728713541,2
2009-03-27,0.06062989004296816,2
2009-04-03,0.0415110015350305,2
2009-04-17,0.06279573207112918,2
2009-04-24,0.008063669412799193,2
2009-05-08,0.11640829413946524,2
2009-05-15,-0.013589897292485317,2
2009-05-22,0.012154035010537228,2
2009-05-29,0.07278030405723998,2
2009-06-05,0.035153289560817404,2
2009-06-12,0.003638881931953542,2
2009-06-19,-0.045488403083608575,2
2009-06-26,0.03281897660912812,2
2009-07-03,-0.0007103277210532529,2
2009-07-10,-0.006433901371201131,2
2009-07-17,0.05515171712488426,2
2009-07-24,0.05615187406651288,2
2009-07-31,0.021280032204762503,2
2009-08-07,-0.020085409890043197,2
2009-08-14,0.04495335852264959,2
2009-08-21,-0.04290556657990105,2
2009-08-28,-0.022910595579708877,2
2009-09-04,0.021330870952666253,2
2009-09-11,0.03656451890786761,2
2009-09-18,0.001803469652361351,2
2009-09-25,-0.0036972578071049218,2
2009-10-02,-0.01944817069030707,2
2009-10-09,0.05711697128057147,2
2009-10-16,0.02816955567111434,2
2009-10-23,0.029097807713128504,2
2009-10-30,-0.031824331721404225,2
2009-11-06,0.028300620371861727,2
2009-11-13,0.03777977527785564,2
2009-11-20,0.00785477967000083,2
2009-11-27,-0.03306558495767561,2
2009-12-04,0.07505561304290966,2
2009-12-11,-0.009411290748324282,2
2009-12-18,-0.04163440050897148,2
2010-01-08,0.07437219439085511,2
2010-01-15,-0.012926341276825426,2
2010-01-22,-0.05135985754715362,2
2010-01-29,-0.03542688280301875,2
2010-02-05,-0.010640360189711111,2
2010-02-12,0.03174099006527641,2
2010-02-19,-0.015451320487214613,2
2010-02-26,0.026411518795781696,2
2010-03-05,0.030978539770645595,2
2010-03-12,0.029455912691021494,2
2010-03-19,0.019453941018993608,2
2010-03-26,-0.016698395323846583,2
2010-04-09,0.0484375734416393,2
2010-04-16,-0.01946160568290653,2
2010-04-23,-0.0071964751331340645,2
2010-04-30,-0.0042741392571654605,2
2010-05-07,-0.0753646824645177,2
2010-05-14,0.018997221876987685,2
2010-05-28,-0.03500256073987276,2
2010-06-04,0.007156719296620754,2
2010-06-11,0.008721692929212318,2
2010-06-18,0.039584610383484854,2
2010-06-25,0.00733116037439407,2
2010-07-02,-0.054128709536934314,2
2010-07-09,0.04028672670157062,2
2010-07-16,-0.009481804367382546,2
2010-07-23,0.015238838709857847,2
2010-07-30,0.01084861881498228,2
2010-08-06,0.021248374647174727,2
2010-08-13,0.0020315750599363656,2
2010-08-20,0.0028120085037777586,2
2010-08-27,-0.016592160115291008,2
2010-09-03,0.0378646280476046,2
2010-09-10,0.02848644545801256,2
2010-09-17,0.03200086807810207,2
2010-09-24,0.021246697234411017,2
2010-10-08,0.025992291490506282,2
2010-10-15,-0.0036022478394055965,2
2010-10-22,0.005553069547981636,2
2010-10-29,-0.014125342971305977,2
2010-11-05,0.04492379422779994,2
2010-11-12,-0.029533979684866304,2
2010-11-19,-0.026322832879062032,2
2010-11-26,-0.006317866317576655,2
2010-12-03,0.009869279071252872,2
2010-12-10,-0.022979029218988395,2
2010-12-17,-0.01625680926366289,2
2010-12-24,-0.01124896859971147,2
2010-12-31,0.0015847662744929419,2
2011-01-07,0.025854136043184688,2
2011-01-14,-0.012297251215825627,2
2011-01-21,-0.021355633375771677,2
2011-01-28,-0.0039024291783920978,2
2011-02-11,-0.03809620337353905,2
2011-02-18,0.04311592457639207,2
2011-02-25,-0.04512130325840567,2
2011-03-04,0.05280274704661247,2
2011-03-11,-0.02230564876906925,2
2011-03-18,-0.06526344427783484,2
2011-03-25,0.030404601849932003,2
2011-04-01,0.00636752416230098,2
2011-04-08,0.036054703178968105,2
2011-04-15,-0.0037586568777504656,2
2011-04-29,0.015631943095552773,2
2011-05-06,-0.0184414007453946,2
2011-05-13,0.019214808890471627,2
2011-05-20,-0.0042768631572318175,2
2011-05-27,-0.02330632314237547,2
2011-06-03,0.013035041454269841,2
2011-06-10,-0.041386495521122627,2
2011-06-17,-0.04139644715239183,2
2011-06-24,0.048181139734067624,2
2011-07-08,0.02436593242569979,2
2011-07-15,-0.03152053564615516,2
2011-07-22,0.006797904851092796,2
2011-07-29,-0.017564679081702696,2
2011-08-05,-0.05958748406366289,2
2011-08-12,-0.04436889169173388,2
2011-08-19,-0.0383916772772517,2
2011-08-26,-0.024805466025347035,2
2011-09-02,0.0575446655776366,2
2011-09-09,-0.0158886053024775,2
2011-09-16,-0.03469135175425074,2
2011-09-23,-0.10568727285144187,2
2011-09-30,0.00892004939061482,2
2011-10-07,0.008433829087908042,2
2011-10-14,0.04708942796066871,2
2011-10-21,-0.033129640757022884,2
2011-10-28,0.12937516625594922,2
2011-11-04,-0.009091107609192836,2
2011-11-11,-0.07345791431755881,2
2011-11-18,-0.018519323160778676,2
2011-11-25,-0.034483791388533615,2
2011-12-02,0.04692443117047527,2
2011-12-09,-0.027240630438432067,2
2011-12-16,0.006440584695048004,2
2011-12-23,0.01785938472814283,2
2011-12-30,-0.017440037892764864,2
2012-01-06,0.0011564154751822783,2
2012-01-13,0.07830455560854888,2
2012-01-20,0.03600703645536322,2
2012-01-27,0.006117896881872364,2
2012-02-03,0.019359010936810656,2
2012-02-10,0.026842322816845433,2
2012-02-17,0.03819568070616389,2
2012-02-24,0.02011990768499796,2
2012-03-02,0.0008249202305949495,2
2012-03-09,-0.007890711199576753,2
2012-03-16,0.03649425692421197,2
2012-03-23,-0.0074571773594229365,2
2012-03-30,-0.005577089603078962,2
2012-04-13,0.02881864048569859,2
2012-04-20,0.011564128317668468,2
2012-04-27,-0.015539817260018721,2
2012-05-04,0.02463808165503583,2
2012-05-11,-0.06273285109514999,2
2012-05-18,-0.026285976145972244,2
2012-05-25,-0.018548682857015726,2
2012-06-01,-0.007271619428795155,2
2012-06-08,0.012164783469105956,2
2012-06-15,0.03717759260530028,2
2012-06-22,-0.0249030988680963,2
2012-06-29,0.00412574683114203,2
2012-07-06,0.023410486229117646,2
2012-07-13,-0.039404978980793426,2
2012-07-20,0.016999225893646917,2
2012-07-27,-0.01051951505364283,2
2012-08-03,0.0020017908339721047,2
2012-08-10,0.024819052240453596,2
2012-08-17,0.013662048406859636,2
2012-08-24,-0.010721571411152334,2
2012-08-31,-0.0215479521767718,2
2012-09-07,0.02299488437678833,2
2012-09-14,0.041945972023929606,2
2012-09-21,0.0015333762247318936,2
2012-09-28,0.014127229277633204,2
2012-10-05,0.004127803114369712,2
2012-10-12,-0.011083064244137363,2
2012-10-19,0.01486706286006272,2
2012-10-26,-0.001667972722223785,2
2012-11-02,0.023422572551386682,2
2012-11-09,-0.023371350407156315,2
2012-11-16,-0.018615708775611542,2
2012-11-23,0.03939449628187665,2
2012-11-30,0.0017242811479406183,2
2012-12-07,0.0005716579722468958,2
2012-12-14,0.009501478376349645,2
2012-12-21,0.007364557981071875,2
2012-12-28,0.0038134079355483437,2
2013-01-04,0.01115716155972461,2
2013-01-11,-0.002739668785394417,2
2013-01-18,-0.009188670795705475,2
2013-01-25,-0.03588683982596418,2
2013-02-01,0.014023796456075644,2
2013-02-08,-0.020440565411659114,2
2013-02-15,0.013535764571669714,2
2013-02-22,-0.0304416314755672,2
2013-03-01,0.006105069952323058,2
2013-03-08,0.002058764336105539,2
2013-03-15,-0.028022367507546917,2
2013-03-22,-0.010656962960155602,2
2013-04-05,-0.011527390597677385,2
2013-04-12,0.012548403874252637,2
2013-04-19,-0.0041071363365738685,2
2013-04-26,0.02951368495405737,2
2013-05-03,0.006779994402520775,2
2013-05-10,0.024326889543793438,2
2013-05-24,-0.02945526914077047,2
2013-05-31,0.021230921951736863,2
2013-06-07,-0.026104606245170605,2
2013-06-14,-0.013357386750164226,2
2013-06-21,-0.038059941668763156,2
2013-06-28,0.04497482106584545,2
2013-07-05,-0.004503824841931062,2
2013-07-12,0.008804496959803777,2
2013-07-19,0.03944357653166018,2
2013-07-26,0.039733401542113814,2
2013-08-02,0.0260844658861573,2
2013-08-09,0.006159549454129579,2
2013-08-16,0.02247738211017224,2
