,0,gamma_op,b_weight
2010-01-01,0.016712603627756034,2,0.5
2010-01-08,-0.006475991170986697,2,0.5
2010-01-15,0.00211450205073013,2,0.5
2010-01-22,-0.05067205999402881,2,0.5
2010-01-29,-0.029997290311727813,2,0.5
2010-02-05,-0.019502662289788513,2,0.5
2010-02-12,0.02063620574404948,2,0.5
2010-02-19,-0.005002103151260799,2,0.5
2010-02-26,0.03075274576231938,2,0.5
2010-03-05,0.028369340286104744,2,0.5
2010-03-12,0.030308123720834967,2,0.5
2010-03-19,0.010995570036672528,2,0.5
2010-03-26,0.0029827642483302823,2,0.5
2010-04-02,0.01896971254958644,2,0.5
2010-04-09,0.02270744633468437,2,0.5
2010-04-16,-0.010525782601543613,2,0.5
2010-04-23,-0.0025540597412996397,2,0.5
2010-04-30,0.0024027355217681556,2,0.5
2010-05-07,-0.07068326732284005,2,0.5
2010-05-14,0.02887285213606027,2,0.5
2010-05-21,-0.06764072233376671,2,0.5
2010-05-28,0.03280540111359453,2,0.5
2010-06-04,0.0009127680270877392,2,0.5
2010-06-11,0.007616752757783975,2,0.5
2010-06-18,0.02487906877234841,2,0.5
2010-06-25,0.011413507433182209,2,0.5
2010-07-02,-0.039247448165085935,2,0.5
2010-07-09,0.03066651484028928,2,0.5
2010-07-16,-0.01533865288843449,2,0.5
2010-07-23,0.032973212254655965,2,0.5
2010-07-30,0.01023472948397474,2,0.5
2010-08-06,0.027562898545224385,2,0.5
2010-08-13,-0.010517086356471538,2,0.5
2010-08-20,-0.006707914318365508,2,0.5
2010-08-27,-0.020031553737743513,2,0.5
2010-09-03,0.042002445582131544,2,0.5
2010-09-10,0.014147854416860636,2,0.5
2010-09-17,0.026333472118188324,2,0.5
2010-09-24,0.021266022180107157,2,0.5
2010-10-01,0.01672180685854406,2,0.5
2010-10-08,4.343856986315647e-06,2,0.5
2010-10-15,0.003366343410994582,2,0.5
2010-10-22,-0.009331314417830965,2,0.5
2010-10-29,-0.004781340400585822,2,0.5
2010-11-05,0.0397361904926226,2,0.5
2010-11-12,-0.03695444180986218,2,0.5
2010-11-19,-0.020546284899766232,2,0.5
2010-11-26,-0.010069901299057452,2,0.5
2010-12-03,0.016762394724827042,2,0.5
2010-12-10,-0.017382784876065798,2,0.5
2010-12-17,-0.020233474733252956,2,0.5
2010-12-24,-0.004229933884062502,2,0.5
2010-12-31,0.008084357914651565,2,0.5
2011-01-07,0.025214850608939462,2,0.5
2011-01-14,-0.021758086072100728,2,0.5
2011-01-21,-0.036735822432482475,2,0.5
2011-01-28,-0.0018959001493601445,2,0.5
2011-02-04,0.00964415962356287,2,0.5
2011-02-11,-0.05236200694852772,2,0.5
2011-02-18,0.0379658703140207,2,0.5
2011-02-25,-0.030789534972535997,2,0.5
2011-03-04,0.05115822043335172,2,0.5
2011-03-11,-0.017155789066855113,2,0.5
2011-03-18,-0.028082988773092718,2,0.5
2011-03-25,0.04210108995806279,2,0.5
2011-04-01,0.009202279670138818,2,0.5
2011-04-08,0.03653867340512552,2,0.5
2011-04-15,0.0010002579804252532,2,0.5
2011-04-22,0.005209567270933726,2,0.5
2011-04-29,-0.02497758193516946,2,0.5
2011-05-06,-0.0031341058020960943,2,0.5
2011-05-13,0.008509503697586266,2,0.5
2011-05-20,-0.005826383934633429,2,0.5
2011-05-27,-0.009648812335806048,2,0.5
2011-06-03,0.007485069824257,2,0.5
2011-06-10,-0.03659533480475101,2,0.5
2011-06-17,-0.019517225950153566,2,0.5
2011-06-24,0.018057535760698306,2,0.5
