,0,gamma_op,b_weight
2008-01-04,-0.042533341983887044,2,0
2008-01-11,-0.010127265926802582,2,0
2008-01-18,-0.05800641038641259,2,0
2008-01-25,0.0011367314067097104,2,0
2008-02-01,0.052054705143868035,2,0
2008-02-08,-0.0404203233314471,2,0
2008-02-15,0.016866627256913822,2,0
2008-02-22,-0.001317596355524665,2,0
2008-02-29,-0.01575841134675083,2,0
2008-03-07,-0.0249236244217519,2,0
2008-03-14,-0.00338452259950856,2,0
2008-03-21,0.01825766834209233,2,0
2008-03-28,0.0005944953806668934,2,0
2008-04-04,0.04333321012677533,2,0
2008-04-11,-0.02235967619014076,2,0
2008-04-18,0.04023267571656755,2,0
2008-04-25,0.004793640437762191,2,0
2008-05-02,0.010652828118904821,2,0
2008-05-09,-0.011571416641469035,2,0
2008-05-16,0.03036144051798312,2,0
2008-05-23,-0.03185086325125702,2,0
2008-05-30,0.020364099837460084,2,0
2008-06-06,-0.020777291862317422,2,0
2008-06-13,-0.0023096168400550217,2,0
2008-06-20,-0.028017452730464548,2,0
2008-06-27,-0.029105656394149866,2,0
2008-07-04,-0.017770682465238163,2,0
2008-07-11,-0.009660767450056638,2,0
2008-07-18,0.00817575853142063,2,0
2008-07-25,-0.004185762247336419,2,0
2008-08-01,-0.0001972204057508909,2,0
2008-08-08,0.022230391723520954,2,0
2008-08-15,0.005457674289861429,2,0
2008-08-22,-0.0007527060491500878,2,0
2008-08-29,-0.0049615133508073665,2,0
2008-09-05,-0.03670068089386105,2,0
2008-09-12,0.00813661114713375,2,0
2008-09-19,-0.0021985832252708216,2,0
2008-09-26,-0.04150059222515714,2,0
2008-10-03,-0.09960849640409983,2,0
2008-10-10,-0.18294142587164802,2,0
2008-10-17,0.04602592969798497,2,0
2008-10-24,-0.07021858002802502,2,0
2008-10-31,0.11098132903140179,2,0
2008-11-07,-0.03514102055413922,2,0
2008-11-14,-0.057765001372953845,2,0
2008-11-21,-0.08328984272003762,2,0
2008-11-28,0.12390900615638914,2,0
2008-12-05,-0.027947720376048032,2,0
2008-12-12,0.0143302594468858,2,0
2008-12-19,0.010239316107698005,2,0
2008-12-26,-0.014937367594149317,2,0
2009-01-02,0.0685100554010322,2,0
2009-01-09,-0.03835700415284323,2,0
2009-01-16,-0.04160152622479458,2,0
2009-01-23,-0.018491284487479095,2,0
2009-01-30,-0.01152941517178604,2,0
2009-02-06,0.05645202779297144,2,0
2009-02-13,-0.04796940449229535,2,0
2009-02-20,-0.06748140707144053,2,0
2009-02-27,-0.03889810045570973,2,0
2009-03-06,-0.07196600593659838,2,0
2009-03-13,0.10305735474965616,2,0
2009-03-20,0.023851659762912137,2,0
2009-03-27,0.06049516753502274,2,0
2009-04-03,0.03797633650731213,2,0
2009-04-10,0.014582560859412452,2,0
2009-04-17,0.013634632077060364,2,0
2009-04-24,-0.00416436531152749,2,0
2009-05-01,0.01959539710536004,2,0
2009-05-08,0.05318861599854122,2,0
2009-05-15,-0.050430119602197856,2,0
2009-05-22,0.00713219080388198,2,0
2009-05-29,0.03766931170562418,2,0
2009-06-05,0.022105423865925025,2,0
2009-06-12,0.009840770861327407,2,0
2009-06-19,-0.0309799014809115,2,0
2009-06-26,0.0015741653823478383,2,0
2009-07-03,-0.02328947506460358,2,0
2009-07-10,-0.022107714333806875,2,0
2009-07-17,0.06853091002810593,2,0
2009-07-24,0.04863434231941221,2,0
2009-07-31,0.007215475440386787,2,0
2009-08-07,0.022018040807038432,2,0
2009-08-14,-0.00556693336087983,2,0
2009-08-21,0.021220008036457162,2,0
2009-08-28,0.0009707009822976332,2,0
2009-09-04,-0.01147853564966673,2,0
2009-09-11,0.029585223487612035,2,0
2009-09-18,0.026428353479600833,2,0
2009-09-25,-0.023338767871985855,2,0
2009-10-02,-0.019289543410957503,2,0
2009-10-09,0.04436161128364975,2,0
2009-10-16,0.014747029612394439,2,0
2009-10-23,-0.009369610253209591,2,0
2009-10-30,-0.04162282084236644,2,0
2009-11-06,0.03290152339460362,2,0
2009-11-13,0.022775014215910192,2,0
2009-11-20,-0.00046454733935874325,2,0
2009-11-27,0.0032835591096199864,2,0
2009-12-04,0.01615433533008364,2,0
2009-12-11,0.005708950210240762,2,0
2009-12-18,-0.002786951362592188,2,0
2009-12-25,0.024061036228751904,2,0
2010-01-01,-0.011182997334223909,2,0
2010-01-08,0.02659044526376749,2,0
2010-01-15,-0.011297519363562065,2,0
2010-01-22,-0.037136296286874065,2,0
2010-01-29,-0.01962402429968167,2,0
2010-02-05,-0.007279849123030199,2,0
2010-02-12,0.012492074748319273,2,0
2010-02-19,0.03184113828376191,2,0
2010-02-26,-0.00717230675226534,2,0
2010-03-05,0.033271420942352685,2,0
2010-03-12,0.010714499193907297,2,0
2010-03-19,0.006772986955093228,2,0
2010-03-26,0.00322676056738945,2,0
2010-04-02,0.0137282871982371,2,0
2010-04-09,0.014128485269332441,2,0
2010-04-16,-0.004249011275728666,2,0
2010-04-23,0.021402454929619515,2,0
2010-04-30,-0.02284049293675707,2,0
2010-05-07,-0.06486173029767331,2,0
2010-05-14,0.02633568269925957,2,0
2010-05-21,-0.04339125766112414,2,0
2010-05-28,0.0060324379216006785,2,0
2010-06-04,-0.024932106842914508,2,0
2010-06-11,0.031173063217601153,2,0
2010-06-18,0.023206140660644404,2,0
2010-06-25,-0.036321345914968335,2,0
2010-07-02,-0.04783880559290377,2,0
2010-07-09,0.054979682380511305,2,0
2010-07-16,-0.01332296571958838,2,0
2010-07-23,0.04069831611914913,2,0
2010-07-30,-0.00013322569914251672,2,0
2010-08-06,0.019822112721756435,2,0
2010-08-13,-0.03288783542126448,2,0
2010-08-20,-0.005168330476018517,2,0
2010-08-27,-0.0018896566054682382,2,0
2010-09-03,0.036437868547519854,2,0
2010-09-10,0.00406567354787838,2,0
2010-09-17,0.014124586342714688,2,0
2010-09-24,0.021964680299900122,2,0
2010-10-01,0.0026548189832547417,2,0
2010-10-08,0.016358761445205306,2,0
2010-10-15,0.008732794845001569,2,0
2010-10-22,0.0033886652451309844,2,0
2010-10-29,0.002636366804012488,2,0
2010-11-05,0.03404698579742269,2,0
2010-11-12,-0.018523864388478507,2,0
2010-11-19,0.0020646321777333786,2,0
2010-11-26,-0.006703212121293069,2,0
2010-12-03,0.03008399582955762,2,0
2010-12-10,0.01093500247388743,2,0
2010-12-17,0.005523330211678126,2,0
2010-12-24,0.01120565722679469,2,0
2010-12-31,0.00143516665332431,2,0
2011-01-07,0.008442988744129682,2,0
2011-01-14,0.013651229645327292,2,0
2011-01-21,-0.01048154295573458,2,0
2011-01-28,-0.0028787389048078897,2,0
2011-02-04,0.026275109006717045,2,0
2011-02-11,0.014382385936860958,2,0
2011-02-18,0.010096709731965062,2,0
2011-02-25,-0.01629114594628974,2,0
2011-03-04,0.0030254458119173162,2,0
2011-03-11,-0.011292077776523449,2,0
2011-03-18,-0.01619812993832542,2,0
2011-03-25,0.028199755276281657,2,0
2011-04-01,0.019746407776971356,2,0
2011-04-08,-0.0019313996053238723,2,0
2011-04-15,-0.005288031315204248,2,0
2011-04-22,0.01302422094966256,2,0
2011-04-29,0.02043682384148251,2,0
2011-05-06,-0.01699001670749482,2,0
2011-05-13,0.0009099254345015589,2,0
2011-05-20,-0.00129536930963915,2,0
2011-05-27,0.0011303671465774786,2,0
2011-06-03,-0.023834263140297907,2,0
2011-06-10,-0.021590811632754517,2,0
2011-06-17,-0.00031089274267778917,2,0
2011-06-24,0.002238193115327373,2,0
2011-07-01,0.05355283673257044,2,0
2011-07-08,0.004362540194784195,2,0
2011-07-15,-0.020098107250604194,2,0
2011-07-22,0.018534778979804708,2,0
2011-07-29,-0.03973516048276644,2,0
2011-08-05,-0.0741788905416753,2,0
2011-08-12,-0.012006479143025989,2,0
2011-08-19,-0.04220741544155603,2,0
2011-08-26,0.04672154550552041,2,0
2011-09-02,-8.911348045652682e-05,2,0
2011-09-09,-0.01629821203783489,2,0
2011-09-16,0.05067930183377708,2,0
2011-09-23,-0.06887688464718064,2,0
2011-09-30,-0.00581166178814057,2,0
2011-10-07,0.02048872370010423,2,0
2011-10-14,0.05899863090943074,2,0
2011-10-21,0.010732796414607303,2,0
2011-10-28,0.040970814009339725,2,0
