,.CSIH00928,.CSIH00929,.CSIH00930,.CSIH00931,.CSIH00932,.CSIH00933,.CSIH00934,.CSIH00935,.CSIH00936,.CSIH00937
2012-12-07,-0.004160279904982263,-0.004199269409155746,-0.0032324361180152833,-0.002589862715548186,-0.0015429585836880192,-0.002161579338458182,-0.0025060161574924126,-0.0030839841824380175,-0.0038278369246617606,-0.002567750629320156
2013-01-04,-0.0029766979314361135,-0.0028815000032195604,-0.002031698946776956,-0.0014226229454742073,-0.00036549883356077657,-0.0007178599987995251,-0.0016969586490373132,-0.0016051249516727505,-0.0023302298506900866,-0.001481139665458019
2013-02-01,-0.0019400562928327315,-0.0020060848746085197,-0.001355532136033205,-0.0008273675081729424,-0.00017696652284995273,1.909835665251866e-05,-0.001093846291059723,-0.0007078655319280147,-0.001104022824570366,-0.0011589766249219624
2013-03-01,-0.001715591911891596,-0.0018240879770083389,-0.0013003580079886108,-0.0007650532357345915,0.0002572249369766441,0.0002865740676558144,-0.001406196153951377,-0.0004933606344070005,-0.0008691092533359137,-0.0010295007552024152
2013-03-29,-0.002023339088034503,-0.0019508171031753356,-0.001375268878947808,-0.0008479838195920437,6.465571280319206e-07,0.0003549470592741871,-0.0013661009641210415,-0.0008330002647283474,-0.001119416089289256,-0.0012822245279063315
2013-04-26,-0.0018538145992263362,-0.001802101059694109,-0.0012877119054063417,-0.000741420024242422,-0.00015356682038098865,0.0004417820602566534,-0.0013053686897974111,-0.0008835628553715638,-0.0006894288003592656,-0.0011670116289546177
2013-05-24,-0.001083728329975858,-0.0008870718113613614,-0.0004982268005865459,-2.7633490903444086e-05,0.0003724869894207719,0.0011458838871111327,-0.0004115506763840179,-0.00016854795718878956,-0.00014194995888992834,-0.0006134334936162979
2013-06-21,-0.0014416783291613124,-0.0011952278918172334,-0.0006884236380025822,-0.00024805990011275497,0.00022395493182224074,0.0013334409084403026,-0.0007150549636850959,-0.0002996583524615148,-0.0004107703246768092,-0.0006873278405116328
2013-07-19,-0.0015988420795772077,-0.001339003931368164,-0.000816567380717786,-0.0003828483009392015,0.00013510223801978705,0.0012956177844395704,-0.000802728072700915,-0.00024647159744059467,-0.0003706301476214421,-0.000716062592949007
2013-08-16,-0.0017034742986872917,-0.001541915004860476,-0.0009799564138336134,-0.0006298708745997605,-0.0004148775786592649,0.0009573123705657711,-0.0008600146981008336,-0.0002705837330910397,-0.00017434228752802729,-0.0008096034786884117
