,.TRXFLDHDTE1,.TRXFLDHDTF1,.TRXFLDHDTF4,.TRXFLDHDTH2,.TRXFLDHDTI1,.TRXFLDHDTI2,.TRXFLDHDTI4,.TRXFLDHDTM2,.TRXFLDHDTM3,.TRXFLDHDTN1,.TRXFLDHDTT1,.TRXFLDHDTU1,.TRXFLDHDTY2,.TRXFLDHDTY3,.TRXFLDHDTY4,.TRXFLDHDTE2,.TRXFLDHDTH1
2016-04-08,-2.502250510054575e-05,-2.35545824274221e-05,-1.4932757320914075e-05,-4.855872887441308e-06,-1.3474545506133573e-05,-1.3751834744331247e-05,-1.1343995775941687e-05,-3.1084743507178604e-05,-1.468354247671878e-05,-1.1711635249686741e-05,-1.8403032352858622e-05,-1.3790581631783442e-05,-1.5302213086390855e-05,-2.278141929976646e-05,-9.665512072990952e-06,,
2016-05-06,-3.391685798653191e-05,-3.246937355531277e-05,-2.06648792052339e-05,-5.565399143626326e-06,-1.7107628525695747e-05,-1.953687473200829e-05,-1.50980497715296e-05,-4.305229306643788e-05,-1.9395458681636967e-05,-1.574444563017821e-05,-2.2069567915462763e-05,-1.770441424598815e-05,-2.1685545579732128e-05,-2.9564622547638962e-05,-1.5867745434007116e-05,,
2016-06-03,-0.00012150255402190435,-0.00011622549337223867,-7.221375022387679e-05,-3.637683605314216e-05,-6.20974969631621e-05,-6.66669134982391e-05,-5.215084202737234e-05,-0.0001569643401207481,-7.245691856764266e-05,-5.6610645170099164e-05,-8.181734839512879e-05,-5.864496627505479e-05,-8.252497231877188e-05,-0.00010502284257408698,-6.133874428260255e-05,,
2016-07-01,7.052370340772001e-05,7.266508954199893e-05,5.0767744793380666e-05,2.426805247734104e-05,3.521152778773764e-05,4.6512937835150336e-05,3.746120611054265e-05,9.052639112045825e-05,4.83597104820182e-05,4.012172673290911e-05,5.363567355716787e-05,4.1980923654996435e-05,5.2458610415532694e-05,6.365024480207094e-05,3.578501289719861e-05,,
2016-07-29,9.254793110878124e-05,7.921916324689537e-05,6.445729904724788e-05,2.2684515086799576e-05,4.553725636968084e-05,5.529741547211181e-05,4.871571536491907e-05,0.00010352268818636802,6.217826039578641e-05,4.434657509184054e-05,7.27508481603489e-05,4.7127706594135095e-05,5.7014403844035713e-05,7.422556948579926e-05,3.954660321444128e-05,,
2016-08-26,0.00017402422190724887,0.00015600351828969078,0.00012409758978682465,4.999640573575782e-05,8.159127927768552e-05,0.00010625243112949675,9.098218907062785e-05,0.00020084459400137816,0.00011496228268754034,8.746934169154057e-05,0.00013594942717431467,9.110160891357094e-05,0.0001051586514924379,0.00013874396274143262,7.728783257116759e-05,,
2016-09-23,0.00010310960158321202,8.579307038322481e-05,7.15528398949092e-05,3.957501457739536e-05,4.2530173672223644e-05,5.7376649971905075e-05,5.4248934279041894e-05,0.00011466207100587514,6.486798679790027e-05,4.991362922750655e-05,8.165236699693134e-05,5.112669533972187e-05,6.265423868235325e-05,7.834869438333939e-05,4.291719760127851e-05,,
2016-10-21,0.00014474180820979186,0.0001205116158912455,0.00010076985231557136,5.952012113235871e-05,5.98964546196082e-05,8.051658624569268e-05,7.670100405670984e-05,0.00016176189216872124,9.32852625286461e-05,7.204235924823454e-05,0.00011593806118817357,7.242550575023199e-05,8.95542983877243e-05,0.00010763439455584007,6.155294870549223e-05,,
2016-11-18,3.5426316506319915e-05,2.9437288686436277e-05,2.682333469366443e-05,1.5391718204273565e-05,1.4693953747668895e-05,1.9581313159220775e-05,1.90553027764609e-05,4.194150320412151e-05,2.2599663222368458e-05,2.0283638852738528e-05,2.9353276026065626e-05,1.8279627533378037e-05,2.2424515574686406e-05,2.7494616838771398e-05,1.6641780500597765e-05,,
2016-12-16,4.413276103915845e-05,3.521665693874706e-05,3.557238430612442e-05,1.898611573916726e-05,1.8445382430726193e-05,2.552245952335126e-05,2.5738496794408234e-05,5.202675378685923e-05,2.7148288962235353e-05,2.5680521527696288e-05,3.753247609822169e-05,2.394920004472323e-05,3.1082833030141054e-05,3.171996345621694e-05,2.3291001372466974e-05,,
