,.TR15GSPAU,.TR15GSPBK,.TR15GSPCS,.TR15GSPDF,.TR15GSPE,.TR15GSPFBT,.TR15GSPFDGR,.TR15GSPHC,.TR15GSPHHPE,.TR15GSPHR,.TR15GSPIC,.TR15GSPINSC,.TR15GSPIS,.TR15GSPLP,.TR15GSPM,.TR15GSPME,.TR15GSPMS,.TR15GSPPHB,.TR15GSPREC,.TR15GSPSEQP,.TR15GSPTEHW,.TR15GSPTRN,.TR15GSPTS,.TR15GSPU
2009-04-03,-0.004487087341493015,-0.004287402499489635,-0.002563656233627951,-0.004958106721114577,-0.002694823301748073,-0.0015020929923591044,-0.0017153882031645479,-0.002147996315719389,-0.0014305683777039357,-0.002518206600923049,-0.0028239416591770376,-0.0035042648899186496,-0.0023483830373779084,-0.0034678338049385113,-0.0030852814869135477,-0.0030118655932810847,-0.0032441836686380606,-0.0017881259550982037,-0.0034059314722067946,-0.002857719869575591,-0.002595916743360322,-0.0026333717619828056,-0.0023546593009860606,-0.0018417157183895421
2009-05-01,-0.003994659471703315,-0.0038091477891549837,-0.0022713262935004585,-0.00438542759429331,-0.0023459088390432735,-0.001310398779573798,-0.001502771612237458,-0.0018968742561150506,-0.001267933720671401,-0.0022212480516289297,-0.0024885509906342794,-0.0030956992589554685,-0.002076741571420552,-0.0030720602257503825,-0.00271137028816513,-0.002678433779504325,-0.0028725133625583424,-0.0015507212425677236,-0.0030716115626081525,-0.0025130532945931753,-0.002305896436182673,-0.002336698951623619,-0.0020751924175120107,-0.0016048022271535724
2009-05-29,-0.003324629792533269,-0.003294471678034335,-0.0018578250632314236,-0.0037100235812755687,-0.0019613177457426245,-0.0010716331759567936,-0.0012267932540599123,-0.0015997840289935826,-0.0010511002630244177,-0.0018188269440133963,-0.0020809358548035343,-0.0026415756607434788,-0.0016591199450308194,-0.0025268407068118996,-0.0022283524231004794,-0.0022674708987518483,-0.002335826764603523,-0.0012728636329713808,-0.0025770578640522696,-0.002007523304271347,-0.0018526799185760521,-0.0019418065476228508,-0.0016708191489821997,-0.0013324281667189085
2009-06-26,-0.0026338300518742026,-0.0025934894578982146,-0.0014592228068261112,-0.002920766867919908,-0.001549766327963382,-0.0008446179457968928,-0.0009662201168216805,-0.0012476324782921002,-0.0008348908162645294,-0.0014346181726910402,-0.001652347009584005,-0.002076792644081943,-0.0013188060892851097,-0.0019953113972938376,-0.0017518097758671101,-0.0017872002921023433,-0.0018430023299967047,-0.0009948265449302497,-0.002057551275439664,-0.001579313971956351,-0.0014644772001060867,-0.0015414526110158662,-0.0013198261645684184,-0.001057484893032401
2009-07-24,-0.0023258599486181038,-0.0022933481899667647,-0.0013007849870735682,-0.002597219984343004,-0.0013919579934047745,-0.000751643180951357,-0.0008517163545048382,-0.0011070313942411383,-0.0007552274506535332,-0.0012593360716531602,-0.001475324268843336,-0.0018486363116012822,-0.0011794023640107323,-0.0017822753218193913,-0.001568041844321392,-0.0015962673654988338,-0.0016424883964802446,-0.0008792916611122271,-0.0018303113682062563,-0.001435275413475699,-0.001315757177617644,-0.0013763199687223968,-0.0011616435195221844,-0.0009405696670859999
2009-08-21,-0.001619334383363417,-0.0015898399972447662,-0.000898311829059136,-0.0017904000602105659,-0.0009620876393139607,-0.0005171331244107805,-0.0005867773960600517,-0.0007660894489324979,-0.00051611921835842,-0.0008680637489506395,-0.001022171696121208,-0.001293171534821927,-0.0008059968179154193,-0.0012338085883724969,-0.0010914927515692757,-0.0011085800841510547,-0.0011381243377048937,-0.000603852482687772,-0.0012879575208390823,-0.0009698668310756469,-0.0008977515968694488,-0.0009566007364511125,-0.0007943946271763239,-0.0006531833705499171
2009-09-18,-0.0013407804974006335,-0.0013160595863174343,-0.0007428349836488106,-0.0014816936658240173,-0.0008072924246091839,-0.0004297923379728446,-0.0004822922927843839,-0.0006354785998756307,-0.0004315289769379993,-0.0007156332717770611,-0.0008487925096673761,-0.001073459438226744,-0.0006665236175397783,-0.0010194531669369608,-0.0009051738798815269,-0.000923241530306996,-0.0009368182593400986,-0.0005009076668635289,-0.0010737491134245798,-0.0007998425992239495,-0.0007429876702632401,-0.0007912266217175298,-0.0006593996988249063,-0.000541370198585065
2009-10-16,-0.001439480165101213,-0.0014232131190623793,-0.0008038184930051643,-0.001594441918612683,-0.0008777177824879041,-0.00046327079046323166,-0.0005184120214841754,-0.0006864434954681575,-0.00046482614085826857,-0.0007701688301913225,-0.0009194811298709547,-0.001156507087721771,-0.000717975463307351,-0.0011051779313679371,-0.0009835579928014948,-0.000994004501708061,-0.0010119792963752719,-0.000537783176562359,-0.0011674126017005898,-0.0008605306730195744,-0.0008007823286047032,-0.0008491040914514416,-0.0006988758990511428,-0.000586051010007278
2009-11-13,-0.0017721723806660248,-0.0017315413029782057,-0.000986404435676265,-0.0019428234282912321,-0.0010767252630882872,-0.0005641671631270569,-0.0006307867677104834,-0.0008432006546717687,-0.000566927913913186,-0.0009515685392476087,-0.0011308740556625525,-0.0014084810903192385,-0.000879335692658233,-0.0013540675869523114,-0.001211895102148899,-0.0012154964025876678,-0.0012353161045403948,-0.0006625844651015425,-0.0014133534799362752,-0.0010502187806927462,-0.0009775617797835492,-0.00105034284326778,-0.0008448099985360147,-0.0007176554031630632
2009-12-11,-0.0015515342608734878,-0.001512583474817061,-0.0008621701827208123,-0.0016962801643737883,-0.0009409020518750822,-0.00049317687906434,-0.0005491223516007382,-0.0007363006868084174,-0.0004951027711817353,-0.0008295021725807349,-0.0009880036799024003,-0.001230246618071344,-0.0007695724301473292,-0.0011821445751038565,-0.0010600099417368736,-0.0010649022005933466,-0.0010789196308797222,-0.0005794107405709146,-0.0012446636250507204,-0.0009222461184384777,-0.0008544405434558403,-0.0009195923282977532,-0.0007395056352434372,-0.0006302951646150777
2010-01-08,-0.0014022175698792457,-0.0013641723634376152,-0.0007785449406778233,-0.001529562220611375,-0.0008471035395541722,-0.0004466586402280407,-0.0004969617828299714,-0.0006667332972604013,-0.0004464460618124032,-0.0007498248629848034,-0.0008923836699829346,-0.00111105615180424,-0.0006946163696792308,-0.0010683110467739371,-0.0009575055828811927,-0.0009606579452060625,-0.0009740516383553735,-0.0005228263264232489,-0.0011262562187759608,-0.0008330212981177604,-0.0007727759119580212,-0.0008288038880168186,-0.0006669098365513998,-0.0005680660281656161
2010-02-05,-0.0018352790844539336,-0.0017701357424233482,-0.0010137449260299322,-0.0019953674831587527,-0.0011119320712238286,-0.0005813782028667669,-0.0006422652134411732,-0.0008676932442213617,-0.0005729721680415584,-0.0009662070951467713,-0.0011652810756736624,-0.001442233799556707,-0.0009045469393007316,-0.0013865322359063459,-0.0012563677568415404,-0.001245656496867032,-0.0012598291654437896,-0.0006768087965781599,-0.0014576664097027958,-0.0010857074209834163,-0.0010094825920479186,-0.0010780755168195062,-0.000862548647855241,-0.0007374084950820472
2010-03-05,-0.001175458294150132,-0.0011360755970577674,-0.0006494958279812937,-0.0012796444072772754,-0.0007127084787455665,-0.0003727434575201688,-0.0004116661591353745,-0.0005555575179471266,-0.00036683954914137445,-0.0006169165242182471,-0.0007491205393515796,-0.0009298956545808499,-0.0005773657477788773,-0.0008900365349848699,-0.0008051804712380665,-0.0007999820881778277,-0.000806732426908326,-0.00043292930924585557,-0.0009358494627661249,-0.0006930847895933473,-0.0006432435553862725,-0.0006873248938608532,-0.0005527600460454638,-0.0004767246660242795
2010-04-02,-0.0008289659688360298,-0.0007997462791629333,-0.00045663989259988756,-0.0008987010400339774,-0.0004973218591961738,-0.00026289443608680426,-0.0002868582324747986,-0.0003901951275402615,-0.0002557867517506158,-0.0004329916361819425,-0.0005276080417834481,-0.000654880650833611,-0.00040599330869979907,-0.0006262869214546591,-0.000567483672358682,-0.0005645938024778558,-0.0005671039373938437,-0.0003031664219626422,-0.0006596782115471606,-0.0004879874496753266,-0.0004542283534092205,-0.00048203870263868975,-0.00038747667073198215,-0.00033454549891457204
2010-04-30,-0.0006768692951117528,-0.0006546978173399519,-0.0003737030336757678,-0.0007333795342173978,-0.0004080046734227841,-0.0002131612647387303,-0.00023346654138837255,-0.0003174591438870159,-0.00020822557705214048,-0.0003553575317592395,-0.000431633128702576,-0.000534548108823285,-0.0003312879294839798,-0.0005125308058179798,-0.00046429311949018896,-0.00046229577967448127,-0.00046431382421649106,-0.0002448380643148431,-0.0005418065914734633,-0.0003964915531060218,-0.00037123735708565587,-0.0003930989815494116,-0.0003160896974500914,-0.00027347348603103794
2010-05-28,-0.002108614582465446,-0.0020138265069504224,-0.001164012044184353,-0.002237891820904627,-0.001274033002529988,-0.0006617325674446011,-0.000724807907967818,-0.0009894072922513187,-0.000648902106418457,-0.0011066692197266124,-0.0013522146064762236,-0.0016459322066337827,-0.0010427887384491382,-0.0015984947882872475,-0.001443558851743483,-0.0014286489270316726,-0.0014394821375454364,-0.000757257184198221,-0.0016724528735430437,-0.001234164608988748,-0.0011683493366843414,-0.0012268691686363842,-0.0009699037411723386,-0.0008547948855600562
2010-06-25,-0.0015368027863034372,-0.0014674473049514144,-0.0008534164533222032,-0.0016297433627772031,-0.0009310486507038123,-0.0004815444743345388,-0.0005262905169633904,-0.0007216850382754188,-0.0004718335883189876,-0.000804502118942929,-0.000989167600693062,-0.0012054737273050654,-0.0007585876922869831,-0.001167751333283722,-0.00105737474374405,-0.0010433645533046048,-0.001049345277587047,-0.000551595893209334,-0.0012236102125413205,-0.000898999608758754,-0.0008536827165353583,-0.0008962571194345209,-0.0007092005903703223,-0.0006217533546532675
2010-07-23,-0.0016839846487374025,-0.0016223449378689708,-0.0009404679915605486,-0.0017888017533342503,-0.001035102190767593,-0.0005325205507734395,-0.0005867505875113886,-0.000797147556958629,-0.0005216035119976862,-0.0008951932644314084,-0.001098043622383403,-0.0013250773310278525,-0.0008460532621903009,-0.0012910414184494888,-0.0011732397142949613,-0.0011595146448960846,-0.0011530863474066208,-0.0006088801485681723,-0.0013492796604394608,-0.0009959604596715208,-0.0009503894990283016,-0.000998293074588435,-0.0007768219324552513,-0.0006926320932737107
2010-08-20,-0.001583685959722904,-0.0015140253813483253,-0.0008833775177749309,-0.0016708752419439632,-0.0009645104613081968,-0.0004972687848170253,-0.0005459934424495429,-0.0007414072149795636,-0.0004884963962646697,-0.0008353233080460773,-0.0010413658326927308,-0.0012382976274797335,-0.0007923223561306957,-0.0012117748056678804,-0.0010964430562329227,-0.0010883177685503712,-0.0010761969922455754,-0.0005660236140291591,-0.0012587034713407433,-0.0009397334527843444,-0.0008991841173579889,-0.0009386212132636487,-0.00073251025666885,-0.0006390264012758328
2010-09-17,-0.0015511222957683326,-0.0014880869637213976,-0.0008674267813468587,-0.0016394545977229688,-0.0009454269956699632,-0.000487940366662193,-0.0005339700386057188,-0.0007263713665114519,-0.000475742830589365,-0.0008166439844346856,-0.0010206090636607223,-0.0012140422987844365,-0.0007754270219545765,-0.0011893532380642285,-0.0010715703182036553,-0.0010709771502613167,-0.001051328207970822,-0.0005542980969860931,-0.0012343558690361424,-0.0009191702686769575,-0.0008837605270186567,-0.0009226093672293473,-0.0007134202212603727,-0.0006231032279050114
