,.CSIH00928,.CSIH00929,.CSIH00930,.CSIH00931,.CSIH00932,.CSIH00933,.CSIH00934,.CSIH00935,.CSIH00936,.CSIH00937,gamma_op
2012-12-07,2.2517267135798116e-07,1.787907432141874e-07,1.3979375486525847e-07,1.5106649768060626e-07,0.0043898803454757145,7.420491913395061e-06,6.413832378245209e-07,3.921009966420042e-07,4.5422492557454364e-07,0.9956005166297838,2
2012-12-14,2.2717584044706055e-07,1.818120024754769e-07,1.4220880978712588e-07,1.520974639480556e-07,0.004231652142501995,7.351675317065218e-06,6.670734773228575e-07,3.98170690681115e-07,4.6396706993321966e-07,0.9957587636768264,2
2012-12-21,2.2952919731111183e-07,1.8451058343677804e-07,1.4406926500324456e-07,1.5357562114233833e-07,0.004266235637641135,7.326685383489827e-06,6.929279717114217e-07,3.979030220501547e-07,4.695098168104147e-07,0.9957241656514979,2
2012-12-28,2.3876277787326886e-07,1.8897829912491358e-07,1.4658302800417e-07,1.5897542218652465e-07,0.004384403699931892,7.286468937667514e-06,6.966983403073113e-07,4.0471765381757467e-07,4.769367460767789e-07,0.9956059981788631,2
2013-01-04,6.219901823034465e-07,4.6680600890015134e-07,7.293776590334939e-07,1.0428770658550094e-06,0.10915949590979362,6.346562998319014e-05,2.512283989003299e-06,1.0961556609288803e-06,1.1033799629896261e-06,0.8907694655896942,2
2013-01-11,6.208712679172005e-07,4.6586835502245685e-07,7.284225986957847e-07,1.0411528902137639e-06,0.10838624754111433,6.312265939518751e-05,2.543071967125864e-06,1.0905140637778133e-06,1.1080986529819244e-06,0.8915430317996947,2
2013-01-18,6.227649820038143e-07,4.642713461273914e-07,7.333536121016979e-07,1.0480063849339456e-06,0.11263787284168197,6.528026857206186e-05,2.5232233820476542e-06,1.1125178918662048e-06,1.159025015737501e-06,0.8872891837271312,2
2013-01-25,6.150283260925287e-07,4.6136011372297373e-07,7.311313857444685e-07,1.046655426848533e-06,0.1102668888414381,6.688617601015092e-05,2.5069576103352485e-06,1.127802650351073e-06,1.1393632415161616e-06,0.8896585966837971,2
2013-02-01,4.48906203358284e-05,2.609351518063113e-05,5.3499997659421585e-05,0.00013226128958619124,0.1511452545509447,0.011561249823092989,0.0007377261609630807,0.00010775606919974541,0.00013562818857603158,0.8360556397844614,2
2013-02-08,4.5431307779802843e-05,2.627489455042632e-05,5.368962297978672e-05,0.00013215713141397488,0.14658792068764717,0.011339461875344424,0.000787581052178643,0.00010663454566370596,0.00013496086298139798,0.8407858880194607,2
2013-02-22,4.6345365293844175e-05,2.6847183534403084e-05,5.533484069991795e-05,0.0001358032468906989,0.15029238292481978,0.011819231989374382,0.0007660737674150928,0.00011059756635120156,0.00013521833055904638,0.8366121647850617,2
2013-03-01,1.7646213625142925e-05,9.348333947336939e-06,1.8777429953975783e-05,6.28978404149346e-05,0.18425371529756718,0.020421776850992317,0.00011404817658673076,7.254492433624894e-05,0.00010648527181314526,0.794922759660763,2
2013-03-08,1.737239019403801e-05,9.241304221570328e-06,1.8763501237819262e-05,6.265749679275566e-05,0.176310672373822,0.020440858008790207,0.00011698084194857939,7.324557478927818e-05,0.00010617074217720025,0.8028440377660266,2
2013-03-15,1.6658642541355817e-05,8.817477507034134e-06,1.7744126986405276e-05,5.98820375963154e-05,0.17549297836390174,0.019792505315672424,0.00011046821642347136,7.258641668800109e-05,0.00010806868031583493,0.8043202907223675,2
2013-03-22,1.6764236516902317e-05,8.701523447336088e-06,1.7677598528775323e-05,5.90733051685351e-05,0.17192298055590052,0.020162456674352177,0.00010883416519076928,7.26235798696241e-05,0.00010881215534068877,0.8075220762056847,2
2013-03-29,9.986964980777165e-06,4.37607190654696e-06,8.873643595729886e-06,3.742211119732203e-05,0.2267089738116216,0.022303559556495635,5.580179001480256e-05,5.5888066047537696e-05,9.221580781352883e-05,0.7507229021763265,2
2013-04-05,9.829429146665853e-06,4.327925004610236e-06,8.727898679198574e-06,3.716740550354871e-05,0.22611545774881295,0.02270674414923828,5.328663027957148e-05,5.5938914733299786e-05,9.263484952705133e-05,0.7509158850490748,2
2013-04-12,9.850503216071666e-06,4.351369765582864e-06,8.761580903444301e-06,3.744598042745955e-05,0.22285108471123607,0.02217709550356677,5.414690701859238e-05,5.4778360794210544e-05,9.212399349125344e-05,0.7547103610895806,2
2013-04-19,9.779130412451363e-06,4.375508366252695e-06,8.837888978110092e-06,3.7951170179878005e-05,0.2287782750126581,0.021837967791883166,5.3940661594329426e-05,5.586569469622199e-05,9.334036716473858e-05,0.7491196667740667,2
2013-04-26,0.004399895035077747,0.0015881904922047524,0.003986678835776025,0.01049941959414906,0.15318429880579096,0.04498826435213294,0.01354473977204601,0.011240991728212482,0.016711156227228893,0.7398563651573811,2
2013-05-03,0.004358649050749361,0.0015697376195007815,0.00396748151700956,0.010607326945738833,0.1519299718812593,0.04573942386472179,0.013462383840266792,0.011299622765881956,0.017799056487487645,0.739266346027384,2
2013-05-10,0.0042130652134612645,0.0015328981668378224,0.003916282001593669,0.01058124658742182,0.14909519854530093,0.04633386651377087,0.013497820972920356,0.011378852702088434,0.017989866092743043,0.7414609032038618,2
2013-05-17,0.00413313007061966,0.0015196472359715156,0.0039288333525936,0.010630191625174777,0.1503112954790003,0.0458399211369659,0.013136830001130553,0.011415253511411611,0.018494552451335043,0.7405903451357971,2
2013-05-24,0.013911017132595141,0.007774723076035425,0.014996521121175416,0.028172426416897753,0.14131066350810997,0.058087585558651775,0.028490899441467543,0.02168200470094349,0.034937464002663884,0.6506366950414595,2
2013-05-31,0.013899339061016843,0.007860949283018687,0.015362049067166338,0.02893105995516493,0.1437473676995696,0.058041166355059286,0.02861358022900477,0.02331534909923542,0.03535803810909406,0.6448711011416701,2
2013-06-07,0.013795905348813102,0.00783279836443998,0.015369686857387172,0.028780867891399782,0.1431161116807255,0.05948032467498719,0.028714625366650304,0.022603129360190252,0.033778068342873974,0.6465284821125328,2
2013-06-14,0.013885093467596697,0.0077777774703081835,0.015245818046327509,0.028755402639389003,0.14442855809839125,0.05872809186570148,0.02859088660265236,0.022431434267765584,0.03276221328682101,0.647394724255047,2
2013-06-21,0.012910763386413435,0.007378590615058564,0.014090388955325536,0.027318515843921434,0.16236288344849384,0.07341361321566302,0.023260612929772204,0.02204836046107239,0.03730639699560245,0.6199098741486773,2
2013-06-28,0.012802942525745408,0.007339623745650518,0.014055859600214554,0.027325668450837393,0.168437414220222,0.074400674009556,0.023026116255706004,0.02194919592373874,0.03710331168220971,0.6135591935861197,2
2013-07-05,0.0120991350049002,0.0069376771487948035,0.013631397431220518,0.027309387833748124,0.16829078873340078,0.07532552359617593,0.023004453535458345,0.021906233749775343,0.03887932837396951,0.6126160745925564,2
2013-07-12,0.011757755923945894,0.006968974025698868,0.013468610946232772,0.027457431267881527,0.17084114043178236,0.07710981880618101,0.02232317519839584,0.02241775863413173,0.03884793117812029,0.6088074035876296,2
2013-07-19,0.013937530898487108,0.008202868854986098,0.01539349305702463,0.03533190882963563,0.3485287306115813,0.12137631801279197,0.02159262452219883,0.025406286745363563,0.05746339078067615,0.35276684768725475,2
2013-07-26,0.013690262734605389,0.008051566474634347,0.01548290996727662,0.03596044710590384,0.34472747255793657,0.12347691155461334,0.021141028187703866,0.026898077010924133,0.06173842954065219,0.34883289486574975,2
2013-08-02,0.013399268905995469,0.008054375414275573,0.0153977209421163,0.03592906522631247,0.3440015360698809,0.12556065499719798,0.020627121577449142,0.027207438286781106,0.061451743945525966,0.34837107463446526,2
2013-08-09,0.013611516839875628,0.008120304068635868,0.015477771207172074,0.03607015414717123,0.3432628444960043,0.12424343273659615,0.0208900078291293,0.027390912219551873,0.06162221283369421,0.3493108436221695,2
2013-08-16,0.014977486662394596,0.008631606774924389,0.016281057108732164,0.03538151014155258,0.39623071659933196,0.1456494542211531,0.019846353235411007,0.0279639307546503,0.06981491335664547,0.26522297114520443,2
2013-08-23,0.015467246050251217,0.008805004525491305,0.01666718582837865,0.03550926804055391,0.39496612064987946,0.13964594963092736,0.02078732055571601,0.027773095522252673,0.07021009581703455,0.2701687133795149,2
2013-08-30,0.015170991593571676,0.00871448187600947,0.016586004987423693,0.036012691701234584,0.39533427285872347,0.14168020134996825,0.020235726614095048,0.02910086484410022,0.07459806980620577,0.26256669436866775,2
2013-09-06,0.015202606063720689,0.00886404437939638,0.017250772658684677,0.03630853580193502,0.39556783572737086,0.13766283155695405,0.02085603250564728,0.027963383836566703,0.07205914837954283,0.26826480909018147,2
2013-09-13,0.017204756855472333,0.010413948917089508,0.018602943101771338,0.04035195166607999,0.3823105398803102,0.15667006157707797,0.021184462293420955,0.03282716364532043,0.07886894479634596,0.24156522726711124,2
2013-09-20,0.017394893311797714,0.010468808673637236,0.01905807374709293,0.041338118307155274,0.3855350295600945,0.1521478042152484,0.022606371675180034,0.031703775177144365,0.07473779174601536,0.24500933358663404,2
2013-09-27,0.01723560435189375,0.010344495052605195,0.01897960304361028,0.04206179926374413,0.38049810932587136,0.15537019164724578,0.02221989782435199,0.03201142135798277,0.07612081616049621,0.24515806197219855,2
2013-10-04,0.016799722966044223,0.010032829938482942,0.018314488676748005,0.04218411938401313,0.3844154005441713,0.1618149228428889,0.021028778886027638,0.03259198910163363,0.07628015257350594,0.23653759508648434,2
2013-10-11,0.014634333822054701,0.008333319704819611,0.01355992852153122,0.030019586878578502,0.4364351320647383,0.19732189606444217,0.014556677794212061,0.029960969803049464,0.08074010652565299,0.17443804882092112,2
2013-10-18,0.014729752734100845,0.008323711111659578,0.01370163847222811,0.030548972478095706,0.4386428433613987,0.19211718311389633,0.014485561036786717,0.03009294512587659,0.08291154400549593,0.17444584856046144,2
2013-10-25,0.01463039178171541,0.00816738765724733,0.013564489755551322,0.029789238431643224,0.44502054128564145,0.1890672907952318,0.014014782352083706,0.029917376614863177,0.0783859935836633,0.17744250774235934,2
2013-11-01,0.014856605256577062,0.0081770395593705,0.013742355782313849,0.02997080687496421,0.440474820987122,0.19101135734723712,0.014379508581901602,0.029141478847819653,0.07712655985612925,0.18111946690656489,2
2013-11-08,0.011354306539385267,0.0031321413631767436,0.0058053100628175786,0.011943790838488136,0.3576808855461566,0.14226802108959274,0.009155283306484366,0.014216194040791982,0.044014662348332345,0.40042940486477435,2
2013-11-15,0.011669747089376459,0.003121474283475196,0.005800215359957009,0.011844204103576703,0.35596517364260993,0.1378221337202048,0.00895867091756165,0.0142135919505578,0.04447545571153377,0.4061293332211468,2
2013-11-22,0.011440654596671136,0.0031234580341637794,0.00585415928712806,0.011891002699748326,0.3649514987145385,0.14133446553264536,0.008842356836281344,0.014679139458404536,0.04550577345470187,0.39237749138571704,2
