,.CSIH00928,.CSIH00929,.CSIH00930,.CSIH00931,.CSIH00932,.CSIH00933,.CSIH00934,.CSIH00935,.CSIH00936,.CSIH00937,gamma_op
2014-12-12,2.482939383176302e-07,2.5412243766357556e-07,4.478177925681045e-07,7.296705523426145e-07,7.97999139149128e-07,0.03855978136557469,0.10338302637938773,0.8580533995395496,2.1341414589601973e-07,1.1013974819768592e-06,2
2014-12-19,2.404317404407049e-07,2.6495760047932614e-07,4.812168846584201e-07,7.554252776018517e-07,8.200389746253307e-07,0.03856116749675968,0.10085745908276719,0.8605774215177336,2.164707073760581e-07,1.1733615542751846e-06,2
2014-12-26,2.5175773068909264e-07,2.65624577224605e-07,5.182458956735078e-07,7.408906338900342e-07,8.030756935053959e-07,0.03751659910350262,0.10882459349343782,0.8536547572354195,2.19894721002177e-07,1.250678387916346e-06,2
2015-01-02,2.589158347163254e-07,2.7050348568959804e-07,5.20460823682523e-07,7.554341822423239e-07,8.364642970206603e-07,0.037822061426162415,0.11676331980510499,0.8454104321751279,2.1920261646302732e-07,1.3256123648194451e-06,2
2015-01-09,7.845515730335692e-06,1.0690961607977647e-05,2.6801032838003167e-05,4.6366658505637764e-05,0.00010199540273442016,0.38081934754109137,0.4932289870255988,0.1254994441920559,6.044669454994753e-05,0.00019807497528757413,2
2015-01-16,8.198579703676062e-06,1.09358612824319e-05,2.7159633819996154e-05,4.843894040947995e-05,0.00010449373574674255,0.3914690818657256,0.4768090598214082,0.13126530976518125,6.203959992236098e-05,0.00019528219680041092,2
2015-01-23,7.941661083470803e-06,1.051339384640524e-05,2.667483882982252e-05,4.817323795008339e-05,0.0001007083842030464,0.38827278935916076,0.47398288734988836,0.13729969368828093,6.142328464189978e-05,0.00018919480211492893,2
2015-01-30,7.785432462831492e-06,1.0685793448296642e-05,2.6886514768613098e-05,4.867241306866178e-05,0.00010078726270656608,0.3981197944607459,0.4604531220703429,0.14098583088899216,6.242554661701839e-05,0.00018400961684704074,2
2015-02-06,2.9900616972375053e-07,3.3989264696075445e-07,5.498284337741402e-07,7.818898151583961e-07,9.102847928080054e-07,2.6455847760811085e-05,0.29197821235396326,0.7079899150405822,2.285331327905849e-07,2.3073227024295604e-06,2
2015-02-13,2.8393228881607783e-07,3.257840511866399e-07,5.207311527660771e-07,7.684694050271189e-07,8.787333439306788e-07,2.5732196887338695e-05,0.2827521014494188,0.7172170312273799,2.2554029508167476e-07,2.1319357772383275e-06,2
2015-02-20,2.75905387209818e-07,3.1968797819600104e-07,5.165934095260046e-07,7.649827354171883e-07,8.727347690088941e-07,2.526005462267161e-05,0.2792224018558258,0.7207472419613179,2.2638390254464736e-07,2.1198400516386486e-06,2
2015-02-27,2.700376424779877e-07,3.150130654922031e-07,5.130158267690182e-07,7.724270490567414e-07,8.558230982389315e-07,2.498821328349793e-05,0.27316132510822383,0.7268086457322922,2.299138233699015e-07,2.0847156950197066e-06,2
2015-03-06,7.559208816723922e-07,8.697703687094653e-07,1.591479641775386e-06,2.362895095766145e-06,2.4104660098104376e-06,5.357681448900017e-06,0.2209413428336425,0.7790404084563703,1.4357145929836247e-06,3.464781947578959e-06,2
