,.CSIH00928,.CSIH00929,.CSIH00930,.CSIH00931,.CSIH00932,.CSIH00933,.CSIH00934,.CSIH00935,.CSIH00936,.CSIH00937,gamma_op
2012-12-07,2.6042883051844963e-05,1.9741838035032197e-05,2.0323458937278847e-05,2.612020786841088e-05,0.789828557400561,0.2098952982381369,7.039998564974635e-05,6.963546572120479e-05,1.6109756850636353e-05,2.7770765187946087e-05,2
2012-12-14,2.7098624355088474e-05,2.0705075848959525e-05,2.132298868919037e-05,2.7123277148310253e-05,0.7852389433808796,0.21447074150764464,7.551624020693963e-05,7.293123158907482e-05,1.6971369986866984e-05,2.864630365127091e-05,2
2012-12-21,2.7224366569556257e-05,2.0893456937061865e-05,2.147967272856457e-05,2.7231854249720702e-05,0.7871752919762505,0.21253184985249066,7.799908773338324e-05,7.246966291308014e-05,1.7076905126582324e-05,2.8483165000893074e-05,2
2012-12-28,2.7746813798153822e-05,2.0966580547286343e-05,2.1412464654624585e-05,2.761923029427215e-05,0.7926177633477273,0.20709053407146283,7.683743469349548e-05,7.22200530696057e-05,1.6996203549647913e-05,2.79038002025091e-05,2
2013-01-04,7.404540616208401e-05,3.2047676211513325e-05,2.806959675512419e-05,2.700000150142746e-05,0.7604733897036722,0.22563800575226764,0.013636833651543261,3.955723839362495e-05,1.3241311278593495e-05,3.780966221450391e-05,2
2013-01-11,7.439125104413782e-05,3.219059672673997e-05,2.8214531147683888e-05,2.7130068502764733e-05,0.7599803986028487,0.22587317408984367,0.013893420256137101,3.960871145843666e-05,1.3384126691266989e-05,3.808776559955935e-05,2
2013-01-18,7.192628429378068e-05,3.092294429261595e-05,2.7380791829066622e-05,2.6323488966039803e-05,0.76129993325226,0.22516684405488316,0.013287686212394453,3.895019073737635e-05,1.3494213052783227e-05,3.653856729057351e-05,2
2013-01-25,7.179174844051871e-05,3.105739129827338e-05,2.7589508683231564e-05,2.6570469169386167e-05,0.7532383853500343,0.23317116720637285,0.01334309643798471,3.990723757694568e-05,1.3407040711613111e-05,3.7027609728014236e-05,2
2013-02-01,9.249542503476514e-07,4.6858822380412755e-07,3.7738267244481153e-07,4.848312441910714e-07,2.062109375185802e-05,0.6830083822435281,0.3169676285716049,4.37236142484191e-07,2.573023203314186e-07,4.17796261642308e-07,2
2013-02-08,9.283735030156294e-07,4.6795340904358073e-07,3.755963813480465e-07,4.80453434777236e-07,1.9834361184149114e-05,0.6643799927737825,0.33559682075315306,4.2911637658292035e-07,2.539244032001609e-07,4.1669437237648194e-07,2
2013-02-22,9.294428738256914e-07,4.6925537918721723e-07,3.7990814394398567e-07,4.845289681248781e-07,1.995748895393563e-05,0.679613898331866,0.3203627876599366,4.367889380240014e-07,2.4967844896833117e-07,4.069164910799154e-07,2
2013-03-01,2.8746965846525763e-06,1.5330401717301328e-06,1.35935624409443e-06,1.6199103865349696e-06,9.753765755094856e-05,0.7932794387152347,0.20661092354683608,2.2572763468024315e-06,9.038179036035431e-07,1.551982740912464e-06,2
2013-03-08,2.8130702082723407e-06,1.5063750018599739e-06,1.3501795680428412e-06,1.604016427717492e-06,9.277162950033163e-05,0.7892458526927422,0.21064938291262186,2.2653724036483545e-06,8.957292678566087e-07,1.5580222580954011e-06,2
2013-03-15,2.80044417105139e-06,1.4921432096340666e-06,1.3255575938247412e-06,1.5914707266600206e-06,9.586556620124949e-05,0.7933782146862197,0.20651381247055312,2.3306651673518163e-06,9.465380427501015e-07,1.620458114595144e-06,2
2013-03-22,2.785403620388046e-06,1.4553869877788517e-06,1.30522167788249e-06,1.5517094392261198e-06,9.282263124935167e-05,0.7988035650503178,0.2010916599321207,2.304725609031169e-06,9.419604854040453e-07,1.6079784924939373e-06,2
2013-03-29,3.5733519549516614e-06,9.488973460297764e-07,7.743695125806929e-07,9.384464317794801e-07,3.6111160287410346e-07,0.9623322257916466,0.03765808595608203,8.200380233444376e-07,5.395841860490457e-07,1.7324532137889565e-06,2
2013-04-05,3.4626264227967573e-06,9.239523711993055e-07,7.498787313627923e-07,9.176530740085866e-07,3.5459945185691224e-07,0.9645856375013943,0.03540490591755131,8.080979785766268e-07,5.336583557709893e-07,1.7061146688673201e-06,2
