,.TR15GSPAU,.TR15GSPBK,.TR15GSPCS,.TR15GSPDF,.TR15GSPE,.TR15GSPFBT,.TR15GSPFDGR,.TR15GSPHC,.TR15GSPHHPE,.TR15GSPHR,.TR15GSPIC,.TR15GSPINSC,.TR15GSPIS,.TR15GSPLP,.TR15GSPM,.TR15GSPME,.TR15GSPMS,.TR15GSPPHB,.TR15GSPREC,.TR15GSPSEQP,.TR15GSPTEHW,.TR15GSPTRN,.TR15GSPTS,.TR15GSPU,gamma_op
2016-08-12,0.366705394000988,1.1872296440145666e-07,4.617613570260217e-08,0.633291081439317,8.291562682502013e-08,7.554034314588775e-08,8.099891509131241e-08,7.144149576465345e-08,9.120654262037331e-08,7.35029941952997e-08,2.251136280093632e-07,1.1263717498111485e-07,7.35630142513252e-08,1.9784654681004345e-07,7.408404454354781e-07,4.5768336096563563e-07,9.599444004421317e-08,8.261786330792269e-08,1.0543641088342532e-07,5.278378839685031e-07,5.9091481759582626e-08,4.596893137610647e-08,8.06957891699976e-08,7.87277062943915e-08,2
2016-08-19,0.3679842054781967,1.1703038775967594e-07,4.588902644660223e-08,0.6320122737062672,8.406523474192763e-08,7.580323162347375e-08,8.180517546954022e-08,7.130883617393334e-08,9.192269514973185e-08,7.346370723470956e-08,2.2605602067364603e-07,1.1189704662761022e-07,7.350856186415545e-08,1.9903803708582722e-07,7.334497473841092e-07,4.603420591475843e-07,9.655017749906956e-08,8.167683550264938e-08,1.0500737135553834e-07,5.276670986261143e-07,5.9336821353895325e-08,4.5556286458729195e-08,8.068980149255455e-08,7.875137623060193e-08,2
2016-08-26,0.3674849386171369,1.1760422901939461e-07,4.570308337770339e-08,0.6325115624279345,8.505209720052963e-08,7.485219287822337e-08,8.039645764897571e-08,7.000029514634822e-08,9.063354423902444e-08,7.187826156640329e-08,2.2500943380100627e-07,1.1097301926241302e-07,7.23697711329689e-08,1.9895614698532127e-07,7.343888732743741e-07,4.5224880565616556e-07,9.453847582466241e-08,8.043508099620849e-08,1.0175050851682956e-07,5.33262274238972e-07,5.928521323515151e-08,4.5929712109479176e-08,7.675150344810977e-08,7.693594880066133e-08,2
2016-09-02,0.36681316926354784,1.1887173883563011e-07,4.5619099463688885e-08,0.6331833512457198,8.386325484090495e-08,7.404409647341529e-08,7.836984156277611e-08,6.87346438460324e-08,9.083491903095061e-08,7.238910265502544e-08,2.2397603863903442e-07,1.1160752413451788e-07,7.267832199896297e-08,1.976451533378756e-07,7.306713275139932e-07,4.4542133217679143e-07,9.362113830190004e-08,7.905344069640356e-08,1.0134264406464549e-07,5.349820365871896e-07,5.881571826732117e-08,4.54361045145589e-08,7.620566513720245e-08,7.530759017296403e-08,2
2016-09-09,0.4075184884457968,7.684856523369922e-05,4.450753965503347e-05,0.5902195356856739,9.548889626583219e-05,2.175227930702623e-05,2.511332612400519e-05,3.329220544205809e-05,2.2724995207307305e-05,2.9729859228821434e-05,0.00010313616373914766,0.00010536947483561192,6.474772025211531e-05,9.536460008482094e-05,0.00046031669171747724,0.00017215525571675442,6.849467519511293e-05,3.2911506102688455e-05,4.230188910382389e-05,0.0006004597131728994,6.81458778906871e-05,5.298102089223644e-05,2.481360386632971e-05,2.1320009495773653e-05,2
2016-09-16,0.4046733848806857,7.737189656695605e-05,4.43239123271348e-05,0.5930813485966762,9.84158663368629e-05,2.1310947718527835e-05,2.4931602199826167e-05,3.3332837695594815e-05,2.2509163360810794e-05,2.9683769776099092e-05,0.00010181263059515024,0.00010592510899023608,6.512861780621273e-05,9.39060812709816e-05,0.0004545669090212424,0.00017177621848060273,6.799249696542478e-05,3.331912266721525e-05,4.164039561240529e-05,0.000590157072621362,6.73861553029045e-05,5.3649510870546964e-05,2.4785445598335137e-05,2.134076085393966e-05,2
2016-09-23,0.4064691433214832,7.573063699886595e-05,4.4345010726004425e-05,0.5912530907581532,9.573013682706517e-05,2.1528557365760348e-05,2.505825530451914e-05,3.375814210641791e-05,2.2854498544902286e-05,2.9961188281332115e-05,0.00010168732251043924,0.00010581012296400522,6.576948748519041e-05,9.332290308347497e-05,0.0004523204632950957,0.000172691924744587,6.882222132483061e-05,3.390638044535376e-05,4.1467682645788504e-05,0.00062072483084218,7.206418696958853e-05,5.332719660258506e-05,2.499048427945777e-05,2.1894287016059605e-05,2
2016-09-30,0.40879851768860065,7.617265038497969e-05,4.447520968951396e-05,0.5889186975748288,9.528212078139296e-05,2.1709638098700657e-05,2.489254750550172e-05,3.394714877054143e-05,2.291690413213534e-05,3.0274826876283822e-05,0.00010280985042571918,0.00010670180751653015,6.60842423969106e-05,9.388450912559315e-05,0.00045671744282468755,0.00017423720812659782,6.943765329407684e-05,3.417242556182789e-05,4.120990906745729e-05,0.0006140861193538095,7.16804545333282e-05,5.427122772722925e-05,2.5311188363060232e-05,2.2509652014642212e-05,2
2016-10-07,0.29924890605179805,7.489192249427319e-07,2.809567891700761e-07,0.7007328266043721,4.893662136816385e-07,1.6000417745346178e-07,1.8909531542910683e-07,2.2195720877077025e-07,1.635821935458711e-07,2.0593192985496732e-07,4.934516202217463e-07,7.467894884982739e-07,4.306649678037757e-07,1.1782523865377235e-06,8.687228032203154e-07,6.758047518945819e-07,4.879975318101623e-07,2.1419071335548287e-07,2.676155824979662e-07,9.472932719871451e-06,3.7517904606237533e-07,2.5879759482199245e-07,1.822425301104451e-07,1.5488904020470758e-07,2
2016-10-14,0.2984798019003174,7.669036033493245e-07,2.7362034737650146e-07,0.7015020090253902,4.879115557576984e-07,1.5673604256399557e-07,1.837376439516591e-07,2.1958305319752993e-07,1.6233667296554366e-07,2.0242881627691398e-07,4.839552435625511e-07,7.535645147332825e-07,4.2739145509708295e-07,1.1622186186897957e-06,8.490080448742014e-07,6.685927824342205e-07,4.880818283785306e-07,2.1374249999511585e-07,2.527812437367922e-07,9.477442373122128e-06,3.756158446043328e-07,2.5832105098108057e-07,1.7669855685123737e-07,1.4840250001594205e-07,2
2016-10-21,0.2948525369654158,7.675212253624489e-07,2.7665245991276324e-07,0.7051293134675468,4.902880972688597e-07,1.598648000376001e-07,1.8829412591761714e-07,2.1815877218107696e-07,1.626277087051168e-07,2.0504824801729683e-07,4.865341244875658e-07,7.675548694572249e-07,4.3253074425241896e-07,1.1700038014976775e-06,8.528223406379296e-07,6.73328908905226e-07,4.895892032337807e-07,2.091175767331877e-07,2.6027572003702454e-07,9.361082590471238e-06,3.8144573916606205e-07,2.630621048349721e-07,1.8078620143550228e-07,1.5297767484008316e-07,2
2016-10-28,0.29321576501501,7.761461665960983e-07,2.7539025377598816e-07,0.7067662945800077,4.873625988870944e-07,1.5890162736260872e-07,1.8600422448893833e-07,2.1878139336554422e-07,1.5657105469858197e-07,2.0369184807350862e-07,4.80559336263691e-07,7.437491623509136e-07,4.340196934861252e-07,1.1602720946469702e-06,8.571418325988936e-07,6.783097921955761e-07,4.868701837124066e-07,2.0511290877092643e-07,2.5898350292162887e-07,9.215530535140627e-06,3.756094676165496e-07,2.5722437665743877e-07,1.7210670388618784e-07,1.5206622466669675e-07,2
2016-11-04,0.26988713313329105,9.753711618840073e-07,2.1819251467048075e-07,0.7300904531522522,3.753230504026241e-07,1.2118574748647576e-07,1.3364481185100228e-07,1.4014671757763856e-07,1.237450497101882e-07,1.307901064232372e-07,5.727560927293642e-07,6.040556714286038e-07,4.860969591175018e-07,1.2931255909259817e-06,1.2674719856215687e-06,1.7452258195026213e-06,4.23438791020343e-07,1.37723281953065e-07,2.0074527271261427e-07,1.2665179310284965e-05,3.7004450760878507e-07,1.6309002784640583e-07,1.353708841849423e-07,1.309911019244432e-07,2
2016-11-11,0.26923854861925783,9.681765078717995e-07,2.168641179713203e-07,0.730739201312209,3.7066011262210017e-07,1.1992735147915787e-07,1.3274461762109792e-07,1.4043849268531092e-07,1.214752683138495e-07,1.3100716142026604e-07,5.697776209491623e-07,6.002115276138806e-07,4.77337205116208e-07,1.2830187258905555e-06,1.2746754371592725e-06,1.7458633158812108e-06,4.173321867553789e-07,1.3561732096485132e-07,1.9858915189587996e-07,1.2551169489777841e-05,3.646299348918129e-07,1.659714435757825e-07,1.3370642155471183e-07,1.3087512120497067e-07,2
2016-11-18,0.2613553739052179,1.0039195173159486e-06,2.0850722917545492e-07,0.7386234449695412,3.4740075160377983e-07,1.0573348958265722e-07,1.2276440005241098e-07,1.3182306009633516e-07,1.0880778381517438e-07,1.2461277840843716e-07,5.669557950798642e-07,5.905888027601741e-07,4.3969608083930803e-07,1.2146583124889646e-06,1.2169676378599032e-06,1.681772592085826e-06,3.9453835128831767e-07,1.3335422406389472e-07,1.7942776829190713e-07,1.1867962595968565e-05,3.408892748320512e-07,1.6342535322762844e-07,1.2192551413331373e-07,1.153939278497782e-07,2
2016-11-25,0.2568467536594431,1.0288633916345218e-06,2.1100906135406352e-07,0.7431317740119489,3.5208442560326806e-07,1.0551484459037223e-07,1.2105269654799157e-07,1.3249794941791343e-07,1.0635504922498024e-07,1.2826442730493118e-07,5.607792206647642e-07,5.940417099230518e-07,4.39778772961475e-07,1.2115517936356378e-06,1.2165712268204697e-06,1.6975678939175624e-06,3.9786821796290466e-07,1.2907409316632064e-07,1.790163280505024e-07,1.2113177958219423e-05,3.406382457451426e-07,1.6714165835614218e-07,1.2439024256777748e-07,1.1508940039495496e-07,2
2016-12-02,0.37029865447584537,1.0925951001596578e-06,1.26402005710245e-07,0.6296833162000464,1.281586567085535e-07,8.722412116907812e-08,1.00926880198156e-07,1.0529009730058675e-07,8.413114751367942e-08,9.978324519654326e-08,3.297527488725461e-07,2.857397972414706e-07,1.667486883455348e-07,6.65441508410457e-07,4.46432210640228e-07,4.779618856057545e-07,2.4717433367526896e-07,1.0477423897229406e-07,1.1612137214655243e-07,1.2936065004929675e-05,1.191527094336825e-07,1.290639338638928e-07,9.474144488452105e-08,8.564297739850869e-08,2
2016-12-09,0.37080906132853036,1.1008452469936231e-06,1.2302144569815063e-07,0.6291736402240249,1.309679617298977e-07,8.501945509315084e-08,1.0090313742683637e-07,1.034667568954046e-07,8.188362388871244e-08,9.767141681525573e-08,3.271807950013049e-07,2.8171736757054243e-07,1.603398671912814e-07,6.389121139237545e-07,4.451469979098796e-07,4.6951996485989426e-07,2.3929709170540424e-07,1.0183765115232452e-07,1.1463098114367467e-07,1.2274591444070597e-05,1.162381185243061e-07,1.2857136225819177e-07,9.244696051919802e-08,8.423768458082301e-08,2
2016-12-16,0.3790597893179691,1.1050971747959962e-06,1.2038975790937844e-07,0.6209231049277756,1.2687038262172396e-07,8.316782695402266e-08,9.759693010825577e-08,9.908436886807166e-08,7.927046199945445e-08,9.53366807866886e-08,3.143962240806723e-07,2.7494510389621796e-07,1.5831332562785185e-07,6.263572113340338e-07,4.3461306049860513e-07,4.5989162814821626e-07,2.3384045056006562e-07,9.68657330576237e-08,1.1251372629268401e-07,1.2174217353236713e-05,1.1412590335236363e-07,1.2629242665019044e-07,9.07860442718042e-08,8.178248030209562e-08,2
2016-12-23,0.37423015975758545,1.1098264725802015e-06,1.222154032700683e-07,0.6257523377690666,1.301120930072954e-07,8.579640770895991e-08,1.0023241260999159e-07,1.013308408899086e-07,8.104412002896689e-08,9.710296272787542e-08,3.1547042384484274e-07,2.7908440527516276e-07,1.6099418107485809e-07,6.164686185184736e-07,4.3565166090217633e-07,4.688202273490349e-07,2.3444022250179818e-07,1.0120483846029325e-07,1.1437634004115175e-07,1.2525371667582813e-05,1.1748763195619094e-07,1.2583909279333594e-07,9.472692821437726e-08,8.487639643514574e-08,2
2016-12-30,0.380907549458337,0.0003334341374309456,4.0152481816317425e-05,0.5974539171135502,3.538371790868313e-05,1.573929801695315e-05,1.8972958889907927e-05,2.4011794220692194e-05,1.400750383041084e-05,2.314479165690898e-05,7.033054750770038e-05,5.92208595639991e-05,5.5550373094638756e-05,0.00025710887025903826,7.459824306941046e-05,7.222667830083054e-05,7.479026612260283e-05,2.543497057948572e-05,2.0866514911690027e-05,0.02030524556332134,5.223634797619657e-05,3.7110961908956054e-05,1.607027773782685e-05,1.289626998802443e-05,2
2017-01-06,0.37953917810522675,0.0003337480545277063,4.054278762495737e-05,0.5989690383907935,3.546142844952394e-05,1.593760510815723e-05,1.905442212336296e-05,2.414563574197882e-05,1.4067244753574984e-05,2.3093316331906277e-05,7.056008312385985e-05,5.95529157809225e-05,5.5639449422477187e-05,0.0002591643798000152,7.472600210287861e-05,7.251016074886915e-05,7.500985872736415e-05,2.5633756232897043e-05,2.151164311201703e-05,0.020152562368133408,5.2515037156114205e-05,3.7049285156713974e-05,1.6225213201503186e-05,1.3072856619468179e-05,2
2017-01-13,0.382795163731842,0.0003280263422515647,3.958471298126755e-05,0.5961966622334212,3.48416473045904e-05,1.5589527519231245e-05,1.8688643061807442e-05,2.4055602988696432e-05,1.3973497260586824e-05,2.2712637755852694e-05,6.986463920699153e-05,5.854547255901591e-05,5.612197837004267e-05,0.0002603890474764662,7.41982441022315e-05,7.248592368824069e-05,7.441322698729824e-05,2.5838839458105786e-05,2.1399852696272447e-05,0.019680555973126852,5.1881292525939344e-05,3.6384996637651025e-05,1.58174886284655e-05,1.2804448149683372e-05,2
