,.TR15GSPA,.TR15GSPD,.TR15GSPE,.TR15GSPF,.TR15GSPI,.TR15GSPL,.TR15GSPM,.TR15GSPREC,.TR15GSPS,.TR15GSPT,.TR15GSPU,gamma_op
2009-04-03,1.7924457086459069e-07,3.4486957855483564e-07,5.087746582881346e-07,2.0789139498650716e-07,3.970635669461165e-07,5.089150075593274e-07,3.589087940248083e-07,3.303034927152579e-07,0.9999950136584725,4.2280900139318966e-07,1.7275614622329404e-06,2
2009-04-10,1.745001625939403e-07,3.6206141636457595e-07,5.192833681904624e-07,2.1994030433167387e-07,4.082958575630036e-07,5.268963073967741e-07,3.7152542847870086e-07,3.8389941143065693e-07,0.9999948536748133,4.429900456257145e-07,1.736932884694905e-06,2
2009-04-17,1.7781647891129117e-07,3.73480523818275e-07,5.175362128121223e-07,2.4009132850973387e-07,4.230127043908076e-07,5.242533173103753e-07,3.771580552161551e-07,4.053649535374711e-07,0.9999947685367613,4.512122205675833e-07,1.741537443745096e-06,2
2009-04-24,1.790196723137954e-07,3.7930983440148145e-07,5.084464736595239e-07,2.4591285511731575e-07,4.3084128001293684e-07,5.119189539912432e-07,3.795056010469415e-07,4.2289360197478604e-07,0.9999947871484882,4.495542998598276e-07,1.7054489394438654e-06,2
2009-05-01,2.241756741586035e-07,3.151673725384493e-07,4.784382851339322e-07,1.9599486095410966e-07,3.5031304939708234e-07,4.2795015731957145e-07,3.334764304354187e-07,3.044437715030339e-07,0.9999933756710182,3.56880491953729e-07,3.637488888363243e-06,2
2009-05-08,2.2319699532003445e-07,3.118140794276119e-07,4.794160833250015e-07,1.864257592978193e-07,3.4915584234947885e-07,4.274382152308741e-07,3.3494537068317533e-07,2.821071562261593e-07,0.999993326721406,3.552666081097755e-07,3.723512484301133e-06,2
2009-05-15,2.2949259869134668e-07,3.1305877228397867e-07,5.08056949381462e-07,2.1931650433925814e-07,3.6295549000752865e-07,4.117542876768768e-07,3.4167710578665173e-07,3.0104083047428466e-07,0.9999932427795871,3.408002680853248e-07,3.729067606190166e-06,2
2009-05-22,2.2801931748083258e-07,2.928709488792965e-07,4.7627625779342085e-07,1.944876099509402e-07,3.380017254212802e-07,4.063989783978577e-07,3.260719142446167e-07,2.656539237778953e-07,0.9999935743138071,3.362759088241715e-07,3.5616296081531734e-06,2
2009-05-29,2.5568086602437823e-07,2.750399201748927e-07,4.1208984539423555e-07,1.7556130466725347e-07,2.798453386687361e-07,3.2497963237784115e-07,2.9444711618447733e-07,2.794126325620897e-07,0.9999919875409398,2.4783516686910945e-07,5.467567237289793e-06,2
2009-06-05,2.600429116853047e-07,2.8103506285399854e-07,4.3011252477067126e-07,1.833898189717816e-07,2.869089786192951e-07,3.340597219397393e-07,3.0092994334430083e-07,2.976047911106713e-07,0.9999917557847956,2.580123161136993e-07,5.612119134927378e-06,2
