,.TR15GSPA,.TR15GSPD,.TR15GSPE,.TR15GSPF,.TR15GSPI,.TR15GSPL,.TR15GSPM,.TR15GSPREC,.TR15GSPS,.TR15GSPT,.TR15GSPU,gamma_op
2009-04-03,1.856598095904065e-07,5.271508501219685e-07,8.102560618858477e-07,2.2031814055065483e-07,4.0706955113093866e-07,9.734343376735396e-07,4.888452726383954e-07,2.9069872166881673e-07,0.9999951356303992,5.432548701835024e-07,4.176819853665353e-07,2
2009-04-10,1.8074559164452775e-07,5.534294402887343e-07,8.269918277410181e-07,2.3308726878136939e-07,4.1858488268740504e-07,1.0078282922376089e-06,5.060295180025483e-07,3.3786825552486774e-07,0.9999949463022855,5.691848846028215e-07,4.1994775311843426e-07,2
2009-04-17,1.8418059974103675e-07,5.708841300844608e-07,8.242093694143114e-07,2.544428227698849e-07,4.336725918296039e-07,1.0027728733238594e-06,5.1370133446158e-07,3.5675998782171215e-07,0.9999948585659553,5.797493139266498e-07,4.2106102142258144e-07,2
2009-04-24,1.8542685355442558e-07,5.797945228541117e-07,8.097333708336911e-07,2.6061232868112273e-07,4.416984413584286e-07,9.79180134778242e-07,5.16898760422556e-07,3.721868727505755e-07,0.9999948645139205,5.776190930469597e-07,4.123357013721077e-07,2
2009-05-01,1.6838802022552772e-07,4.5694304441253606e-07,6.593831087863889e-07,2.1592044844207536e-07,3.862402600388531e-07,1.2901095420037327e-06,4.1157785617615124e-07,2.761383079030014e-07,0.9999951505960514,5.654618421159887e-07,4.192415185154841e-07,2
2009-05-08,1.6765290534596505e-07,4.520813327228355e-07,6.607307604636905e-07,2.0537853124525404e-07,3.8496440268754173e-07,1.2885663282833633e-06,4.1339085981686414e-07,2.5587844491599467e-07,0.9999951792954122,5.629047560522653e-07,4.291562661094293e-07,2
2009-05-15,1.723818102788106e-07,4.5388595531211035e-07,7.002035944568569e-07,2.4161308547440804e-07,4.0017932033912753e-07,1.2412851914937667e-06,4.216992059637201e-07,2.730517826735985e-07,0.9999951259200399,5.399834750968399e-07,4.297965390493797e-07,2
2009-05-22,1.712751464940598e-07,4.2461674215103417e-07,6.564034049242163e-07,2.1425996446867057e-07,3.726663180394746e-07,1.2251408038115444e-06,4.0243917450894633e-07,2.4095492121586095e-07,0.9999953489304612,5.328147631809815e-07,4.104982999749412e-07,2
2009-05-29,1.6059274063332158e-07,5.855765569157104e-07,1.030228416565063e-06,2.2892421155816368e-07,4.0985078258400684e-07,3.4730689963179216e-06,5.200983456065829e-07,3.1241952563762455e-07,0.9999921931209339,7.578070895997624e-07,3.2831240078828357e-07,2
2009-06-05,1.6333253155769453e-07,5.983405660305226e-07,1.0752852619912252e-06,2.3913224523087004e-07,4.201959120052196e-07,3.57010817517619e-06,5.315493148300194e-07,3.327607099981869e-07,0.9999919433771377,7.889258062446422e-07,3.3699233929645366e-07,2
2009-06-12,1.5938968898543287e-07,6.074853583690956e-07,1.067881837400208e-06,2.349913288617703e-07,4.34564314948229e-07,3.4617168924418472e-06,5.300346861236876e-07,3.3808996047227354e-07,0.9999920281881535,8.031017350842984e-07,3.345560437742669e-07,2
2009-06-19,1.604086352805595e-07,6.074103136027551e-07,1.1020019626466365e-06,2.398312399446468e-07,4.344098571553659e-07,3.5547821407485466e-06,5.399168826416187e-07,3.359120009377918e-07,0.9999918591179149,8.162205750977941e-07,3.4998847711894053e-07,2
2009-06-26,0.1704978830652517,0.0010238466130585654,0.0009310966276795973,0.0004902819976601277,0.0007782268328045843,0.011767893308389604,0.00070814406920148,0.0004837320477024797,0.8109762984298035,0.0009897009968218387,0.0013528960116265993,2
2009-07-03,0.17139418108054866,0.0010118214580131612,0.0008984723464347091,0.00048072081727777325,0.0007655728030873489,0.012092888397425946,0.0006969260277312805,0.0004780184574401534,0.8098417596110883,0.000983762605534273,0.0013558763954184465,2
