,.TR15GSPA,.TR15GSPD,.TR15GSPE,.TR15GSPF,.TR15GSPI,.TR15GSPL,.TR15GSPM,.TR15GSPREC,.TR15GSPS,.TR15GSPT,.TR15GSPU,gamma_op
2011-04-01,3.667344753994955e-07,1.485922109833494e-06,0.3495843625546629,3.2230534614668407e-07,1.1120594950145317e-06,7.37663715901185e-07,4.423620858983943e-06,3.0641765009658574e-06,0.6504021843914484,1.6930631475824446e-06,2.4750823905709816e-07,2
2011-04-08,3.6848926710797825e-07,1.4849383606232254e-06,0.350253610297461,3.2166342782680996e-07,1.1221110056680545e-06,7.561590469213084e-07,4.462743509172392e-06,3.1011621029361743e-06,0.6497328549626741,1.6681187950119974e-06,2.49354349697022e-07,2
2011-04-15,3.6838228422821815e-07,1.4737749563017574e-06,0.348725829710927,3.195450449113493e-07,1.1033786504451814e-06,7.57182787000536e-07,4.453453497098806e-06,3.0329805786818887e-06,0.6512607580290277,1.6557708699092104e-06,2.4779137687323055e-07,2
2011-04-22,3.735714781417965e-07,1.4754028985793593e-06,0.33735304180660897,3.1357456228145084e-07,1.0921643061531334e-06,7.559133330897418e-07,4.349758264054777e-06,3.0981815297860716e-06,0.6626336180647734,1.6342409417393072e-06,2.473213040673342e-07,2
2011-04-29,5.924954293948259e-06,7.303052993726223e-06,0.2017176696233895,1.4646624884776622e-06,5.48118476147272e-06,7.790904087845853e-06,2.4206886805659862e-05,2.5936872658553767e-05,0.7981866985309021,1.0200947056235548e-05,7.322380562498217e-06,2
2011-05-06,5.9841361429122384e-06,7.2623970691984255e-06,0.201644602549977,1.4627406126391964e-06,5.522063234761081e-06,7.806768208848057e-06,2.4032954368955276e-05,2.6087789563013582e-05,0.7982596799799422,1.0172898736520365e-05,7.38572214386549e-06,2
2011-05-13,6.103540893802564e-06,7.31104813609009e-06,0.19031640439435032,1.4596682893828454e-06,5.507433116252474e-06,7.934164862128901e-06,2.3539039809760183e-05,2.5923262147502865e-05,0.8095880940398129,1.0215017686244335e-05,7.508390895682681e-06,2
2011-05-20,6.111660646004887e-06,7.274173087281917e-06,0.18521499864733787,1.411880512262627e-06,5.38230270501004e-06,7.866863241622944e-06,2.2877101403432575e-05,2.550367329455768e-05,0.8146909962379058,1.0052628803343187e-05,7.524831062940768e-06,2
2011-05-27,0.00030418268209597796,0.0003067489824564694,0.10935425091724782,5.451548996442861e-05,0.00020996298445781318,0.0003821405795009199,0.0010180289237573872,0.0014545616584520846,0.8859577525314893,0.0005946317372399496,0.0003632235133377757,2
2011-06-03,0.00030281518753115186,0.0003082632289934786,0.11218540290605873,5.477083458016974e-05,0.00021035824676346367,0.00038419401704547574,0.0010419194434695006,0.001480414989837359,0.8830766024559941,0.0005951865654327417,0.0003600721242939121,2
2011-06-10,0.0003048886493887313,0.00030441781139019583,0.11287201984372078,5.428164235310884e-05,0.00020812524380145985,0.00038185785506700677,0.0010301942678892385,0.0014862059145609977,0.8823998575145028,0.0005955591785738156,0.00036259207875188973,2
2011-06-17,0.0003050234935660605,0.0003001501355636901,0.1117599397411242,5.3593698078160375e-05,0.00020585074047704648,0.00038032136901927524,0.0010322324695266592,0.001445658918121435,0.8835676327501756,0.000584131160351355,0.00036546552399640886,2
2011-06-24,0.0006203252394364114,0.0005344810612312022,0.15017903784063907,0.00011252248423475374,0.00039582780965108453,0.0005962360732233146,0.0019111801180253483,0.0016720474084856267,0.8423260406906306,0.000987180497382988,0.0006651207770596395,2
2011-07-01,0.0006280015837414618,0.0005514608572475866,0.15058892092328263,0.00011303051355051588,0.00040331951439042134,0.0006039079801027389,0.001985505110284239,0.0016885980865486724,0.8417576901613094,0.0010081672832056793,0.0006713979863367369,2
2011-07-08,0.0006297694602261318,0.0005655303005204116,0.1558630489036654,0.00011533613419531267,0.00041419082091879994,0.0006094574991270257,0.0020251795663239302,0.0017086742052748222,0.8363611204120778,0.001037465265512888,0.0006702274321575026,2
2011-07-15,0.0006226606236314062,0.000565689549210341,0.1559909618361359,0.00011345939352989679,0.0004104524854123282,0.0006029512572691656,0.0020291856871630875,0.0017314636485713368,0.8362266054586484,0.0010440294790907943,0.0006625405813374114,2
2011-07-22,1.2321033052000704e-05,5.134511963386483e-05,0.22634732337298052,3.4892518394613468e-06,1.8287816989974014e-05,1.7358453470623714e-05,0.014238701975531547,4.8970631723620857e-05,0.7091110402748143,0.050140748318986586,1.0413750977489582e-05,2
2011-07-29,1.22376352601328e-05,5.1347232279649685e-05,0.23006227085987663,3.5326052467132975e-06,1.8150988406845483e-05,1.703962208222796e-05,0.014116389524722653,4.95228543273589e-05,0.7047216707327638,0.05093746640626765,1.0371538766314271e-05,2
2011-08-05,1.2107452647303365e-05,5.117524300162336e-05,0.22698474716977085,3.5226773995555236e-06,1.762242648250913e-05,1.687350356611684e-05,0.013908727943253719,4.923273858625597e-05,0.7082020691899947,0.050743436077261506,1.0485578035709196e-05,2
2011-08-12,1.1785715463540778e-05,4.917653519161055e-05,0.213564539535862,3.3538519471120384e-06,1.686870340215846e-05,1.7157623242839033e-05,0.013185439368640542,4.545782162347889e-05,0.7232830198042572,0.04981265571376253,1.0545326607047212e-05,2
2011-08-19,1.491509576803222e-06,1.823553965398059e-05,0.024953972831318835,1.29587832967768e-06,7.447885032520901e-06,3.6403594964293148e-06,0.0015659801411885554,2.967774001035224e-05,0.9732737456389304,0.00014164788490716486,2.8645915552747407e-06,2
2011-08-26,1.465465650898957e-06,1.7225383299642197e-05,0.02372085578817926,1.2384238086703133e-06,6.9443575957097894e-06,3.6473243878104922e-06,0.0014653548670491231,2.8876304317205034e-05,0.974620594832797,0.00013087449312816459,2.922759786530405e-06,2
