,.TR15GSPA,.TR15GSPD,.TR15GSPE,.TR15GSPF,.TR15GSPI,.TR15GSPL,.TR15GSPM,.TR15GSPREC,.TR15GSPS,.TR15GSPT,.TR15GSPU,gamma_op
2009-04-03,5.977762867894357e-07,5.516599364615793e-07,0.00036285087758156434,2.686496541353391e-07,5.503723087625344e-07,3.000433128896049e-06,2.0333522645008797e-06,3.263849415117581e-07,0.9996271242684854,9.994411930989901e-07,1.6967842189050434e-06,2
2009-04-10,5.81949339940541e-07,5.791558879893069e-07,0.00037034270194295186,2.842177945866495e-07,5.659371196083445e-07,3.106422477664318e-06,2.104814074044116e-06,3.793421181150832e-07,0.9996193023462647,1.0471373710457237e-06,1.7059756093251876e-06,2
2009-04-17,5.930097974575182e-07,5.974226826802635e-07,0.0003690971056909042,3.1025832015729144e-07,5.863367772656674e-07,3.090843891521977e-06,2.136727313038194e-06,4.0055331967596177e-07,0.9996204106678884,1.0665741751564486e-06,1.7105001436634324e-06,2
2009-04-24,5.970262811395825e-07,6.067512506526836e-07,0.0003626168364729121,3.17783265181668e-07,5.97191834956224e-07,3.0181437603205595e-06,2.150040955113664e-06,4.178766270938926e-07,0.9996269406217323,1.0626621088068438e-06,1.6750657118144725e-06,2
2009-05-01,4.421754109141401e-07,7.354420623768967e-07,4.2406046577180955e-05,2.884911397782488e-07,6.461836746283974e-07,5.502748473587907e-06,3.124724707930784e-06,6.806404059358687e-07,0.9999438152623437,1.6757277762933587e-06,6.825574277388057e-07,2
2009-05-08,4.402450252744491e-07,7.276171798912965e-07,4.249271399760066e-05,2.7440607743150515e-07,6.440491174403501e-07,5.4961658477853735e-06,3.138488971194884e-06,6.307027819735644e-07,0.9999437887617979,1.6681498428336e-06,6.986993606001383e-07,2
2009-05-15,4.52661713661705e-07,7.305199276559578e-07,4.50311702089102e-05,3.228182555128866e-07,6.69502205462055e-07,5.294483238425279e-06,3.2015587292054746e-06,6.730309142017277e-07,0.9999413242952027,1.600219517527947e-06,6.997400868814958e-07,2
2009-05-22,4.4975707975113555e-07,6.834138431545859e-07,4.2214442384925864e-05,2.862727421927609e-07,6.23474717317952e-07,5.225638257823971e-06,3.055345121990926e-06,5.939188813198642e-07,0.9999446204335922,1.5789801780357968e-06,6.6832320127873e-07,2
2009-05-29,6.130055182302538e-07,8.075406584342088e-07,0.00725302765156784,4.039281052710313e-07,7.978997884456826e-07,2.321407980630894e-06,6.806264295747928e-06,6.906976038968308e-07,0.9927312983869724,2.134480803322276e-06,1.0987367057485177e-06,2
2009-06-05,6.232658656781398e-07,8.248810727740867e-07,0.007567835382773897,4.218059111790628e-07,8.177801770002898e-07,2.385512037678588e-06,6.953910142853215e-06,7.354344977267989e-07,0.9924160531738255,2.221426388176798e-06,1.1274273073744233e-06,2
2009-06-12,6.08251906164261e-07,8.37531812256313e-07,0.007516121459049968,4.1452331592112714e-07,8.457878126662032e-07,2.3132064280242423e-06,6.934456200044801e-06,7.472515705741898e-07,0.9924677967369753,2.261460125719456e-06,1.1193348031971426e-06,2
2009-06-19,6.119932957042944e-07,8.372271895710878e-07,0.0077544075519355195,4.229592666084674e-07,8.452840978312566e-07,2.374824375296101e-06,7.062048419142085e-06,7.422594695849053e-07,0.9922292273161802,2.297849463211901e-06,1.170686307316625e-06,2
2009-06-26,8.535911435717832e-07,4.83158327872604e-07,0.09974156527454664,2.26958276676324e-07,4.459044732634771e-07,9.975349676866766e-07,1.5279540648873422e-06,3.658617344370568e-07,0.9002481541467086,3.3956089393003008e-06,1.9840068171189315e-06,2
2009-07-03,8.621774398183352e-07,4.79764521744107e-07,0.09670653272111958,2.2359530472285538e-07,4.4074946825625584e-07,1.0299807858095138e-06,1.510932392981372e-06,3.6326743403949043e-07,0.9032831675775549,3.391358042781139e-06,1.9978759352010276e-06,2
2009-07-10,8.438532673849029e-07,4.693787760458259e-07,0.09435768208633323,2.1547916676683506e-07,4.294462350863443e-07,1.0092981211330181e-06,1.474557441999836e-06,3.4975871318897625e-07,0.905632195657696,3.3491564284279494e-06,1.9813278207735945e-06,2
2009-07-17,8.456613921409803e-07,4.660556833230455e-07,0.09142612258414973,2.1111555691247175e-07,4.201635464631921e-07,9.861441361723898e-07,1.4382280202270284e-06,3.3927948346373803e-07,0.908563897921111,3.3086338841605043e-06,1.964213036302593e-06,2
2009-07-24,0.0011984278304689186,0.0005557574810358739,0.0031442661516943304,0.00022477674242094622,0.0005087259912721171,0.001089306217185942,0.001256983617219036,0.0002982152102808883,0.7947437646112424,0.19525287061863184,0.0017269055285477075,2
2009-07-31,0.0012318141364236613,0.0005721076883270932,0.0032530765036509622,0.0002261400992262312,0.0005207996204710101,0.0011211290917178458,0.0013237335168583,0.00031599016173756945,0.7922868192764709,0.19736751477334488,0.0017808751317716135,2
