,.CSIH00928,.CSIH00929,.CSIH00930,.CSIH00931,.CSIH00932,.CSIH00933,.CSIH00934,.CSIH00935,.CSIH00936,.CSIH00937,gamma_op
2012-11-30,1.5743813248638518e-07,1.2308045773058824e-07,5.5285683635733774e-08,5.187126278437498e-08,3.7582813073413265e-05,2.7097616415114605e-06,1.6045396510159517e-06,2.83808632198684e-07,3.230699778327293e-07,0.9999571083314874,2
2012-12-07,1.5555738475614352e-07,1.2021247959186325e-07,5.497339542301552e-08,5.137489700130337e-08,3.672506040108588e-05,2.675197753716296e-06,1.6147929248541204e-06,2.7336590070009086e-07,3.1392142115251544e-07,0.9999580155434418,2
2012-12-14,1.569165047921351e-07,1.22224594562887e-07,5.5914291066197687e-08,5.171735503871847e-08,3.53957668098491e-05,2.649970521920584e-06,1.6792077705609916e-06,2.775538220279366e-07,3.206038080590992e-07,0.9999592901245221,2
2012-12-21,1.585474846024552e-07,1.2404300339745545e-07,5.664774123946092e-08,5.2221765393076125e-08,3.56862686358067e-05,2.6410535259289862e-06,1.7443506465195851e-06,2.773767766700451e-07,3.2444503453121683e-07,0.9999589350453858,2
2012-12-28,1.722705914525864e-07,1.2844095587018906e-07,5.717244241651304e-08,6.921564465084202e-08,0.04485996223009701,4.365050753384178e-06,1.3458332862101156e-06,3.1473662558205554e-07,3.226319781092298e-07,0.9551332624176253,2
2013-01-04,1.721711692238161e-07,1.279222013123997e-07,5.753843886662097e-08,6.936148669123191e-08,0.044793136799804914,4.42900974051232e-06,1.3793453436235066e-06,3.176514800056408e-07,3.280121648113285e-07,0.95519998218817,2
2013-01-11,1.717102472313584e-07,1.285631260060785e-07,5.765803388811257e-08,6.932594715625999e-08,0.0443004105416962,4.328020354372339e-06,1.4134830975298279e-06,3.123804907423274e-07,3.2835903466008595e-07,0.9556927799579722,2
2013-01-18,1.7278378438165418e-07,1.275220100032886e-07,5.7985843259969175e-08,6.986370103831978e-08,0.046327135567248046,4.566121881178317e-06,1.3885608934597378e-06,3.2313561565156966e-07,3.453495873921083e-07,0.9536658131094357,2
2013-01-25,8.171495928436807e-05,5.2433358420805274e-05,9.277659326056592e-05,0.0001679346457952966,0.13507278612063056,0.0055549498041545485,0.0007384494134150803,0.00014666703564712898,0.00017412488216558136,0.857918163187226,2
2013-02-01,8.208699928301064e-05,5.2757488572850515e-05,9.375145500911971e-05,0.00017025183396879556,0.13269717655321112,0.005759490114893158,0.0007707589311313193,0.0001449546500669548,0.00017679662967046757,0.8600519753441932,2
2013-02-08,8.300882012980279e-05,5.308144483187681e-05,9.400800513452739e-05,0.00016998080373418136,0.12859248222223058,0.005644453839464008,0.0008221837133843352,0.00014333048265548586,0.00017578511438986674,0.8642216855540453,2
2013-02-22,8.228114734596314e-05,5.067445071651474e-05,9.198809608929092e-05,0.0001825413109523841,0.13579078081063908,0.007547834982004106,0.0006935286966479586,0.00014470895382653415,0.00018671849110295236,0.8552289430606752,2
2013-03-01,7.785609030087463e-05,4.8452641230453667e-05,8.978532833830112e-05,0.00017717787521956668,0.13957241293203407,0.007717069302966459,0.0006490949021376282,0.00014626678456211697,0.00018910118439652111,0.851332782958814,2
2013-03-08,7.645767957291528e-05,4.7778992198408885e-05,8.949599162499948e-05,0.00017606266650812912,0.1332239831733993,0.0077051034705542506,0.0006641330217352182,0.0001473128233825632,0.00018807455289454882,0.8576815976281297,2
2013-03-15,7.326790689999124e-05,4.5557587251042016e-05,8.45779157407808e-05,0.00016815254378094646,0.13251840336777332,0.007455774452003386,0.0006267441824201996,0.0001458905484031867,0.0001913099994324315,0.8586903214962948,2
2013-03-22,9.860772686011654e-07,7.070807049000571e-07,1.1664433200621061e-06,1.8558751260492517e-06,0.15846734811532634,0.0004660598298034564,2.840911940587979e-06,1.966336724285798e-06,2.601206432414915e-06,0.8410544681233534,2
2013-03-29,9.555887720729352e-07,6.866293678704785e-07,1.1327457344763117e-06,1.835199785557679e-06,0.15276123041828704,0.0004592492802391781,2.843945509844429e-06,1.95454008530778e-06,2.556361030434329e-06,0.8467675552911882,2
2013-04-05,9.406789650586236e-07,6.791931179143922e-07,1.1143350086110769e-06,1.8230263071160319e-06,0.1523878403512271,0.00046763261739412465,2.716233010020253e-06,1.9566590751568702e-06,2.568424705879936e-06,0.847132728481189,2
2013-04-12,9.406789650586236e-07,6.791931179143922e-07,1.1143350086110769e-06,1.8230263071160319e-06,0.1523878403512271,0.00046763261739412465,2.716233010020253e-06,1.9566590751568702e-06,2.568424705879936e-06,0.847132728481189,2
2013-04-19,7.905856830642597e-07,5.659472357188975e-07,9.084525250326492e-07,1.4810579102845405e-06,0.17295731093455305,0.0005595831059565263,1.9577204880665824e-06,1.5946171211851255e-06,2.2713397688713826e-06,0.8264735362387582,2
2013-04-26,7.794531674009226e-07,5.595212950409072e-07,9.153958184151229e-07,1.5099017434699163e-06,0.17304694211351626,0.0005714591241326537,2.026096789391482e-06,1.6263251277429396e-06,2.3051803745940104e-06,0.826371876888035,2
2013-05-03,7.737451186305874e-07,5.541653978346925e-07,9.128741218005869e-07,1.5285781936462589e-06,0.1719853457705177,0.0005822036619598148,2.017947214748546e-06,1.6381927474413818e-06,2.460331945129336e-06,0.8274225647327832,2
2013-05-10,7.484588769995731e-07,5.415634985029246e-07,9.01765637592842e-07,1.5259569509391533e-06,0.1689022309271171,0.0005902099514793921,2.024767859068458e-06,1.6509095179835993e-06,2.4885616077247552e-06,0.8304976771374546,2
2013-05-17,0.013012427436919605,0.006530812375533726,0.012545859207961502,0.023354027856065565,0.11294961651982408,0.04561959800643289,0.02861237761941207,0.018433745990277986,0.03134227875165285,0.7075992562359199,2
2013-05-24,0.013029219335281872,0.006442741025997724,0.012669823364812493,0.023021600292566214,0.11139633732220193,0.04511309899556389,0.02851370903277827,0.01919812847222214,0.033334354970514415,0.707280987188061,2
2013-05-31,0.013036835212044063,0.006523478826036634,0.012997137150776002,0.02367522518808771,0.11347871094174909,0.04514129196277398,0.028677300845426173,0.020673780408572182,0.03378371111350168,0.7020125283510326,2
