,.CSIH00928,.CSIH00929,.CSIH00930,.CSIH00931,.CSIH00932,.CSIH00933,.CSIH00934,.CSIH00935,.CSIH00936,.CSIH00937,gamma_op
2015-04-03,6.900934603603633e-07,8.29635827746331e-07,1.7635912800074353e-06,2.7215022811229064e-06,2.607442578213834e-06,1.6511861185646102e-05,0.1433770505255517,0.8565932255455218,1.2971860344970093e-06,3.302616279043805e-06,2
2015-04-10,6.613668559422226e-07,8.124207544944983e-07,1.7361806675580324e-06,2.678328085347742e-06,2.5207045864014197e-06,1.627242678032962e-05,0.13993685392664085,0.8600339778471602,1.2886436718926878e-06,3.1981547969348077e-06,2
2015-04-17,6.624910666797839e-07,8.035871626919077e-07,1.7482242967601556e-06,2.6175173511040888e-06,2.564879926856247e-06,1.64931843233256e-05,0.1450040989184053,0.8549665591628454,1.2886421039875362e-06,3.16339251785328e-06,2
2015-04-24,7.216260311459504e-07,8.324940065623421e-07,1.998444562067644e-06,2.6785182039490605e-06,2.6679563185197363e-06,1.7152990550121336e-05,0.151405818523,0.8485633117556578,1.3256223033642102e-06,3.4920693665078005e-06,2
2015-05-08,7.219230529354734e-07,8.867004667534529e-07,4.304012172320231e-06,4.691736422480369e-06,3.3803737621983677e-06,5.798300432717984e-06,0.24271228810753545,0.7572583541720797,1.887161912615318e-06,7.687512162843314e-06,2
2015-05-15,6.5593560729618e-07,8.109081500958215e-07,4.008005363729482e-06,4.516256591975524e-06,3.1704855920440663e-06,5.6097961525191445e-06,0.2327049246879463,0.767267209594296,1.8257603956857858e-06,7.268569904323351e-06,2
2015-05-22,6.205855738109597e-07,8.147892521709541e-07,3.983343618419655e-06,4.4920945563870414e-06,3.131529203874962e-06,5.542695594036514e-06,0.21854532577083738,0.7814269848374702,1.8422866746203139e-06,7.2620672191331215e-06,2
2015-05-29,8.087598702249526e-07,9.467615825093376e-07,4.110773715776763e-06,3.563713851713682e-06,2.0527732732567873e-06,1.6706059349440685e-06,0.08519521144621103,0.9147805147141147,4.629290383249997e-07,1.0657522407444848e-05,2
2015-06-05,7.751429888454484e-07,9.290584194624454e-07,4.0030093605035955e-06,3.4619899107214837e-06,1.984857580497381e-06,1.6537084906371609e-06,0.07886076468114739,0.9211154454317226,4.806203419950454e-07,1.050150003744776e-05,2
2015-06-12,8.081037525677527e-07,9.607035632142797e-07,4.08150294645182e-06,3.4871495143220655e-06,1.961993256976039e-06,1.6358299515668793e-06,0.07900387334403595,0.9209718485834563,4.815913949051873e-07,1.0861198127681636e-05,2
2015-06-19,8.240733557567237e-07,9.629565702194755e-07,3.988350653271789e-06,3.5999687484946863e-06,2.0408160657376795e-06,1.660229906863168e-06,0.07970851118489139,0.9202669164335258,4.786437926582808e-07,1.1017342489744491e-05,2
2015-06-26,8.888233919950549e-05,0.00011228690383740083,0.0002716673788963359,0.00045670447338434783,0.00021359318133283567,0.0006176401022514443,0.0022554599499442357,0.8674130366159818,0.00034686519444022837,0.12822386386073187,2
2015-07-03,9.583209924474877e-05,0.00011589150370480853,0.0002852197212571315,0.00046760227150737654,0.00022982690882163173,0.0006400996609806014,0.002408891118935439,0.8564341663058521,0.00035107015838629495,0.1389714002513099,2
2015-07-10,9.927548987283159e-05,0.00011249760166937081,0.00027325550277577465,0.00048002802442554873,0.00023657039838448528,0.0006756012704332053,0.0026788026768401305,0.8612968857624714,0.0003377078005812125,0.1338093754725461,2
2015-07-17,0.00010532210395511287,0.00011781480665983782,0.00029328737822782524,0.0005012480321442482,0.0002557965017342351,0.0006968596558571353,0.0030473098226328566,0.8522837007354269,0.0003288483232403465,0.1423698126401214,2
2015-07-24,1.4091044017347883e-06,1.6017660598638324e-06,4.667501527947076e-06,8.032964022512798e-06,7.266148707506129e-06,0.0018360877567720098,0.23858581268826573,0.7590905627782955,3.3150413665705063e-06,0.0004612442505806044,2
2015-07-31,1.429109664589347e-06,1.6182976522063126e-06,4.79875116806799e-06,8.064571258459552e-06,7.25313104762897e-06,0.0018344264796787784,0.22871030792057803,0.7689620139673713,3.675755061243877e-06,0.0004664120165198583,2
