,DJUSBMT Index,DJUSNCT Index,DJUSCYT Index,DJUSHCT Index,DJUSINT Index,DJUSENT Index,DJUSTCT Index,DJUSTLT Index,DJUSUTT Index,DJUSFNT Index,gamma_op
2008-01-04,4.574540213158614e-08,3.296813374143202e-07,1.9659469100558985e-07,3.1457622057616796e-07,3.2409889378253235e-07,0.9999972559324253,3.4660272982369237e-07,6.323451108507347e-07,3.580725508571666e-07,1.9635063811659432e-07,2
2008-01-11,4.520242038054486e-08,3.255477957553543e-07,1.8861346366665313e-07,3.1539027424538074e-07,3.154012261323954e-07,0.9999973108105987,3.2752042810541603e-07,6.209925282093494e-07,3.598489772992127e-07,1.9067228744443087e-07,2
2008-01-18,4.566612856481117e-08,3.36116727026372e-07,1.916093585540113e-07,3.391166192047304e-07,3.1356706382222177e-07,0.9999972567867571,3.2589701681346916e-07,6.16851635487352e-07,3.7763064069079165e-07,1.9675805269010463e-07,2
2008-01-25,4.6096609048163045e-08,3.492995062686856e-07,2.053782328305583e-07,3.5275298965416404e-07,3.271301729478016e-07,0.9999971760978671,3.440614315733144e-07,6.186108255035874e-07,3.8185119187967307e-07,1.9872117307670938e-07,2
2008-02-01,1.0546411553465783e-07,4.12821840696146e-07,2.4245444260758046e-07,4.883345669784368e-07,4.7062930215328923e-07,0.9999961250315296,4.3231605015531753e-07,7.939029980062344e-07,6.820992250708592e-07,2.4694592929983545e-07,2
2008-02-08,1.08796420537754e-07,4.1516963734589177e-07,2.5091856414184663e-07,4.872882286620558e-07,4.839558948973995e-07,0.9999960442718846,4.3013054023304354e-07,8.237775313134458e-07,6.956550009533157e-07,2.600362975331107e-07,2
2008-02-15,1.0898787056280681e-07,4.1342916673586e-07,2.4746370733744037e-07,4.885202180647486e-07,4.745029517870249e-07,0.9999961071977291,4.204634139592242e-07,7.976707816945681e-07,6.963513128063043e-07,2.4541284789213573e-07,2
2008-02-22,1.0639586107884538e-07,4.012947702285643e-07,2.3923378751063956e-07,4.6979389374719954e-07,4.5973650967290224e-07,0.9999962271578007,4.0455991890207917e-07,7.868883433569398e-07,6.730304883895746e-07,2.3190862617244207e-07,2
2008-02-29,0.014825279517844611,0.007353879580510744,0.006161013410674959,0.007426165019728509,0.007708567981588282,0.9157596726032817,0.00643839292170241,0.011519375813523983,0.016858301197268902,0.00594935195387572,2
2008-03-07,0.014491639214684398,0.0071900257308092,0.005908709533143372,0.00726417397860238,0.0075096750831080165,0.9184419275713924,0.006311107253910991,0.01120575240975143,0.016066397445518563,0.005610591779078992,2
2008-03-14,0.014440642140343967,0.007337560756740438,0.005926710739909179,0.0072673667850261525,0.007566736564386459,0.9175320970962871,0.006428169382377938,0.0114342697578855,0.016595572123691997,0.005470874653351119,2
2008-03-21,0.014532716102254135,0.007194666808904343,0.005777171290848348,0.006949659237535653,0.007502601368376594,0.9190203612906909,0.006340420220011104,0.010990273159081389,0.016367861787474264,0.00532426873482306,2
2008-03-28,2.462969959932019e-07,1.4162293749943279e-06,3.8141534118009776e-07,6.22914238787643e-07,1.2424335309281563e-06,0.9999864952064216,8.615807771087281e-07,4.269120623132301e-06,3.983550453030371e-06,4.812522432938159e-07,2
2008-04-04,2.5075481745248055e-07,1.3756466803048437e-06,3.6157250978347787e-07,6.02943816480985e-07,1.2089179858521737e-06,0.9999869069233293,8.25679158553828e-07,4.175870203759518e-06,3.855112964483476e-06,4.365785341002102e-07,2
2008-04-11,2.5615230015520524e-07,1.3355235383836371e-06,3.5922814761825477e-07,5.862801007254771e-07,1.2010224609065853e-06,0.9999870706868069,8.189721062923159e-07,4.109555677864295e-06,3.821022486788428e-06,4.415563745180458e-07,2
2008-04-18,2.532090722294611e-07,1.3032113230494919e-06,3.477394824222071e-07,5.802939246792614e-07,1.1374689099020387e-06,0.9999873413191234,7.943515855933303e-07,3.995638343914753e-06,3.8251612152306435e-06,4.216070194442065e-07,2
2008-04-25,0.1489570079008063,0.0008331650048684744,0.0005606938633283108,0.0006004618693361677,0.0010205207264499735,0.8441159234937745,0.000929308849075822,0.0009996429883194098,0.0014483454068400868,0.0005349298972010466,2
2008-05-02,0.14824568778709551,0.0008333602216581809,0.0005706792907987552,0.0006084676791026784,0.0010340411486429086,0.844716705854124,0.0009462685877325987,0.0010429744903203996,0.0014520987536717576,0.0005497161868531279,2
2008-05-09,0.14744014791886262,0.0008552630735145921,0.00059698186864675,0.000625299980236505,0.0010676246899441763,0.8452313386606926,0.000989037573029881,0.0011174190953882918,0.001501759113352098,0.000575128026332411,2
2008-05-16,0.14701427981945084,0.0008135920032940687,0.0005661732628130361,0.0005942204351360818,0.0010177967225243065,0.8460316739134138,0.0009518725835453071,0.001054739472085292,0.0014304855697107163,0.0005251662180266496,2
2008-05-23,2.4361154248965305e-07,2.4278602348475975e-07,1.9699511711970772e-07,1.765392112240173e-07,3.0832620950608754e-07,0.9999976555502186,2.857674614492141e-07,4.958633524813381e-07,2.1830379288856073e-07,1.7625707089699246e-07,2
2008-05-30,2.3720939747402942e-07,2.4266301100406146e-07,1.9253452171907486e-07,1.7894331142361037e-07,3.0361385237911607e-07,0.9999976858709694,2.80473818321073e-07,4.863751567795956e-07,2.2224859588767029e-07,1.7006736560709523e-07,2
2008-06-06,2.440933575677427e-07,2.467182588211763e-07,1.9844596955691066e-07,1.8415554032455367e-07,3.1524600078000635e-07,0.9999976124062275,2.9232166291545945e-07,5.070035257398143e-07,2.2630111567766937e-07,1.7330834125421907e-07,2
2008-06-13,2.459979134902265e-07,2.3921289510508995e-07,1.9382925300635293e-07,1.801973100211344e-07,3.032907785908797e-07,0.9999976709420917,2.8589689881364964e-07,4.939523938633672e-07,2.2298769248779019e-07,1.6369277281764308e-07,2
2008-06-20,0.2651130610168869,0.005340738881416299,0.005583940733705481,0.004989092995732733,0.004477323815859274,0.6920098102325738,0.005382336094406567,0.008998975091668499,0.0022914372908757474,0.00581328384687492,2
2008-06-27,0.26551628111865677,0.00520032306897394,0.005394251610448699,0.004913639829761747,0.004411794680243352,0.6928187909568976,0.005278087772718712,0.008578582023110976,0.0022846017112287927,0.005603647227959496,2
2008-07-04,0.258100716883903,0.005027963376929354,0.005196296874272591,0.004904655497254114,0.004180653251745674,0.701694395326001,0.0050878571412738315,0.008306922472611581,0.002236475911926821,0.0052640632640820655,2
2008-07-11,0.24572700731741787,0.0052041138497970355,0.005232782293018765,0.00511878594561953,0.004214955657131137,0.7132648167087183,0.005112421599561917,0.008541344920495793,0.00232077253540964,0.005262999172829996,2
2008-07-18,0.24740696116584066,0.0008885757426988405,0.000576098542654005,0.0008251592956998822,0.001042442217915153,0.7451929846962457,0.0008628047797508963,0.0011024761692978208,0.0016743032181083112,0.00042819417178851463,2
2008-07-25,0.25053255241502553,0.0009534701520453315,0.0006335076247364488,0.000889645075277814,0.001130220030380231,0.7415894174585597,0.000922158610123445,0.0011658182141125173,0.0016857272694791314,0.0004974831502600213,2
2008-08-01,0.2547830571636728,0.0009937661558434836,0.0006489967106364221,0.0009285618345241732,0.001171182230409151,0.7371426840647111,0.000948931568896401,0.001182234216741397,0.001689343214542861,0.0005112428400223816,2
2008-08-08,0.2539280800104376,0.0009958991432806959,0.0006484282895453066,0.0009195930238886798,0.0011646502217951336,0.7380575618776364,0.0009421953208384909,0.0011524732652198324,0.0016616057478069143,0.000529513099551067,2
2008-08-15,0.7582471974358367,0.014697767384850999,0.004588886202561232,0.011766363131206117,0.00867483304152862,0.16796452845696402,0.007079949897769042,0.011911633895411666,0.010355161768718243,0.004713678785153899,2
2008-08-22,0.758322571865869,0.01487482962961314,0.004700952066822522,0.011853719777735505,0.008693284510509618,0.16731669404801228,0.007156433008409118,0.012144117414254396,0.010318815572669246,0.004618582106105035,2
2008-08-29,0.7581319998097421,0.014230778124638067,0.0044798380809314645,0.011370120586323747,0.008320434485577186,0.17036541505079478,0.006864295001318321,0.011669322132617264,0.010214624716294878,0.004353172011762286,2
2008-09-05,0.7579336982907693,0.014058341743749004,0.00448298225831672,0.0112379435773622,0.008354466597846276,0.1706006310717264,0.006703708655273925,0.011861019262067883,0.010264198756038723,0.004503009786849619,2
2008-09-12,0.9999857181987727,3.755388836732161e-06,5.073371473610888e-07,1.1687480804195772e-06,1.0904329305860388e-06,1.6064878686502344e-06,5.276169445170292e-07,4.181407927287672e-06,1.1532070833182334e-06,2.911744084682866e-07,2
2008-09-19,0.99998567209841,3.839803219422978e-06,5.105599307598654e-07,1.178446528631393e-06,1.0852069825025768e-06,1.6014124696353008e-06,5.252116842740616e-07,4.1323872513564815e-06,1.169778551717387e-06,2.850949715516411e-07,2
2008-09-26,0.9999859828955352,3.753417591607528e-06,4.955687931245709e-07,1.1420561714437845e-06,1.0705280702408082e-06,1.644097410765358e-06,5.146298076068726e-07,3.9637942663786765e-06,1.1279142609488517e-06,3.0509809260201137e-07,2
2008-10-03,0.9999846017713655,4.137793353488389e-06,5.401321020946854e-07,1.283129641838112e-06,1.1406923577415135e-06,1.7950592713564973e-06,5.713258979633733e-07,4.3604036234480465e-06,1.248352911672676e-06,3.2133947497154546e-07,2
2008-10-10,0.00898840566469837,0.11587602095259526,0.011349363121486808,0.03380752969280447,0.012368915992231763,0.7487571031830144,0.010876547000441397,0.04233350643771614,0.008196729791170698,0.007445878163841041,2
2008-10-17,0.009587589341440477,0.12694331052280824,0.012343586231158086,0.036198057129489564,0.014140976110984893,0.7276367618504864,0.012178715842977859,0.044682985717220326,0.008536460902520315,0.007751556350913831,2
2008-10-24,0.009196185570992997,0.12265326169816983,0.011826867553136874,0.036800702885994296,0.013133845388260955,0.7330484377412092,0.011910421044842677,0.045162376978562034,0.008687597159865315,0.007580303978965553,2
2008-10-31,0.00839199870317616,0.11827240115820198,0.011250381231898636,0.03653918197485343,0.01235332759829368,0.7420769852225799,0.011221966913765011,0.043904243026964364,0.008946427954353957,0.00704308621591281,2
2008-11-07,0.002508253281762268,0.34129218283948975,0.0013732436040994702,0.00469780360723351,0.0021840995115128123,0.6080706317547983,0.0017019643983477426,0.005285304452564945,0.032160585154385225,0.000725931395806091,2
2008-11-14,0.0024067705971033784,0.3412232691269976,0.00132496867148109,0.004720954886897019,0.002130958304849337,0.6079965655672933,0.00163895425107521,0.00545398351390384,0.032417514562310436,0.0006860605180887995,2
2008-11-21,0.0022883894265711504,0.3380277206278801,0.0012715907221440199,0.004773746395885398,0.0020633374550410224,0.6104757559376545,0.001570123399135393,0.005654871595703942,0.033234663707884346,0.000639800732100035,2
2008-11-28,0.0020484868231845908,0.3418515334145274,0.001223346927266115,0.004555694528629785,0.001979606010172932,0.6066221337066389,0.0015337317431225344,0.005371528904519163,0.03428732427483009,0.0005266136671084152,2
2008-12-05,0.00046561836648343664,0.017683028710872052,0.0004396512781878665,0.0012250692219193185,0.000619303251606757,0.49424506145084923,0.00043306325919556,0.043322275137231574,0.44133999241459765,0.00022693690905644314,2
2008-12-12,0.0004667870113408771,0.01890266436350505,0.0004908085267957473,0.0013415816112266445,0.0006550124554911051,0.47484868818037507,0.00046110244249823246,0.046685970286804074,0.4558985380122182,0.0002488471097451259,2
2008-12-19,0.0004959587784326592,0.01756532559958864,0.00046344050658069744,0.0012823158762722937,0.0006241588031891084,0.49437296432090355,0.00046101831150945446,0.04427744178179301,0.440230765081357,0.0002266109403734404,2
2008-12-26,0.0005058524880667593,0.018376272209724778,0.0004884794004819499,0.001372732041343918,0.0006558951577307116,0.48389959370804275,0.00047230837767191095,0.04570920519958092,0.4482793374363393,0.00024032398101691665,2
2009-01-02,2.6604097356590432e-05,0.01725774967497718,5.713255055973159e-05,0.0006914910011104544,6.973430849229704e-05,0.3533298145118294,4.931501538173882e-05,0.4368579376825261,0.19163735106341329,2.287009435329078e-05,2
2009-01-09,2.6877225311543342e-05,0.01680152939125171,5.7299166117572316e-05,0.0006757870325339282,7.040280483663654e-05,0.3630095237094597,4.925079277733555e-05,0.429888193033382,0.18939835073500855,2.2786109321175866e-05,2
2009-01-16,2.7458335969057635e-05,0.016929387529097287,5.699854807034294e-05,0.0006791295668745532,7.066639038161727e-05,0.3644453650993692,5.0190001662626416e-05,0.4252052178893323,0.19251378037756633,2.180626167652364e-05,2
2009-01-23,2.7223437750338155e-05,0.017315489712040607,5.83069249741865e-05,0.0007087100245401528,6.943751229399347e-05,0.3676163145225977,5.074301072942802e-05,0.4145155986182839,0.19961848284936934,1.9693387420343805e-05,2
2009-01-30,0.0052414428089680165,0.03285884586519863,0.005239496714993394,0.011009518592141318,0.006075377122530076,0.06553742160192055,0.0038816765633929856,0.06830889288989617,0.7973950356812987,0.004452292159660254,2
2009-02-06,0.00503785817484238,0.03220142524781508,0.00512590875371429,0.011066023552689899,0.006051276849928205,0.06493354759620604,0.0038589054436005913,0.06542647700611673,0.8017801256891647,0.004518451685922051,2
2009-02-13,0.0052855338771355285,0.03175161078488628,0.005151480929085746,0.011103172551508207,0.006012062808801584,0.06590648086647771,0.004053493641436348,0.0663690773873777,0.7997594838074137,0.004607603345877374,2
2009-02-20,0.005346323958438068,0.032283857406530024,0.005164300091312691,0.011493642332030369,0.006093258444754892,0.06581751919844553,0.004148332597900621,0.0660701857449078,0.7991579128612958,0.004424667364384164,2
2009-02-27,0.0024432440095012997,0.038957222985220946,0.0032998158116433057,0.47514309397350285,0.003112091423722138,0.3320076976477221,0.003174130210713319,0.01764976849206562,0.1222082825474391,0.0020046528984692807,2
2009-03-06,0.0024545252073481217,0.04029517465142893,0.0034644486036883816,0.45460186612031184,0.0031053146282590976,0.34454713510584734,0.0033260167420377015,0.01898078770848226,0.12706177760132245,0.0021629536312739697,2
2009-03-13,0.002456485782604131,0.04051195733597021,0.003420586509253164,0.46183663429022376,0.002960102662405939,0.3421142353861376,0.0033420939534188443,0.01893123810267967,0.12253354357538468,0.0018931224019218887,2
2009-03-20,0.002535146704377089,0.040134243507172096,0.0034733515688306093,0.46964180136806805,0.0030844548081992574,0.33982758789055034,0.0034137322383910045,0.018950433465789607,0.11668793004398353,0.002251318404638347,2
2009-03-27,0.004971510897281262,0.07215274206697883,0.009056499694530679,0.05370209311411487,0.005484300950215404,0.27487130266724025,0.012428146130454357,0.053107369739489034,0.5103750259494653,0.00385100879023028,2
2009-04-03,0.005213002632462054,0.07374876091059442,0.009448523362589422,0.05382177426388637,0.005814126763161817,0.27779308529393326,0.012785022331271417,0.053533370981341775,0.5037161930069689,0.004126140453790748,2
